extractant,ae_best,ae_inc,ae_mc,absy,gain,n_cells,n_pubs
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.14520933736956523,0.2232453703629082,0.13708532783374955,0.1716825887680148,0.07803603299334297,1,1
CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC,0.5163139583871122,0.5916655867784915,0.777220901558023,0.534935726388889,0.07535162839137921,1,1
CCCCN(CCCC)C(=O)CC(=O)N(CCCC)CCCC,0.374365371664989,0.4470585168542109,0.5121389569873849,0.33831106333333333,0.07269314518922187,1,1
C1COCCOCCOCCOCCOCCO1,0.41692160049763904,0.486758188235542,0.7121849956894764,0.4034118878000001,0.06983658773790297,1,1
CCCCCCOCCC(C(=O)N(C)CCCC)C(=O)N(C)CCCC,0.9237979511716355,0.9896459879221589,0.8666755726974925,0.55439668675,0.06584803675052331,2,1
O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,0.3321430956421316,0.394880599256314,0.3922929361721834,0.5138977473571429,0.0627375036141824,1,1
CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],0.4954241302151109,0.554760378613296,0.6135379644371944,0.39273563198901096,0.059336248398185076,2,1
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,0.10315819015409773,0.15749251887566548,0.15813775692629067,0.3197713204273231,0.05433432872156775,3,2
CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,0.15141509553888638,0.20410309341010202,0.25549298282194843,0.17757490829629627,0.05268799787121564,2,2
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,0.17442322186873263,0.2201340990247656,0.20686976239053947,0.39511508107142856,0.045710877156032975,1,1
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,0.5922500924967712,0.6375112431655203,0.5997262320855673,0.7399953429067714,0.04526115066874914,33,4
CCN(C(=O)c1ccc2ccc3ccc(C(=O)N(CC)c4ccc(C)cc4)nc3c2n1)c1ccc(C)cc1,0.6321874750058458,0.6761429818520119,1.1094366022010647,0.705327964666667,0.043955506846166115,1,1
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,0.5085062964166294,0.5518415344356175,0.8546586629585644,1.0311703719666234,0.04333523801898809,1,1
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.44467737570654703,0.487454680269695,0.601460185102073,0.718357263242339,0.04277730456314799,171,18
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1,0.2870600690318839,0.3289489392643234,0.5084548927764319,0.2774160303846154,0.04188887023243948,1,1
CCN(CC)C(=O)COCC(=O)N(CC)CC,0.174477605129764,0.20973250745493024,0.14565191066083455,0.13776322576304637,0.03525490232516623,12,1
CCCCN(CCCC)C(=O)C(Cc1ccccc1CC(C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC,0.09462927585876402,0.12880616584269142,0.3719061299179716,0.04712738866666658,0.0341768899839274,1,1
O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1,0.1063139325713836,0.13962100006772038,0.37896557563987493,0.15059394988461564,0.03330706749633679,2,1
CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,0.08716230784318782,0.11915110410342471,0.18421426325884327,0.07043650359999995,0.03198879626023689,1,1
CCc1ccc(N(CC)C(=O)c2ccc3ccc4ccc(C(=O)N(CC)c5ccc(CC)cc5)nc4c3n2)cc1,0.9216565924790141,0.9532635957272693,1.2649402489831323,1.0302803651538461,0.03160700324825516,1,1
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0.13980047739863927,0.17085561232658406,0.17317052821759243,0.3431918738880579,0.03105513492794479,6,5
CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,0.2728356849967385,0.30305777528614797,0.47470244792155436,0.2952265731666667,0.030222090289409476,1,1
CCCCCCN(CCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCCC(C)C,0.38680904993427634,0.4168746673609368,1.0386425337400709,1.2150717582417583,0.030065617426660474,1,1
CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,0.15675402245415399,0.1814350893815017,0.46854502654192964,0.23226484772222217,0.024681066927347728,1,1
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.7627054204024407,0.7825071288943406,0.9643992945827309,1.1375827392473343,0.019801708491899883,1,1
c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,0.34313303247663285,0.36106622033836455,0.5969371311518031,0.3594450262000003,0.017933187861731703,1,1
c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2,0.3821452241973088,0.3994797239176636,0.7286088251841039,0.4354591918000005,0.017334499720354835,1,1
CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC,0.2577222517909008,0.2740726365149983,0.46744966669521737,0.2902813708333334,0.0163503847240975,1,1
CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1,0.352552138613546,0.3684840438174372,0.5297049747918539,0.344101734945055,0.015931905203891206,1,1
CCN(C(=O)c1cccc(C(=O)N(CC)c2ccc(C)cc2)n1)c1ccc(C)cc1,0.2751707253281107,0.28867175359042063,0.35023386211184376,0.4048763256703297,0.013501028262309922,1,1
CCN(C(=O)c1cccc(C(=O)N(CC)c2ccccc2C)n1)c1ccccc1C,0.2508696337972859,0.2640897817674378,0.2576181570107575,0.38450525272527475,0.013220147970151919,1,1
CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,0.6061496294289268,0.6148515422665598,0.5849923058398009,0.7532106162744967,0.008701912837632997,1,1
CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,0.17974334985090742,0.18680316246434525,0.1897087815984947,0.3217713084119852,0.007059812613437827,1,1
CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.28056748634011863,0.2864278301279143,0.2783527545605082,0.2966101059603053,0.005860343787795652,11,3
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,1.1153146111558045,1.1203981970619241,1.1793083044221773,1.4102742541911253,0.00508358590611957,1,1
CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,0.7690095802129764,0.7736255412220006,0.9618393327602964,1.133518357675422,0.004615961009024172,1,1
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,0.1532488322357252,0.15705494351908883,0.33437143432853816,0.12401183137362634,0.003806111283363639,1,1
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,0.27268036928716716,0.27624796912121036,0.3050432886723994,0.40937643174086646,0.0035675998340432002,21,2
CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0.31193495937982824,0.3138236584201112,0.36956711557401983,0.3331691120150303,0.0018886990402829373,10,1
CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,2.0653664246828334,2.066672881677489,2.089134354521003,1.8249684352973585,0.0013064569946554805,1,1
CCN(C(=O)c1cccc(C(=O)N(CC)c2cccc(C)c2)n1)c1cccc(C)c1,0.2818906904472312,0.2823641465578097,0.40469261806824275,0.3110053405274725,0.00047345611057852954,1,1
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,0.7478825776182311,0.7479560510407375,0.8767123352184185,1.048578522899454,7.347342250640931e-05,1,1
CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,0.2253409920559842,0.2227261508970022,0.2052247973514491,0.27437443345911433,-0.002614841158982001,9,1
O=C(COCC(=O)N1CCCCC1)N1CCCCC1,0.4318656824400481,0.42392281593387243,0.2252989910314888,0.04131868131868131,-0.00794286650617565,1,1
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,0.20843938212785207,0.19743489839075107,0.3890142259803811,0.5615598713855251,-0.011004483737101,1,1
CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,0.1455010343426611,0.1327795799685624,0.7954092741730505,0.9642210884792991,-0.01272145437409869,1,1
CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,0.2269912584474863,0.2140253410642111,0.20852774941283486,0.3536647308316527,-0.01296591738327521,1,1
CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,0.19396528924378256,0.17822761842695442,0.39845441192154146,0.17097448284615396,-0.015737670816828142,1,1
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,0.12858801459647734,0.11257185162009012,0.10822906397537597,0.22430237443528864,-0.01601616297638722,1,1
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,0.5815084763025825,0.5619496640999608,0.65574562967371,0.4100667687009219,-0.019558812202621678,1,1
CCCCN(CCCC)C(=O)c1ccccc1C(=O)O,2.5452849293301036,2.525396440363076,2.362115262335435,2.6666666666666665,-0.019888488967027662,1,1
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,0.17166427713246546,0.15144111148980882,0.20940982945892,0.37727662638130094,-0.020223165642656638,1,1
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,0.5770948795866421,0.5567730386382084,0.6221919694275351,0.4254558723247345,-0.0203218409484337,1,1
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,0.4343975949825298,0.41287535681226456,0.4964608558441232,0.6605436359176023,-0.021522238170265218,1,1
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,0.4411790768291536,0.4154785241306179,0.5767409106886922,0.6534342867416089,-0.02570055269853566,17,1
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,0.2771560593162272,0.2487215926672947,0.38901820293171996,0.18843170866141704,-0.02843446664893251,2,1
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,1.2244200213124474,1.193489663195518,1.189677653033662,1.2027972027972027,-0.030930358116929346,5,1
CCCCCCc1ccc(N(CC)C(=O)c2cccc(-c3cccc(C(=O)N(CC)c4ccc(CCCCCC)cc4)n3)n2)cc1,0.17095406282481382,0.13718027819655118,0.5221134277038205,0.28518372098901096,-0.03377378462826264,1,1
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,0.4052414487245268,0.36888879438731603,0.6222264759941633,0.3464787522000003,-0.036352654337210744,1,1
CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C,0.3702486951307987,0.33291517047749786,0.9854995018664721,1.1575091208791208,-0.037333524653300865,1,1
CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,0.45424021544407045,0.414725898609413,0.42451063726960125,0.3322335813259807,-0.03951431683465745,2,1
CCCCCCOP(=O)(O)OCCCCCC,1.0406550903552374,1.0003177368040959,0.9660063617229427,1.1576284039555556,-0.04033735355114154,1,1
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,0.3454439586563227,0.3035730008036218,0.23200886472876542,0.23845110013186815,-0.041870957852700896,1,1
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.957813397316659,0.9154271668622236,0.9552157299401214,1.1178400958043515,-0.04238623045443546,74,5
CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,1.2148578620411565,1.170912227068654,1.444283520213442,1.5897811784395655,-0.04394563497250248,1,1
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,0.21214383850052104,0.16477109407838256,0.21021429441551326,0.1487637754725275,-0.047372744422138485,1,1
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,0.28743092726984265,0.23881262973995235,0.27305521228707486,0.31765546623123314,-0.0486182975298903,14,1
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,0.3846740242826061,0.3256686069914932,0.5875364254600595,0.7955269945786233,-0.059005417291112916,3,1
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,0.6209603161807679,0.5597155322225855,0.39527149030330155,0.5660204912857151,-0.061244783958182336,1,1
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC,0.21935555297573348,0.1504763507215761,0.11069530393770446,0.22601019671930095,-0.06887920225415736,1,1
COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,0.29076269791724735,0.22043073824556955,0.24920476950535236,0.04274725274725268,-0.0703319596716778,1,1
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,0.19561587480464276,0.12483219955555928,0.2098329073638495,0.4006714609262982,-0.07078367524908348,5,1
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,0.516837276947428,0.43209944976219655,0.45594330313890463,0.3427822731303943,-0.08473782718523143,10,1
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,0.3306198937847099,0.24288651063518657,0.12886680598495875,0.14994282561166777,-0.08773338314952334,20,1
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,0.2508604393818306,0.1521898350985627,0.1946638142940628,0.2563453078834993,-0.0986706042832679,1,1
CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,0.15506953424861986,0.053339949772182524,0.1348457371925284,0.16695513519002816,-0.10172958447643733,1,1
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,0.5279427917265735,0.3952801815754913,0.46188542436636526,0.6608868518416253,-0.13266261015108227,1,1
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,1.1813625843640079,1.020143633974564,1.259630535060817,1.423634065934066,-0.1612189503894439,1,1
