extractant,mae,floor,n,at_floor
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,0.2410059770132212,0.8422887351834083,75,True
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,0.38467402428260605,0.21349659963654488,315,False
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,0.2766323896844869,1.6405150282023426,215,True
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,0.31063791799916923,0.9114586756938431,645,True
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,0.24866117845288283,0.010673944744946394,150,False
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,1.0590984366509284,0.05000000000000002,330,False
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,0.0996279432720439,1.872786230066874,390,True
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.6168640882946242,0.4964876634922563,1845,False
CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,0.4542402154440705,1.0101636454748277,215,True
