rule,abstain_frac,kept_frac,pooled_mae,macro_mae,mean_abs_y_kept,normalised,mae_meancurve_kept
tree,0.1,0.8987561837455831,0.4521650573061071,0.43579042430566356,0.6025213309777633,0.7504548537266554,0.5384399572124279
tree,0.2,0.7999858657243816,0.4148517138204275,0.3819237418559235,0.5501758950060665,0.7540346961508614,0.4940022615356797
tree_no_dZ,0.1,0.8994063604240282,0.48334881164892346,0.468885145674486,0.6418891471688131,0.7530097895888019,0.5766796414059335
tree_no_dZ,0.2,0.7988833922261485,0.47460985722233445,0.4474258254223069,0.6358283331287408,0.7464433912325149,0.5661159050014841
dZ_only,0.1,0.8827561837455831,0.4196555992621316,0.43461534412198793,0.5437255544322158,0.7718151112105739,0.49950228369057365
dZ_only,0.2,0.7817667844522969,0.369936096093383,0.400347510007484,0.46985172262337876,0.7873464718355718,0.43370021067902753
abs_pred_only,0.1,0.9,0.4517247898887129,0.441432673881016,0.5500838950172237,0.8211925380483444,0.5225984204603192
abs_pred_only,0.2,0.8,0.41090916163431995,0.4070952424693819,0.47672398841263214,0.8619435388652067,0.4703266213347071
oracle_true_ae,0.1,0.9,0.3527034260857199,0.336899270200483,0.4891452060626431,0.7210607846385607,0.4465538681927291
oracle_true_ae,0.2,0.8,0.274243057630163,0.2721241816552761,0.39688211067080037,0.6909937491680946,0.36435269180296237
random,0.1,0.9,0.49177017949813456,,0.6499911278057761,0.7565798338790256,0.5914108306051475
random,0.2,0.8,0.491510286157258,,0.6499911278057761,0.7561799925123383,0.5914108306051475
none(all pairs),0.0,1.0,0.49167836200368936,0.48098083670010805,0.6499911278057761,0.7564385742671366,0.5914108306051475
