dZ,n,rho_tree,rho_abspred,rho_tree_nodz
1,10570,0.022116623336676758,0.22148796359864592,0.07610823309861861
2,10105,-0.0189018286483414,0.21270355754453185,0.08888126304905378
3,8825,-0.02242825244013555,0.20215087193826556,0.06376089140997136
4,7760,-0.029494095530258245,0.14926320524575876,0.06372331576666937
5,6985,-0.046722806011472835,0.16988163349544227,0.05170674109478509
6,6340,-0.005966981803565202,0.11280472399729861,0.04806750698125509
7,4725,-0.03886773743477296,0.10827532976251868,0.010048583727502508
8,4040,-0.02263957513569717,0.1419373883486929,0.003992363489381376
9,3105,-0.050804583176103,0.15084432158276578,-0.018138592227232592
10,2370,-0.06628035363560118,0.1191811957843938,-0.08479472540610981
11,2450,0.004847581275746133,0.0929964020965625,0.00560327522100074
12,1595,-0.01118670899389844,0.1078996933706297,-0.06011524640791168
13,1190,-0.03023292861130416,0.07627642052680915,-0.06675881537141538
14,690,0.029739975635842606,-0.025177600394669333,0.06219353723528919
