level,n_pairs,n_extractants,n_cells,mae_pooled,mean_abs_y,mae_pooled_incumbent,mae_pooled_meancurve,frac_beats_meancurve,mae_macro,mean_abs_y_macro,mae_macro_meancurve,ratio_pooled,ratio_macro,n_pairs_per_seed
La-Yb,600,52,120,1.1691763574486649,1.653699909277442,1.302215568127523,1.44896123214159,0.7383333333333333,1.1440118136669168,1.4427458027083064,1.3978683522780595,0.7070063624539461,0.7929406632265993,120.0
La-Ho,655,52,131,1.158359334284852,1.675907117589388,1.2631384256585454,1.3983404063308125,0.6641221374045801,1.0959167006317927,1.451460973025265,1.3655990880839983,0.6911834922874647,0.7550438633893028,131.0
La-Tm,490,48,98,1.134224685809073,1.5724842813614135,1.1441777244672906,1.3775201833233743,0.6571428571428571,1.115517774278826,1.4072580411827456,1.3296115871543328,0.7212947685728804,0.7926888613415041,98.0
La-Lu,690,56,138,1.1277135799719789,1.6378839472518407,1.2413629667857367,1.351782324043825,0.6869565217391305,1.1230673107474118,1.4653767635468056,1.3147514071908795,0.6885186107746752,0.7664017464212642,138.0
Ce-Lu,590,48,118,1.0946555449649014,1.5274015639163137,1.2100269471725245,1.3469007813595129,0.7372881355932204,1.0031047454258384,1.3101029387332963,1.2577312769376952,0.7166782926149194,0.7656686476832986,118.0
Pr-Lu,520,48,104,1.0531530154714759,1.3861438516459579,1.1582720830261126,1.2614049853382374,0.7076923076923077,0.9445861652453369,1.223221770490823,1.194566663487409,0.7597718045071032,0.7722117019437266,104.0
Ce-Yb,585,50,117,1.0440097384964482,1.4619510629240469,1.1632093881128018,1.3124273138929536,0.7384615384615385,0.9331459970200481,1.2260201151257388,1.1872330310683037,0.714120851903432,0.7611180155264794,117.0
Ce-Tm,505,48,101,1.012708864358123,1.406248147825399,1.0429815748045004,1.2554032557176837,0.6831683168316832,0.8787167507782823,1.1643435959963524,1.117117599309951,0.7201494742760449,0.7546885247617534,101.0
La-Er,745,69,149,1.009843920274469,1.5034249965512676,1.1327359356640514,1.320173648519891,0.738255033557047,0.9553861482332122,1.268529533522506,1.2409021093686632,0.6716955768268901,0.753144584328483,149.0
Ce-Er,635,55,127,1.0070354411622717,1.4390418380114463,1.1218577653446382,1.3102537696532248,0.7763779527559055,0.8649740098171957,1.1779448911129384,1.1656599814080526,0.6997958047931764,0.7343077051762213,127.0
Pr-Yb,520,50,104,1.001329436854795,1.3168044186790477,1.1077925579542167,1.2191449894214967,0.725,0.8786591886957483,1.1425139972802412,1.127541272595649,0.760423812869096,0.7690577015138543,104.0
Ce-Ho,605,52,121,0.9817990409449499,1.406759246355363,1.0833626312426694,1.2223586787943899,0.7090909090909091,0.8664505932391455,1.1971199496915519,1.1447973001418577,0.6979154702473777,0.7237792616039803,121.0
Pr-Tm,435,48,87,0.9168423801189582,1.1802707610318202,0.913986935936131,1.097955611501414,0.6482758620689655,0.8136163903100471,1.0643441832454277,1.0421910139205437,0.7768068229678361,0.7644297804392048,87.0
La-Tb,655,58,131,0.8959342630744929,1.3325232694172553,0.9955271512158866,1.165819304796082,0.7145038167938931,0.8792815268769745,1.1873980785158842,1.1813597100962876,0.6723591877433455,0.7405111586301191,131.0
Pr-Ho,555,52,111,0.8950749892773142,1.2292181270157307,0.9899178826460303,1.1104748136296982,0.7153153153153153,0.8145869776641718,1.1022602332925604,1.0871880999158166,0.7281661160093351,0.7390151191710145,111.0
Nd-Yb,645,51,129,0.8905419038725798,1.2421560191947434,0.9703539851553398,1.1470732367762593,0.8108527131782945,0.7719638662317146,0.9981024885121489,1.0005468252056207,0.7169324063251687,0.7734314613146246,129.0
Pr-Er,575,60,115,0.8860872148197562,1.1993644272621091,0.9955865423527811,1.1544543991574694,0.7947826086956522,0.7536647598027109,1.0047678956862645,1.0530633104790557,0.7387973118750092,0.750088416477471,115.0
La-Dy,755,68,151,0.8773281781774473,1.3275336882114812,0.9686555236021656,1.105641482513489,0.6781456953642384,0.8366828590412283,1.1505898197031488,1.0886188063481654,0.6608707454794817,0.7271773526182352,151.0
