extractant_name,chemotype,n_cells,n_pairs_per_seed,mean_n_metals,mean_abs_y,mae_best,mae_incumbent,mae_meancurve,ratio_mae_over_absy,replicate_sd_median
N-N-N-N-tetrabutylbutanediamide,sc036,1,10,5.0,0.07043650359999995,0.08716230784318782,0.11915110410342471,0.18421426325884327,1.2374593199312052,
N-N-N-N-tetrabutyl-2-[[2-[3-(dibutylamino)-2-(dibutylcarbamoyl)-3-oxopropyl]phenyl]methyl]propanediamide,sc062,1,6,4.0,0.04712738866666658,0.09462927585876402,0.12880616584269142,0.3719061299179716,2.0079465155194507,
THDGA,sc009,3,59,6.333333333333333,0.3197713204273231,0.10315819015409773,0.15749251887566548,0.15813775692629067,0.3225998817412498,
[4-7-dichloro-9-(pyrrolidine-1-carbonyl)-1-10-phenanthrolin-2-yl]-pyrrolidin-1-ylmethanone,sc086,2,182,14.0,0.15059394988461564,0.1063139325713836,0.13962100006772038,0.37896557563987493,0.7059641682341211,
6-MH-C9-B8D(iB)CMPO,sc008,1,15,6.0,0.22430237443528864,0.12858801459647734,0.11257185162009012,0.10822906397537597,0.5732797743234549,
T2EHDGA,sc009,6,242,8.166666666666666,0.3431918738880579,0.13980047739863927,0.17085561232658406,0.17317052821759243,0.4073536934742205,
N-N-dibutyl-N-N-dimethylpropanediamide,sc031,3,7,2.6666666666666665,0.1361584974285715,0.1413531957368572,0.258065725334845,0.4121456984976139,1.0381518480769871,
tMe2-TODGA,sc027,1,91,14.0,0.1716825887680148,0.14520933736956523,0.2232453703629082,0.13708532783374955,0.8458011870136616,
DODHtDGA,sc033,1,91,14.0,0.9642210884792991,0.1455010343426611,0.1327795799685624,0.7954092741730505,0.15090007476618766,
N-N-bis(2-methylpropyl)-2-[octyl(phenyl)phosphoryl]acetamide,sc008,2,81,8.0,0.17757490829629627,0.15141509553888638,0.20410309341010202,0.25549298282194843,0.8526829437312146,
N-(3-5-dimethylphenyl)-6-[6-[(3-5-dimethylphenyl)-ethylcarbamoyl]-2-pyridinyl]-N-ethylpyridine-2-carboxamide,sc068,1,91,14.0,0.12401183137362634,0.1532488322357252,0.15705494351908883,0.33437143432853816,1.2357597701626775,
2-EH-C9-B8D(iB)CMPO,sc017,1,15,6.0,0.16695513519002816,0.15506953424861986,0.053339949772182524,0.1348457371925284,0.9288096114690924,
2-hexyl-N-N-dimethyl-N-N-dioctylpropanediamide,sc030,1,36,9.0,0.23226484772222217,0.15675402245415399,0.1814350893815017,0.46854502654192964,0.6748934416525415,
N-ethyl-6-[6-[ethyl-(4-hexylphenyl)carbamoyl]-2-pyridinyl]-N-(4-hexylphenyl)pyridine-2-carboxamide,sc059,1,91,14.0,0.28518372098901096,0.17095406282481382,0.13718027819655118,0.5221134277038205,0.5994523889089771,
TIBDGA,sc010,1,28,8.0,0.37727662638130094,0.17166427713246546,0.15144111148980882,0.20940982945892,0.45500904410380855,
