arm,baseline,family,statistic,n_units,baseline_median,arm_median,median_paired_delta,mean_paired_delta,p95_paired_delta,n_ties,frac_units_worse,sign_test_p
FROZEN_MONOLITH,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,CONTEXT,shift_median,194,0.0,0.0,0.0,-2.5904607783014486e-17,0.0,141,0.0,2.220446049250313e-16
FROZEN_MONOLITH,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,CONTEXT,shift_p95,194,0.0,0.0,0.0,-5.974781093701973e-17,0.0,108,0.0,2.5849394142282115e-26
FROZEN_MONOLITH,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,CONTEXT,shift_max,194,0.0,0.0,0.0,-6.452455980746722e-17,0.0,108,0.0,2.5849394142282115e-26
FROZEN_MONOLITH,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,CONTEXT,shape_shift_median,194,0.0,0.0,0.0,-2.3839034984299832e-17,0.0,147,0.0,1.4210854715202004e-14
FROZEN_MONOLITH,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,CONTEXT,level_shift,194,0.0,0.0,0.0,-2.6877036535656123e-17,0.0,149,0.0,5.684341886080802e-14
FROZEN_MONOLITH,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,DECOY,shift_median,178,0.09179853044470956,0.0,-0.09179853044470956,-0.12341733009555016,0.0,44,0.0,9.183549615799121e-41
FROZEN_MONOLITH,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,DECOY,shift_p95,178,0.24456233685250878,0.0,-0.24456233685250878,-0.25426066117360013,0.0,38,0.0,1.4349296274686127e-42
FROZEN_MONOLITH,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,DECOY,shift_max,178,0.26194549448533444,0.0,-0.26194549448533444,-0.27719596926424467,0.0,38,0.0,1.4349296274686127e-42
FROZEN_MONOLITH,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,DECOY,shape_shift_median,178,0.08497522403299484,0.0,-0.08497522403299484,-0.12051910767424673,0.0,38,0.0,1.4349296274686127e-42
FROZEN_MONOLITH,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,DECOY,level_shift,178,0.01864884139502329,0.0,-0.01864884139502329,-0.02761363410007193,0.0,38,0.0,1.4349296274686127e-42
FROZEN_MONOLITH,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,DENSITY,shift_median,267,0.011516884123213167,0.0,-0.011516884123213167,-0.028136228058068865,0.0,62,0.0,3.8893845486632136e-62
FROZEN_MONOLITH,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,DENSITY,shift_p95,267,0.01924110393415021,0.0,-0.01924110393415021,-0.059395008013122426,0.0,56,0.0,6.077163357286271e-64
