arm,family,n_comparisons,n_ligands,n_curves,shift_median__median,shift_median__p90,shift_median__p95,shift_median__max,shift_p90__median,shift_p90__p90,shift_p90__p95,shift_p90__max,shift_p95__median,shift_p95__p90,shift_p95__p95,shift_p95__max,shift_max__median,shift_max__p90,shift_max__p95,shift_max__max,shape_shift_median__median,shape_shift_median__p90,shape_shift_median__p95,shape_shift_median__max,shape_shift_max__median,shape_shift_max__p90,shape_shift_max__p95,shape_shift_max__max,level_shift__median,level_shift__p90,level_shift__p95,level_shift__max,shape_fraction_of_shift
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,CONTEXT,194,49,145,0.0,1.1102230246251565e-16,2.220446049250313e-16,4.440892098500626e-16,6.938893903907228e-18,2.220446049250313e-16,2.220446049250313e-16,5.10702591327572e-16,1.0874547790029609e-17,2.220446049250313e-16,2.997602166487922e-16,5.884182030513328e-16,1.3877787807814457e-17,2.220446049250313e-16,4.440892098500626e-16,6.661338147750939e-16,0.0,1.1102230246251565e-16,2.220446049250313e-16,4.440892098500626e-16,1.0408340855860843e-17,2.220446049250313e-16,2.6090241078691116e-16,4.440892098500626e-16,0.0,1.1102230246251565e-16,2.220446049250313e-16,8.881784197001252e-16,
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,DECOY,178,19,69,0.07834683488715045,0.2760242476962319,0.4074618197691808,0.6891347935684824,0.22801247114873616,0.49270880051248916,0.6565477511190733,0.8139168975465332,0.25079903143735627,0.5718873798849348,0.696247556868894,0.8780768223228915,0.2674486722106372,0.6739857932729185,0.7599369593026755,0.9422367470992499,0.08178837450494562,0.2930774660829246,0.34124553905121585,0.6609068169230631,0.23796717837817086,0.6517323419780061,0.7252413869864028,0.9878805523754912,0.022525652420733733,0.08701449454998708,0.10014895896335889,0.1154539759182307,1.0439269770470283
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,DENSITY,267,19,69,0.01049105946911516,0.05918533458032995,0.09866795463039628,0.43238444615813587,0.016492577758186855,0.0926341150503854,0.18208315121004073,0.7769549956798283,0.017497978259164236,0.10814269778300586,0.19835586513395861,0.8760063701929668,0.01836818704307308,0.11347890597352873,0.25498769433162355,0.9750577447061054,0.002199739848974258,0.02116370179252601,0.04432127476566338,0.36276314606930093,0.005897155865582593,0.034353407255759555,0.19509399153328774,0.7867249787017246,0.010457410257475264,0.05767964127614377,0.09463375242470837,0.2595506799843544,0.20967756931033668
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,EXTEND,534,19,69,0.06338101174632157,0.2417619315768763,0.32028025191406045,0.8479057973686148,0.155739907774385,0.4412357395739959,0.5237398070559937,0.9642102213859709,0.17683093005293754,0.49742179276992265,0.5904017273345233,0.9690381908769465,0.19786678140490227,0.5549860427901377,0.6531390879206873,0.9738661603679222,0.061611312940136366,0.23895647171766574,0.289699109561001,0.7751576247555669,0.1713259370171995,0.48294120952800074,0.5697511307874503,1.124108470538078,0.03711389174546298,0.12171831158226423,0.15097228186401465,0.2599274431104851,0.972078407121863
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,NESTED,970,49,145,0.03000309470772948,0.12143534765552003,0.18617168708137996,0.5642532613510259,0.07486729424297767,0.2837048945290197,0.372184277970525,0.83548564653548,0.09131483580582404,0.3092947558662988,0.4146221804789434,0.8826880230120429,0.10891025794937301,0.3351789082092469,0.44577505027169384,0.9298903994886059,0.025726736916917486,0.12567583390694398,0.16568140199165385,0.47542277869360294,0.08281428290702647,0.24591836171078785,0.3502223835419008,0.7079764414129868,0.02039006231461858,0.10931551465860477,0.14688945863311165,0.45446762079500286,0.857469443320115
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,PERMUTE,194,49,145,0.0,2.220446049250313e-16,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,2.220446049250313e-16,3.7803093988486563e-16,7.105427357601002e-16,5.551115123125783e-17,2.220446049250313e-16,4.1522341120980827e-16,7.993605777301126e-16,5.551115123125783e-17,2.220446049250313e-16,4.440892098500626e-16,8.881784197001252e-16,0.0,2.220446049250313e-16,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,3.1641356201817056e-16,4.440892098500626e-16,6.661338147750939e-16,0.0,2.220446049250313e-16,2.6090241078691116e-16,8.881784197001252e-16,
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,SPARSE,791,49,145,0.03507682549994562,0.23892274219874438,0.38734649544182786,0.8759270487676535,0.0477902223344295,0.36275001943701235,0.4864180287848708,0.9841252858573643,0.049357731377408495,0.38647447211649366,0.48970012012941333,1.010962093707718,0.05047201598033679,0.40388069537676596,0.49540146957172004,1.0447535917030222,0.01007797059233656,0.2453014555708648,0.37640615828761237,0.8946117283010573,0.018213306851139865,0.29827806040112037,0.42641379992243955,0.9110238583877285,0.024570043044201295,0.1183730159019254,0.15239094869221806,0.4898440116188498,0.28731136437509674
A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,CONTEXT,194,49,145,0.0,1.1102230246251565e-16,2.220446049250313e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,2.220446049250313e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,2.220446049250313e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,2.220446049250313e-16,4.440892098500626e-16,0.0,5.551115123125783e-17,1.6792123247455445e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,2.6090241078691116e-16,4.440892098500626e-16,0.0,1.1102230246251565e-16,1.1102230246251565e-16,8.881784197001252e-16,
A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,DECOY,178,19,69,0.09179853044470956,0.26540760757686876,0.3474172372650479,0.6623885714081698,0.22009166364711802,0.4982068422701353,0.6194182922350161,0.7450511309873264,0.24456233685250878,0.5730776812114349,0.6741580358995912,0.7734729319915108,0.26194549448533444,0.6542814618602644,0.728573174320482,0.8102306226152167,0.08497522403299484,0.2822297477682054,0.35910605512194055,0.6220113183356013,0.24221294867661908,0.626190069640295,0.7212326443332828,0.8752072493690626,0.01864884139502329,0.07289474032050643,0.08618739833582734,0.1023851157306381,0.9256708535674827
A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,DENSITY,267,19,69,0.011516884123213167,0.06659791886351486,0.10731470732639797,0.43982277680486914,0.018172686756502132,0.09380490780230093,0.1823417556950144,0.9312552980580955,0.01924110393415021,0.10153681656737161,0.23862853137237378,1.019391501912043,0.020105370895852348,0.10680137218711744,0.34986889828321077,1.1075277057659907,0.002403351135169207,0.019183749949135347,0.049552731220870304,0.36596160663776167,0.006070104179747515,0.044448432967553964,0.26940752627530684,0.8571976912514007,0.011822258338418906,0.0670694657200069,0.09556568362631489,0.3008850798584909,0.20868067347530814
