arm,axis_label,n_comparisons,n_ligands,n_curves,shape_shift_median__median,shape_shift_median__p90,shape_shift_median__p95,shape_shift_median__max,shape_shift_max__median,shape_shift_max__p90,shape_shift_max__p95,shape_shift_max__max,level_shift__median,level_shift__p90,level_shift__p95,level_shift__max
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,acid,66,18,50,0.1220446291590371,0.3023781477961234,0.33995071319941783,0.43911774088494215,0.2655972953385325,0.6501145038958975,0.7646507121498364,1.0658934030072376,0.22059842618504366,0.7081164904483115,0.7710992077203256,0.8258016447404671
A_GEN10_CONTROL|JOINT|FROZEN_3|FROZEN_8|HIERARCHICAL|lam1,extractant,23,7,19,0.027977001371439936,0.2416948929440728,0.375412745613685,0.41479263860831594,0.06420222195824857,0.6810685819712067,0.7597750202597161,0.8757131562405985,0.07125477467931542,0.2053694673742058,0.21128580554758378,0.2849793255328311
A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,acid,66,18,50,0.11402444595401333,0.3145939675844803,0.33792675520637,0.4326244685244307,0.2523139625013337,0.679812243749249,0.770561712331765,1.1113017320489202,0.22790152614139303,0.7281731419198967,0.7490902506891005,0.8135375005864742
A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,extractant,23,7,19,0.023918712284311805,0.27034891471998906,0.3792600346092328,0.47095972117538915,0.04181242443118968,0.7089989710051428,0.7952044862985194,1.0841957042370547,0.03271822034061829,0.1572898138119395,0.1770794292736879,0.3494003232474825
C_LN_PLUS_ACTINIDES|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,acid,66,18,50,0.09941855342982439,0.30177638347307234,0.3323842853433335,0.45166641356797554,0.1892746870519688,0.656423633246792,0.7574397075407585,1.0449299615314394,0.22294044089201137,0.5636390492952853,0.6641532838936739,0.7025625011138172
C_LN_PLUS_ACTINIDES|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,extractant,23,7,19,0.017404579707104073,0.28115350195711697,0.3444169775425591,0.42231944824437656,0.05913570200431684,0.7320835681009419,0.9109624344122065,1.1706177693457747,0.04701556941119055,0.1616062408115236,0.1801806160038991,0.19969151415412545
E_LN_PLUS_ALL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,acid,66,18,50,0.10057894717164699,0.2898141735986716,0.3379937908760958,0.42401444462152915,0.16125621271111773,0.6670400173207995,0.6724978951033617,0.9126555941942203,0.2262144355544153,0.5903641221094758,0.6326727585182916,0.694896694638886
E_LN_PLUS_ALL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,extractant,23,7,19,0.018000149473836782,0.3272031758754834,0.3689971778930948,0.4642401105413942,0.06344806479592613,0.699083479796118,0.9231581624701778,1.2290988438588333,0.05357463517679106,0.18946063239062283,0.23522179061822981,0.24333710636495492
FROZEN_MONOLITH,acid,66,18,50,0.1386745109302502,0.38246882811226074,0.6016173090448765,0.7325064946336205,0.3191731171797365,0.7863542474119392,1.2526938004310773,1.534662871073103,0.22059842618504377,0.7081164904483115,0.7710992077203256,0.8258016447404671
FROZEN_MONOLITH,extractant,23,7,19,0.038323921457414124,0.13656457149037882,0.15296465173797322,0.16762900969863395,0.08863077772859562,0.23495785761504265,0.2498329465948009,0.31628813248871956,0.06911470300593014,0.17348607090910168,0.19378094947341143,0.2849793255328311
