entry,macro_mae_extractant,macro_mae_adjacent,macro_mae_far,macro_mae_chemotype,pooled_mae,pooled_mae_adjacent,pooled_mae_far,n_extractants,n_chemotypes,n_cells,n_pairs,n_pairs_adjacent,n_pairs_far
L1_CORPUS_MEAN_permetal_w,0.458582082687331,0.1657320984373879,0.690045356987049,0.43845212944434814,0.516405154852763,0.1685444033095909,0.8163194953539349,16.0,7.0,200.0,4455.0,784.0,1952.0
L1_CORPUS_MEAN_permetal,0.4223254989065742,0.15447864853032928,0.6131894702322824,0.38373226698889173,0.4457924635274331,0.15288068021698595,0.7017728509348139,16.0,7.0,200.0,4455.0,784.0,1952.0
L1_CORPUS_MEAN_aligned,0.4323775412130393,0.14711576973786272,0.6136173655949481,0.3612045803054354,0.41193593673655443,0.15091022086653605,0.6447231078288748,16.0,7.0,200.0,4455.0,784.0,1952.0
L1_CORPUS_MEAN_aligned_w,0.45464236749573683,0.1666231261605876,0.6771417739484146,0.43312028157068455,0.5069431527004081,0.17264731703811262,0.7965120168613812,16.0,7.0,200.0,4455.0,784.0,1952.0
L2_CHEMOTYPE_MEAN,0.4345574628013057,0.1350619574055827,0.5746384917073721,0.2541544451319205,0.30252659865829973,0.12138877351891257,0.4614753175003629,16.0,7.0,200.0,4455.0,784.0,1952.0
L3_EXTRACTANT_MEAN,0.19376397535076506,0.10672925740868094,0.26821463395653555,0.19833125413826141,0.2704888842766034,0.11220103111867595,0.41403160090424496,16.0,7.0,200.0,4455.0,784.0,1952.0
L3b_EXTRACTANT_MEAN_permetal,0.27510430028724764,0.12387192137778393,0.3931872581217345,0.2201871151132094,0.3095283419629136,0.12369438594942843,0.48035045816553057,16.0,7.0,200.0,4455.0,784.0,1952.0
L4_EXTRACTANT+PUBLICATION,0.17479442725961394,0.0918489650818227,0.2366601609661653,0.19439913081312482,0.2476094125955427,0.10198750346211176,0.37612598229136135,16.0,7.0,200.0,4455.0,784.0,1952.0
L5_EXTRACTANT+NEAREST_ACID,0.1812534971995794,0.09120773515960104,0.2661253163497809,0.15634052679226068,0.17545593226984868,0.09853248867540271,0.2462801884614739,16.0,7.0,200.0,4455.0,784.0,1952.0
L5b_EXT+PUB+SAME_ACID_CONC,0.1774064299132855,0.08998273912579749,0.2719010007288108,0.15607229496216032,0.180979521798996,0.09603598595734678,0.26012034421087077,16.0,7.0,200.0,4455.0,784.0,1952.0
L6_OWN_QUADRATIC_RADIUS,0.10124557330430978,0.080895556234198,0.09900382435923315,0.09690024735273904,0.12677594411067541,0.1009433292272438,0.13943383632107928,15.0,7.0,148.0,4403.0,776.0,1950.0
L7_ORACLE_AMPLITUDE_CORPUS_RANK1,0.14464237054410256,0.10305533070474748,0.15586078375429407,0.14600505009997544,0.17947219223601468,0.11462426345423601,0.2198548764656188,16.0,7.0,200.0,4455.0,784.0,1952.0
L7a_ORACLE_AMPLITUDE_CORPUS_MEANSHAPE,0.20660280579334936,0.1371780529139435,0.2600036872855051,0.2169822236891103,0.27219475280204836,0.15526007027477648,0.3486785048445552,16.0,7.0,200.0,4455.0,784.0,1952.0
L7b_ORACLE_AMPLITUDE_EXTRACTANT_SHAPE,0.1176196923351161,0.09526704528663618,0.12956671271765685,0.12023306491676118,0.16230907377104,0.10232365698105063,0.2088855677909965,16.0,7.0,200.0,4455.0,784.0,1952.0
L3i_EXTRACTANT_MEAN_INSAMPLE,0.16750493622072132,0.09325570852423079,0.23175832033943752,0.17147645581680454,0.25070296487277777,0.1029764883752694,0.3857335039390951,16.0,7.0,200.0,4455.0,784.0,1952.0
ARM_X_ENS_DIRECT+LOWRANK_K2,0.46946914377106064,0.1549647167638067,0.6905031182126302,0.3862567721026898,0.4639559981708262,0.15619072894830446,0.7190861728504612,16.0,7.0,200.0,4455.0,784.0,1952.0
ARM_C_DIRECT_ROW,0.4655853112274338,0.16116274399560843,0.6959373146047618,0.41328018481336065,0.5398858243216628,0.1680670769754377,0.8636515777320944,16.0,7.0,200.0,4455.0,784.0,1952.0
ARM_M_SELECTED,0.5188786187019847,0.16035763176393084,0.7367549092046379,0.39574822868760684,0.4543387109706769,0.16038843795045585,0.6961754185803344,16.0,7.0,200.0,4455.0,784.0,1952.0
ARM_B1_MEAN_CURVE,0.4723265427168043,0.1713385193555063,0.7159206910504092,0.45182270226634824,0.5334685397190668,0.17384709023670805,0.8443357076129476,16.0,7.0,200.0,4455.0,784.0,1952.0
