component,variance,sd,implied_mae_gaussian,implied_mae_empirical_ratio,basis
pairwise log SF: total variance across cells (within pair type),0.5440186498058617,0.7375761993217119,0.5885006618544508,0.3807710207929882,14059 df over 91 pair types
  component: between extractants,0.3926546551765761,0.6266216204190341,0.4999717163976209,0.3234911244117315,"ANOVA MSB 1.1220 MSW 0.1855 n0 2.385, 5382 df"
  component: between cells of one extractant,0.18552059652860745,0.43072101937171287,0.3436656513699616,0.22235815414595322,"8677 within-extractant df, 91 pair types"
"replicate: one logD point, median within-replicate sd",0.09135780810803924,0.30225454191465717,0.24116423242624752,0.15603780405332984,"median over 216 replicated (cell,metal) entries in 41 cells"
"replicate: one logD point, mean within-replicate sd",0.18326383725692363,0.4280932576634718,0.34156900087348707,0.22100158175523912,same 216 entries
"replicate: one logD point, pooled (df-weighted) sd",0.5771108313546114,0.759678110356361,0.6061354354332358,0.39218105169403733,"same 216 entries, weighted by nrep-1"
"replicate MAE floor, pair of nrep=1 points, median sigma",0.1827156162160785,0.4274524724645753,0.34105772825649655,0.22067077873513458,"the case for 3143 of 3359 observed (cell,metal) entries"
"replicate MAE floor, pair of nrep=1 points, mean sigma",0.36652767451384727,0.6054152909481617,0.483051513521513,0.31254343422416553,"same, mean instead of median sigma"
"replicate MAE floor, pair of nrep=2 means, median sigma",0.09135780810803924,0.30225454191465717,0.24116423242624752,0.15603780405332984,credit for averaging 2 replicates
"replicate MAE floor, observed pairs with both metals replicated (median over cells)",0.07965852189325034,0.28223841321345744,0.22519367236851714,0.14570455066894925,836 pairs in 26 cells; median-of-cell-medians
