metal,n_cells,sd_centred_value,n_cells_multi_ext,sd_dev_from_extractant_curve
La,270,0.8005741558472963,209,0.42332765448322035
Ce,213,0.7230008960978496,164,0.3928841579903951
Pr,191,0.6019176341726128,136,0.23779091786010567
Nd,309,0.46311840691730605,252,0.22494366796371315
Sm,268,0.3426334935774982,213,0.20045295794988893
Eu,266,0.3594627710461586,203,0.21375923979404976
Gd,298,0.31288892992347356,246,0.1820401100510142
Tb,213,0.3064664663425343,167,0.15899688283560964
Dy,283,0.3372210874956366,230,0.16550998365356054
Ho,223,0.4533716509136736,182,0.18495412283760662
Er,258,0.4376709318745383,205,0.1970045510500156
Tm,165,0.45747293160387636,127,0.19132206728962567
Yb,197,0.5020475362975214,156,0.2073546206604226
Lu,205,0.5112093795641751,164,0.2185788081113122
