axis,metric,comparison,point,ci95_low,ci95_high,bca_low,bca_high,block_macro,n_units,units_improved,seeds_positive,n_seeds
acid,row_mae,GEN10_REP_32 vs REC_ecfp_plus_recovered,0.008828738222938674,-0.03886609540261623,0.08697834222330746,-0.03765104479073249,0.0879639126514732,0.010376970109449827,68,35,3,5
acid,row_mae,GEN10_REP_8 vs GEN9_A0_ROW_ONLY,0.024743760392825855,-0.02806088338948993,0.08691753347494793,-0.01975000510842207,0.10306918810079166,0.013980658250400176,68,34,4,5
acid,row_mae,GEN10_REP_8 vs REC_ecfp_plus_recovered,0.006401454065548471,-0.034309045881168676,0.06383859270597866,-0.030331690304810924,0.07447452281342755,0.0009775775026445064,68,34,4,5
acid,row_mae,GEN9_A0_ROW_ONLY vs REC_ecfp_plus_recovered,-0.018342306327277375,-0.03738825792271,0.010261689080321532,-0.039381486653973695,0.008672186144499742,-0.013003080747755668,68,32,0,5
acid,row_mae,GEN9_A1_ADJ_d05 vs GEN9_A0_ROW_ONLY,-0.013513214601932824,-0.04411968231403173,0.007229324210037164,-0.058159772824917,0.003566647401115084,-0.0049481972130744345,68,36,0,5
acid,row_mae,GEN9_A1_ADJ_d05 vs REC_ecfp_plus_recovered,-0.0318555209292102,-0.07343994997187936,0.008906698891274633,-0.08331602730896584,0.002399643736303013,-0.017951277960830098,68,25,0,5
acid,row_mae,GEN9_A2_END_d05 vs GEN9_A0_ROW_ONLY,-0.0901304424456194,-0.23094092873724686,-0.0027922960969054135,-0.2357441642379784,-0.004098994389965404,-0.06548102313015876,68,27,0,5
acid,row_mae,GEN9_A2_END_d05 vs REC_ecfp_plus_recovered,-0.10847274877289675,-0.25749948990142857,-0.015192748875283494,-0.2704204614056103,-0.02058071564803516,-0.07848410387791444,68,24,0,5
acid,row_mae,GEN9_A3_RAND_d05 vs GEN9_A0_ROW_ONLY,-0.01687395960007383,-0.04529803435089232,0.0029210063349343453,-0.04476935904524156,0.00319023549170328,-0.019839622508543268,68,35,1,5
acid,row_mae,GEN9_A3_RAND_d05 vs REC_ecfp_plus_recovered,-0.035216265927351206,-0.0730109986869624,0.0006740717767752207,-0.07463470223451167,-0.0016101215139550222,-0.03284270325629893,68,28,0,5
acid,row_mae,GEN9_A4_MULTI_d05 vs GEN9_A0_ROW_ONLY,-0.007615186307462362,-0.027836158705396272,0.00617065521962952,-0.02985402252760227,0.005150221008154029,-0.008066573021521011,68,35,1,5
acid,row_mae,GEN9_A4_MULTI_d05 vs REC_ecfp_plus_recovered,-0.02595749263473975,-0.05591111434685854,0.008700604943038655,-0.06484535320556106,0.004477498859528431,-0.021069653769276674,68,29,1,5
acid,row_mae,GEN9_REL_MONOLITH vs GEN9_A0_ROW_ONLY,0.029876691033457203,-0.008735702236596282,0.06768787504295617,-0.0029662213509579053,0.07598160898867329,0.018283869310971673,68,39,5,5
acid,row_mae,GEN9_REL_MONOLITH vs REC_ecfp_plus_recovered,0.011534384706179826,-0.009749308199612321,0.04037822211154732,-0.0051786759729637154,0.051759232665280486,0.0052807885632160075,68,33,5,5
acid,row_mae,GEN9_SHAPE_RECOMPOSED vs GEN9_A0_ROW_ONLY,0.03909545106387392,0.0008388174458183539,0.06432864386516596,0.005198549271229919,0.06704370013796115,0.0264151895341925,68,39,5,5
acid,row_mae,GEN9_SHAPE_RECOMPOSED vs REC_ecfp_plus_recovered,0.02075314473659654,0.0005759778021937737,0.03713031174733978,0.0010616688437836961,0.03802991995348815,0.013412108786436833,68,41,5,5
acid,row_mae,GEN9_X_MULTI_d2 vs GEN9_A0_ROW_ONLY,-0.13219741152092462,-0.23806420168445885,-0.05710736486403895,-0.24780775841069197,-0.06185852879531202,-0.12224507446108582,68,24,1,5
acid,row_mae,GEN9_X_MULTI_d2 vs REC_ecfp_plus_recovered,-0.150539717848202,-0.2644915961155062,-0.0640687919445109,-0.28121954549074146,-0.07348944683758184,-0.13524815520884148,68,24,1,5
acid,row_mae,GEN9_X_MULTI_d8c vs GEN9_A0_ROW_ONLY,-0.2721743458104977,-0.3713498117309989,-0.20044803988933377,-0.3679196131094527,-0.19970967646430698,-0.2762405384345698,68,15,0,5
acid,row_mae,GEN9_X_MULTI_d8c vs REC_ecfp_plus_recovered,-0.290516652137775,-0.39217321312723924,-0.20669937871868851,-0.39608733571323695,-0.2102107389821411,-0.28924361918232544,68,15,0,5
acid,row_mae,REC_ecfp_plus_recovered vs GEN9_A0_ROW_ONLY,0.018342306327277375,-0.010261689080321547,0.03738825792270997,-0.008672186144499742,0.039381486653973695,0.013003080747755668,68,36,5,5
metal_series,slope_abs_error,GEN10_MF_025 vs GEN9_A0_ROW_ONLY,0.0002588864105648482,-0.00460164077469925,0.005022034919028799,-0.004001036771450971,0.0058172865084800945,7.903628225818516e-05,84,46,3,5
metal_series,slope_abs_error,GEN10_MF_025 vs REC_ecfp_plus_recovered,0.00041437628487780027,-0.0025765997884298814,0.004632379157563004,-0.0022467136978993737,0.005198661605772654,0.0005017630956056932,84,49,3,5
metal_series,slope_abs_error,GEN10_MF_050 vs GEN9_A0_ROW_ONLY,7.821433798032123e-05,-0.008478508588747026,0.005009115952812283,-0.009151382659690219,0.004732732812961591,-0.00028063361365748216,84,45,3,5
