model,failure_class,n_ligands,macro_mae,mean_mae,span_recovery,slope_abs_error,shape_mae
GEN10_MF_025,ALREADY_GOOD,82,0.5421043259322508,0.5477446785268902,0.26678647364084573,1.5673646020592258,0.36793597093251595
GEN10_MF_025,PARTIAL_LEVEL,7,1.4834743875015497,1.4834743875015497,0.13595015578178296,1.6392745043674508,0.5791412526128605
GEN10_MF_025,PURE_LEVEL,25,1.9083560977166996,1.940828195264357,0.3201044175138921,1.4872385670346195,0.4002723691725392
GEN10_MF_025,RESIDUAL_SHAPE,29,1.340592544361172,1.3301433744652917,0.20206206119447817,1.9756052707664868,0.6776130167459107
GEN10_MF_050,ALREADY_GOOD,82,0.548158657438888,0.5562427064183679,0.2625566091779655,1.6103853634127672,0.37280671025909956
GEN10_MF_050,PARTIAL_LEVEL,7,1.4383126466674248,1.4383126466674245,0.15231154792449828,1.605532674399805,0.5768291512320473
GEN10_MF_050,PURE_LEVEL,25,1.9565425003447354,1.9933763950156358,0.35383310802456336,1.4074549592858845,0.3845746925116846
GEN10_MF_050,RESIDUAL_SHAPE,29,1.3322148877529643,1.314276095319949,0.19331914946526516,1.9314027672236485,0.6671540591405198
GEN10_MF_100,ALREADY_GOOD,82,0.6564723493124471,0.6628563462319659,0.2648057937018425,1.8118876129977444,0.4055008587658294
GEN10_MF_100,PARTIAL_LEVEL,7,1.3699857103247948,1.3699857103247945,0.26274205467365475,1.5407851418682275,0.5592074661202514
GEN10_MF_100,PURE_LEVEL,25,1.8941427556117332,1.9159304544915503,0.4587527374965066,1.2983317115783612,0.35478456674107817
GEN10_MF_100,RESIDUAL_SHAPE,29,1.3971428244162296,1.3696910347102598,0.18730047947300768,1.9535418540267588,0.6754362844020577
GEN10_MF_SQRT,ALREADY_GOOD,82,0.6389185425561164,0.6391346946745029,0.15299497889901453,1.9318638318982482,0.424291028416332
GEN10_MF_SQRT,PARTIAL_LEVEL,7,1.5192665547839774,1.5192665547839772,0.07571011773449904,1.7640805141966651,0.6128150589617509
GEN10_MF_SQRT,PURE_LEVEL,25,1.815788649427906,1.843412547766327,0.20036009544474703,1.8394040929160496,0.4814345135865262
GEN10_MF_SQRT,RESIDUAL_SHAPE,29,1.4351069073653193,1.436546891352911,0.13077800549363366,2.3978310291966975,0.7941645985606842
GEN10_REP_32,ALREADY_GOOD,82,0.5403602969089885,0.5505271137599892,0.6079229496610506,1.245707386358235,0.3137511372182196
GEN10_REP_32,PARTIAL_LEVEL,7,1.4546083998768669,1.4546083998768669,0.3369710693809293,1.3207615261749974,0.49924433650599853
GEN10_REP_32,PURE_LEVEL,25,1.915668502721144,1.943052477631019,0.7860175246853991,0.9500688649808531,0.2964640979714402
GEN10_REP_32,RESIDUAL_SHAPE,29,1.3254283424761857,1.3057676473111255,0.4256193468290346,1.5172900967013563,0.5583417694857236
GEN10_REP_8,ALREADY_GOOD,82,0.5389563014244644,0.5484315281560014,0.4571557503419402,1.2410675452044713,0.32307519416823455
GEN10_REP_8,PARTIAL_LEVEL,7,1.4660264523289528,1.4660264523289528,0.3069333747656753,1.430414744877781,0.527602984811635
GEN10_REP_8,PURE_LEVEL,25,1.9373644898599913,1.9748137786592181,0.6863546597892392,0.9983668345251445,0.30237896430729994
GEN10_REP_8,RESIDUAL_SHAPE,29,1.3254963420785328,1.3078659896374702,0.3671489122267962,1.6665647769593668,0.5983742038210337
GEN9_A0_ROW_ONLY,ALREADY_GOOD,82,0.5606314313207458,0.5654947394751799,0.05877484309478557,2.2241052118792166,0.4584608011839917
GEN9_A0_ROW_ONLY,PARTIAL_LEVEL,7,1.5234241235964965,1.5234241235964965,0.05259481346625,1.905872182687545,0.6578748455670841
GEN9_A0_ROW_ONLY,PURE_LEVEL,25,1.833293474175103,1.8648843422198635,0.05647688891981724,1.9495863256930026,0.4960430168961555
GEN9_A0_ROW_ONLY,RESIDUAL_SHAPE,29,1.3651737006897338,1.3598360569762438,0.06813259156068685,2.2815319122438456,0.7574046521121546
GEN9_A1_ADJ_d05,ALREADY_GOOD,82,0.5677097894511739,0.5720031995514374,0.09920745617647078,2.2723469376042083,0.486724821070287
GEN9_A1_ADJ_d05,PARTIAL_LEVEL,7,1.5248440175812046,1.5248440175812046,0.0837156130167459,1.8804212568191985,0.645793143473375
GEN9_A1_ADJ_d05,PURE_LEVEL,25,1.8309302041330964,1.8586750067183797,0.10463666916409811,1.9507794344750895,0.5616335612462492
GEN9_A1_ADJ_d05,RESIDUAL_SHAPE,29,1.3803680313760611,1.3780133110604464,0.08909504382722899,2.5038814526950395,0.9048294440947311
GEN9_A2_END_d05,ALREADY_GOOD,82,0.6408437952668936,0.6487130369819438,0.14377566690604396,2.500616189634606,0.5398031585509268
GEN9_A2_END_d05,PARTIAL_LEVEL,7,1.523402315671703,1.523402315671703,0.15112645112249956,1.8205577215105588,0.6322043721252192
GEN9_A2_END_d05,PURE_LEVEL,25,1.8833791431950113,1.8882308755849149,0.19717892587861713,2.126030054947989,0.5881118897956229
GEN9_A2_END_d05,RESIDUAL_SHAPE,29,1.5846971270095815,1.6056028644793898,0.14299472843831054,2.6180324107124884,0.9788306749780327
GEN9_A3_RAND_d05,ALREADY_GOOD,82,0.5853522996472368,0.5922026039130975,0.0982956260553097,2.301325696435437,0.4885392220993056
GEN9_A3_RAND_d05,PARTIAL_LEVEL,7,1.544419876647126,1.5444198766471262,0.08922513377903935,1.8958026497585874,0.655221884374232
GEN9_A3_RAND_d05,PURE_LEVEL,25,1.8110921433704255,1.8381679930612187,0.08381838299581489,2.4863717953999798,0.6819757709253083
GEN9_A3_RAND_d05,RESIDUAL_SHAPE,29,1.4343230272133045,1.4462847484581745,0.09275034171056244,2.985210353386765,0.9932335762861904
GEN9_A4_MULTI_d05,ALREADY_GOOD,82,0.5703121327364427,0.5759625250326443,0.09306681159059692,2.2758918803915984,0.47539503105781256
GEN9_A4_MULTI_d05,PARTIAL_LEVEL,7,1.5280454953045484,1.5280454953045486,0.06944564031407627,1.916781833787408,0.6650402623596354
GEN9_A4_MULTI_d05,PURE_LEVEL,25,1.8224344227012699,1.8555809662585405,0.08306584381463464,2.302456211569413,0.6145589800348266
GEN9_A4_MULTI_d05,RESIDUAL_SHAPE,29,1.3919038316959378,1.397460555231587,0.09201547291908829,2.8085312397979907,0.929082415317031
GEN9_REL_MONOLITH,ALREADY_GOOD,82,0.5431553121890407,0.5489155197275467,0.2625691140076219,1.5531702600044421,0.3658925506616343
