model,axis_label,extractant,tanimoto_cluster,split_seed,slope_abs_error,shape_mae,row_mae,spearman,sign_accuracy,span_recovery,span_recovery_distance,slope_recovery_distance,n_curves
GEN10_MF_025,acid,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21,tan019,262147,0.3201813107857515,0.22224156260634265,1.9870145588298485,0.4679179625019059,0.7323232323232323,0.6081268734405912,0.8477855766200384,0.8036319738557345,2
GEN10_MF_025,acid,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,tan019,104729,0.09007031472798444,0.08630180253948454,0.11090737012619278,0.9999999999999999,1.0,0.9456673387362182,0.05433266126378178,0.11241504750034159,1
GEN10_MF_025,acid,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,tan019,130363,0.29954573392200934,0.20599418330961033,0.28923387629569863,0.8999999999999998,0.9,0.7523466734279802,0.24765332657201977,0.3738573358943218,1
GEN10_MF_025,acid,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,tan019,155921,0.10202111964102112,0.08611387332641544,0.11311929148261812,0.9999999999999999,1.0,0.9355249611574664,0.06447503884253358,0.12733061991755368,1
GEN10_MF_025,acid,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,tan019,196613,0.38638876537982364,0.20988060833189454,0.5150521856989145,0.9999999999999999,1.0,0.5706960970664768,0.42930390293352316,0.4822444724985053,1
GEN10_MF_025,acid,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,tan019,262147,0.47694402272263325,0.25738137310532305,0.5271292889959909,0.9999999999999999,1.0,0.4121252196490924,0.5878747803509077,0.5952647676572476,1
GEN10_MF_025,acid,CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,tan021,104729,0.4670491797426206,0.3192936880811998,0.4404859351548957,0.8944271909999159,1.0,0.2803025992555844,0.7196974007444157,0.6531666021880723,1
GEN10_MF_025,acid,CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,tan021,130363,0.33867092256694503,0.2754032018792056,0.47061243185099055,0.8944271909999159,1.0,0.4604353859285347,0.5395646140714653,0.473630070124208,1
GEN10_MF_025,acid,CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,tan021,155921,0.3081080761741926,0.23880119886355916,0.31144328536530586,0.8944271909999159,1.0,0.5016149085841229,0.49838509141587706,0.43088803909751616,1
GEN10_MF_025,acid,CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,tan021,196613,0.269305323692514,0.22737727364021015,0.3161290448401204,0.8944271909999159,1.0,0.5371985969184335,0.4628014030815665,0.3766225289686478,1
