model,macro_mae,macro_sd,pooled_mae,n_seeds
GEN10_MF_025,0.9852086402668035,0.028185572380648477,1.1558680737313953,5
GEN10_MF_050,0.9908810464439066,0.020549463770772897,1.154605733941772,5
GEN10_MF_100,1.071017728943461,0.0453736137989704,1.1871839489910303,5
GEN10_MF_SQRT,1.0566007012271388,0.03268701418840394,1.220966335656023,5
GEN10_REP_32,0.9943307886592219,0.04860702527664919,1.1527950319095666,5
GEN10_REP_8,0.990447098552431,0.03801071289071634,1.1549532596624377,5
GEN9_A0_ROW_ONLY,0.9893875800856147,0.025362775007779437,1.1733388747929931,5
GEN9_A1_ADJ_d05,0.9966690214030747,0.027919074434589377,1.174612792957511,5
GEN9_A2_END_d05,1.0708683311051341,0.06184158247670083,1.2274298342989225,5
GEN9_A3_RAND_d05,1.0083215605028493,0.021647514689345584,1.1902075580302518,5
GEN9_A4_MULTI_d05,0.9954521864927575,0.017137873941884676,1.1833487166498717,5
GEN9_REL_MONOLITH,0.9858074152350824,0.02496925159561588,1.1496043721802693,5
GEN9_SHAPE_RECOMPOSED,0.9694845437352135,0.025371070455110056,1.1217506325100335,5
GEN9_X_MULTI_d2,1.1950837853623368,0.05183594732725963,1.333140802157677,5
GEN9_X_MULTI_d8c,1.2730629582056383,0.057543140689452696,1.3723156702743697,5
REC_ecfp_plus_recovered,0.9807059571567518,0.022326183687605465,1.1589899640913768,5
