split_seed,fold,n_heldout_rows,n_heldout_extractants,n_heldout_chemotypes,n_headline_survivors_all,n_headline_survivors_model_ready,max_tanimoto_survivor_to_heldout,n_structural_violations
104729,0,382,22,16,10436,5286,0.6842105263157895,0
104729,1,3753,70,16,5318,1859,0.696969696969697,0
104729,2,286,18,16,10617,5376,0.6842105263157895,0
104729,3,501,18,16,9426,5301,0.6785714285714286,0
104729,4,326,24,15,9879,4837,0.696969696969697,0
130363,0,3812,54,16,5201,2749,0.696969696969697,0
130363,1,311,21,16,10637,5328,0.6785714285714286,0
130363,2,482,27,16,10349,5246,0.6923076923076923,0
130363,3,412,28,16,9680,4568,0.6923076923076923,0
130363,4,231,22,15,9804,4763,0.696969696969697,0
155921,0,3700,56,16,6356,2725,0.696969696969697,0
155921,1,420,22,16,10483,5202,0.6896551724137931,0
155921,2,239,20,16,10439,5117,0.6923076923076923,0
155921,3,519,19,16,8733,4919,0.696969696969697,0
155921,4,370,35,15,9660,4691,0.6923076923076923,0
196613,0,3762,64,16,6222,2603,0.696969696969697,0
196613,1,455,21,16,8617,4795,0.696969696969697,0
196613,2,345,17,16,10570,5303,0.6739130434782609,0
196613,3,155,20,16,9875,4713,0.6923076923076923,0
196613,4,531,30,15,10387,5240,0.6857142857142857,0
262147,0,319,19,16,9814,4834,0.696969696969697,0
262147,1,4049,64,16,4248,1984,0.696969696969697,0
262147,2,265,24,16,10673,5402,0.6857142857142857,0
262147,3,200,19,16,10668,5334,0.6764705882352942,0
262147,4,415,26,15,10273,5105,0.6923076923076923,0
