split_seed,fold,n_heldout_rows,n_heldout_extractants,n_heldout_chemotypes,assignment,pool,relationship,n_pool,n_excluded,frac_excluded,n_marginal_beyond_stricter,n_union_through_this
104729,0,382,22,16,DICT_LEGACY,all_candidates,EXACT,10778,0,0.0,0,0
104729,0,382,22,16,DICT_LEGACY,all_candidates,DUPLICATE_EQUIVALENT,10778,154,0.014288365188346632,154,154
104729,0,382,22,16,DICT_LEGACY,all_candidates,SAME_SERIES,10778,263,0.02440155873074782,109,263
104729,0,382,22,16,DICT_LEGACY,all_candidates,SAME_CHEMOTYPE,10778,310,0.028762293560957507,47,310
104729,0,382,22,16,DICT_LEGACY,all_candidates,SAME_LIGAND,10778,310,0.028762293560957507,0,310
104729,0,382,22,16,DICT_LEGACY,all_candidates,SAME_PUBLICATION,10778,281,0.026071627389126,59,369
104729,0,382,22,16,DICT_LEGACY,model_ready,EXACT,5438,0,0.0,0,0
104729,0,382,22,16,DICT_LEGACY,model_ready,DUPLICATE_EQUIVALENT,5438,0,0.0,0,0
104729,0,382,22,16,DICT_LEGACY,model_ready,SAME_SERIES,5438,101,0.018573004781169546,101,101
104729,0,382,22,16,DICT_LEGACY,model_ready,SAME_CHEMOTYPE,5438,120,0.02206693637366679,19,120
104729,0,382,22,16,DICT_LEGACY,model_ready,SAME_LIGAND,5438,120,0.02206693637366679,0,120
104729,0,382,22,16,DICT_LEGACY,model_ready,SAME_PUBLICATION,5438,115,0.021147480691430673,59,179
104729,0,382,22,16,CLOSURE,all_candidates,EXACT,10778,0,0.0,0,0
104729,0,382,22,16,CLOSURE,all_candidates,DUPLICATE_EQUIVALENT,10778,154,0.014288365188346632,154,154
104729,0,382,22,16,CLOSURE,all_candidates,SAME_SERIES,10778,263,0.02440155873074782,109,263
104729,0,382,22,16,CLOSURE,all_candidates,SAME_CHEMOTYPE,10778,342,0.031731304509185376,79,342
104729,0,382,22,16,CLOSURE,all_candidates,SAME_LIGAND,10778,310,0.028762293560957507,0,342
