split_seed,fold,sig_figs,n_pairs,n_distinct_aux_rows,n_distinct_cohort_rows,n_distinct_aux_rows_surviving_headline,n_surviving_pairs_with_target
104729,0,6,608,160,25,0,0
104729,0,3,608,160,25,0,0
104729,1,6,452,118,73,0,0
104729,1,3,452,118,73,0,0
104729,2,6,95,95,19,0,0
104729,2,3,95,95,19,0,0
104729,3,6,1581,1203,217,0,0
104729,3,3,1581,1203,217,0,0
104729,4,6,250,116,17,0,0
104729,4,3,250,116,17,0,0
130363,0,6,2033,1321,290,0,0
130363,0,3,2033,1321,290,0,0
130363,1,6,6,6,6,0,0
130363,1,3,6,6,6,0,0
130363,2,6,667,219,32,0,0
130363,2,3,667,219,32,0,0
130363,3,6,30,30,6,0,0
130363,3,3,30,30,6,0,0
130363,4,6,250,116,17,0,0
130363,4,3,250,116,17,0,0
155921,0,6,458,124,79,0,0
155921,0,3,458,124,79,0,0
155921,1,6,30,30,6,0,0
155921,1,3,30,30,6,0,0
155921,2,6,0,0,0,0,0
155921,2,3,0,0,0,0,0
155921,3,6,1861,1349,240,0,0
155921,3,3,1861,1349,240,0,0
155921,4,6,637,189,26,0,0
155921,4,3,637,189,26,0,0
196613,0,6,482,148,79,0,0
196613,0,3,482,148,79,0,0
196613,1,6,1831,1319,234,0,0
196613,1,3,1831,1319,234,0,0
196613,2,6,65,65,13,0,0
196613,2,3,65,65,13,0,0
196613,3,6,0,0,0,0,0
196613,3,3,0,0,0,0,0
196613,4,6,608,160,25,0,0
196613,4,3,608,160,25,0,0
262147,0,6,286,152,29,0,0
262147,0,3,286,152,29,0,0
262147,1,6,2033,1321,290,0,0
262147,1,3,2033,1321,290,0,0
262147,2,6,65,65,13,0,0
262147,2,3,65,65,13,0,0
262147,3,6,0,0,0,0,0
262147,3,3,0,0,0,0,0
262147,4,6,602,154,19,0,0
262147,4,3,602,154,19,0,0
