doi,in_cohort,n_aux_records,n_aux_model_ready,n_aux_with_target,n_cohort_source_records,n_cohort_rows,n_cohort_extractants,n_cohort_chemotypes,aux_metal_categories
10.1021/acssuschemeng.4c06166,False,2873,1880,2873,0,0,0,0,actinide
10.1080/07366290600646947,True,970,0,970,194,194,1,1,lanthanide
MISSING,False,752,534,727,0,0,0,0,"actinide,alkaline_earth,lanthanide,unknown"
10.1080/07366299.2015.1087209,True,686,662,686,297,297,6,3,actinide
10.1002/jctb.5010180705,False,606,0,0,0,0,0,0,unknown
10.1016/j.cej.2014.12.060,False,240,0,0,0,0,0,0,unknown
10.1080/07366290701416000,True,233,0,233,43,23,1,1,lanthanide
10.1016/j.proche.2012.10.026,False,228,0,0,0,0,0,0,unknown
10.1039/d4dt02176b,False,208,184,208,0,0,0,0,actinide
10.1016/j.hydromet.2020.105248,True,205,164,179,392,391,1,1,"actinide,alkaline_earth,rare_earth_non_lanthanide,unknown"
10.1081/sei-200066296,True,173,104,149,26,26,1,1,"actinide,alkaline_earth,lanthanide,unknown"
10.1080/07366299.2017.1400161,False,159,0,0,0,0,0,0,unknown
10.1039/c6nj02696f,True,154,0,154,26,19,3,1,lanthanide
10.1080/07366299.2012.700591,True,153,58,68,2,2,1,1,"actinide,lanthanide"
10.1007/s10967-017-5248-4,True,143,141,143,12,12,2,1,actinide
10.1080/07366290701634578,True,142,36,38,10,2,1,1,"actinide,lanthanide"
10.1039/d2nj05663a,True,138,138,138,54,54,4,2,actinide
10.1016/j.hydromet.2014.12.019,False,130,0,121,0,0,0,0,"actinide,lanthanide"
10.2116/analsci.32.477,True,116,0,116,22,17,1,1,lanthanide
10.1039/c7dt01954h,True,105,105,105,29,29,4,1,actinide
10.1080/07366290903565885,False,105,47,53,0,0,0,0,"actinide,unknown"
10.1021/acs.inorgchem.9b03612,True,101,9,9,26,26,1,1,"actinide,unknown"
10.1081/sei-100001376,True,100,62,95,49,45,6,1,"actinide,lanthanide"
10.1080/07366290601169352,True,98,68,98,55,55,4,1,"actinide,alkaline_earth"
10.1080/07366290802672212,True,97,97,97,83,83,7,1,actinide
10.1081/sei-120024552,False,93,93,93,0,0,0,0,alkaline_earth
10.15261/serdj.26.21,True,89,89,89,6,6,1,1,"actinide,alkaline_earth,post_transition_metal,transition_metal"
10.1080/07366299.2011.539127,True,72,20,20,20,20,1,1,"actinide,unknown"
10.1039/c6dt04034a,True,68,68,68,19,18,3,1,"actinide,lanthanide"
10.13182/nt01-a3198,False,67,43,67,0,0,0,0,actinide
10.1080/07366299.2017.1373997,False,65,0,0,0,0,0,0,unknown
10.1080/18811248.2007.9711301,True,61,61,61,10,10,1,1,"actinide,alkaline_earth,post_transition_metal,transition_metal"
10.1524/ract.92.8.463.39276,False,60,59,59,0,0,0,0,"actinide,alkaline_earth"
10.1080/07366298608917877,True,60,0,60,12,12,2,2,lanthanide
10.1080/07366299.2017.1415670,True,60,48,54,93,62,4,4,"actinide,lanthanide"
10.1039/d4gc01146e,True,60,0,60,178,112,5,3,lanthanide
10.1016/j.ica.2017.07.048,False,54,24,24,0,0,0,0,"actinide,unknown"
10.1080/07366299.2013.800431,True,52,52,52,8,8,1,1,"actinide,alkaline_earth,post_transition_metal,rare_earth_non_lanthanide"
10.1080/10610278.2010.506553,True,47,47,47,47,47,8,8,actinide
10.1080/07366299.2020.1794523,True,46,44,44,38,38,1,1,"actinide,lanthanide"
10.1080/07366299.2019.1695560,False,44,0,0,0,0,0,0,unknown
10.1016/j.aca.2004.09.023,True,44,44,44,51,51,1,1,"actinide,alkaline_earth,rare_earth_non_lanthanide,transition_metal"
10.1007/s10967-017-5614-2,True,43,37,37,45,45,1,1,actinide
10.1081/sei-120016073,False,40,14,14,0,0,0,0,"actinide,unknown"
10.1016/j.hydromet.2016.04.010,False,37,37,37,0,0,0,0,transition_metal
10.1080/07366291003685383,True,36,27,33,2,1,1,1,"actinide,lanthanide"
10.1021/ic3000526,True,35,0,35,7,7,1,1,lanthanide
10.5182/jaie.18.354,False,35,30,35,0,0,0,0,actinide
10.1002/slct.201701465,False,34,0,0,0,0,0,0,unknown
10.1524/ract.2006.94.6.307,True,31,28,31,3,3,1,1,actinide
10.1002/slct.202202610,True,31,0,0,34,34,1,1,unknown
10.1016/j.ica.2020.119928,True,30,0,0,60,60,3,1,unknown
10.1007/s10967-007-7238-4,False,29,24,24,0,0,0,0,"actinide,unknown"
10.1007/s10967-010-0467-y,True,29,29,29,8,8,1,1,actinide
10.1080/01496395.2014.959133,False,28,0,0,0,0,0,0,unknown
10.1080/07366299.2011.539421,False,26,0,0,0,0,0,0,unknown
10.1299/jsmeicone.2007.15._icone1510_87,True,25,5,5,2,2,1,1,"alkaline_earth,transition_metal,unknown"
10.1016/j.molliq.2020.113685,True,24,0,0,3,3,1,1,unknown
10.1080/07366290601169345,True,23,18,18,32,32,1,1,"actinide,unknown"
10.1016/j.seppur.2012.07.007,False,22,22,22,0,0,0,0,alkaline_earth
10.1080/07366299.2013.836422,True,20,20,20,30,30,4,4,actinide
10.1080/07366299.2013.833791,True,18,18,18,18,18,2,2,actinide
10.1007/s10967-015-4101-x,False,16,16,16,0,0,0,0,actinide
10.1007/s10967-012-1905-9,True,16,11,11,2,2,1,1,"actinide,alkaline_earth,unknown"
10.1016/j.aca.2005.04.061,True,15,15,15,16,16,1,1,actinide
10.1021/acs.jpcb.6b11222,True,15,15,15,5,5,5,1,actinide
10.1081/sei-120039640,False,14,9,9,0,0,0,0,"actinide,unknown"
10.15261/serdj.18.93,True,12,12,12,459,160,4,1,actinide
10.1007/s10967-017-5317-8,True,11,11,11,39,24,1,1,actinide
10.1080/07366299.2012.757160,True,11,7,11,21,9,1,1,"actinide,lanthanide"
10.1524/ract.2013.2015,False,11,0,0,0,0,0,0,unknown
10.1016/j.jre.2018.01.011,True,11,9,11,26,24,1,1,rare_earth_non_lanthanide
10.1080/01496395.2015.1085874,True,10,10,10,9,9,2,1,actinide
10.1016/j.molliq.2017.02.110,True,10,10,10,10,10,1,1,actinide
10.1080/07366299.2013.866857,True,9,5,5,3,3,3,1,"actinide,lanthanide,unknown"
10.1039/c8nj01074a,True,9,0,0,3,3,1,1,"lanthanide,unknown"
10.1016/j.jcis.2010.12.039,False,9,0,0,0,0,0,0,unknown
10.1016/j.hydromet.2017.03.005,True,7,7,7,5,4,1,1,"actinide,transition_metal"
10.1016/j.proche.2012.10.061,False,6,0,6,0,0,0,0,actinide
10.1021/ja016597f,False,5,0,5,0,0,0,0,lanthanide
10.1007/s41365-017-0229-4,True,5,0,0,186,186,1,1,unknown
10.1524/ract.2010.1708,False,5,0,5,0,0,0,0,lanthanide
10.1002/chem.201806161,True,4,4,4,55,42,3,1,actinide
10.1016/j.molliq.2019.111741,False,4,4,4,0,0,0,0,actinide
10.1007/s10967-020-07368-2,True,4,0,0,75,75,7,2,lanthanide
10.2298/jsc171109043h,True,2,0,0,93,75,4,1,lanthanide
10.1081/sei-200037727,True,1,1,1,179,126,1,1,lanthanide
10.1081/sei-100103812,False,1,1,1,0,0,0,0,actinide
10.1021/acs.inorgchem.0c02861,True,1,0,0,203,203,17,6,lanthanide
10.1080/01496395.2016.1274760,True,1,1,1,215,203,1,1,lanthanide
