split_seed,fold,assignment,policy,pool,metal_category,n_surviving,n_surviving_with_target
104729,0,DICT_LEGACY,HEADLINE,all_candidates,actinide,6161,6097
104729,0,DICT_LEGACY,HEADLINE,all_candidates,alkaline_earth,285,284
104729,0,DICT_LEGACY,HEADLINE,all_candidates,lanthanide,1892,1733
104729,0,DICT_LEGACY,HEADLINE,all_candidates,post_transition_metal,44,44
104729,0,DICT_LEGACY,HEADLINE,all_candidates,rare_earth_non_lanthanide,59,59
104729,0,DICT_LEGACY,HEADLINE,all_candidates,transition_metal,109,109
104729,0,DICT_LEGACY,HEADLINE,all_candidates,unknown,1918,0
104729,0,DICT_LEGACY,HEADLINE,all_candidates,ALL,10468,8326
104729,0,DICT_LEGACY,HEADLINE,model_ready,actinide,4776,4776
104729,0,DICT_LEGACY,HEADLINE,model_ready,alkaline_earth,246,246
104729,0,DICT_LEGACY,HEADLINE,model_ready,lanthanide,86,86
104729,0,DICT_LEGACY,HEADLINE,model_ready,post_transition_metal,44,44
104729,0,DICT_LEGACY,HEADLINE,model_ready,rare_earth_non_lanthanide,57,57
104729,0,DICT_LEGACY,HEADLINE,model_ready,transition_metal,109,109
104729,0,DICT_LEGACY,HEADLINE,model_ready,ALL,5318,5318
104729,0,DICT_LEGACY,PUBLICATION_BLOCKED,all_candidates,actinide,6102,6038
104729,0,DICT_LEGACY,PUBLICATION_BLOCKED,all_candidates,alkaline_earth,285,284
104729,0,DICT_LEGACY,PUBLICATION_BLOCKED,all_candidates,lanthanide,1892,1733
104729,0,DICT_LEGACY,PUBLICATION_BLOCKED,all_candidates,post_transition_metal,44,44
104729,0,DICT_LEGACY,PUBLICATION_BLOCKED,all_candidates,rare_earth_non_lanthanide,59,59
104729,0,DICT_LEGACY,PUBLICATION_BLOCKED,all_candidates,transition_metal,109,109
104729,0,DICT_LEGACY,PUBLICATION_BLOCKED,all_candidates,unknown,1918,0
104729,0,DICT_LEGACY,PUBLICATION_BLOCKED,all_candidates,ALL,10409,8267
104729,0,DICT_LEGACY,PUBLICATION_BLOCKED,model_ready,actinide,4717,4717
104729,0,DICT_LEGACY,PUBLICATION_BLOCKED,model_ready,alkaline_earth,246,246
