comparison,dropped_chemotype,delta,n_units
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc032,0.10853277603415412,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc033,0.10320831434785555,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc036,0.10196195633404606,86
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc055,0.10972495151287256,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc057,0.10558196634291542,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc058,0.11159443324321197,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc059,0.10575859909267467,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc060,0.10662091916567709,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc061,0.10886354603794497,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc062,0.1071876566542842,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc063,0.10603609400956111,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc068,0.10977268228240208,84
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc069,0.11209204576919087,88
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc070,0.10905373451962161,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc071,0.10906333710161421,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc075,0.1073046678459131,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc076,0.1085672965535973,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc077,0.10866251930326376,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc078,0.10824232501857618,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc083,0.11130729309236442,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc084,0.10925934788826329,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc085,0.10986720183982668,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc086,0.10716409853141498,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc092,0.10708854267203181,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc096,0.1037835234591981,89
S1_M_SELECTED_vs_B1_MEAN_CURVE,sc097,0.10576887916146094,89
