comparison,dropped_chemotype,delta,n_units
X_X_LOGK_GATED_vs_M_PHYSICS_radius+radius_sq,(none),-1.7266630458167813e-05,90
X_X_LOGK_GATED_vs_M_PHYSICS_radius+radius_sq,sc000,-0.00025582360210770193,89
X_X_LOGK_GATED_vs_M_PHYSICS_radius+radius_sq,sc001,-2.143895355399547e-05,89
X_X_LOGK_GATED_vs_M_PHYSICS_radius+radius_sq,sc007,-6.329519210526214e-05,89
X_X_LOGK_GATED_vs_M_PHYSICS_radius+radius_sq,sc008,-3.648777168539943e-05,88
X_X_LOGK_GATED_vs_M_PHYSICS_radius+radius_sq,sc009,-0.00015562848544466344,67
X_X_LOGK_GATED_vs_M_PHYSICS_radius+radius_sq,sc010,-0.00017561726527394166,89
X_X_LOGK_GATED_vs_M_PHYSICS_radius+radius_sq,sc012,3.296890057206818e-05,89
X_X_LOGK_GATED_vs_M_PHYSICS_radius+radius_sq,sc015,-0.00018491457303587605,89
X_X_LOGK_GATED_vs_M_PHYSICS_radius+radius_sq,sc016,4.086559260738773e-05,89
X_X_LOGK_GATED_vs_M_PHYSICS_radius+radius_sq,sc017,-7.79256435559653e-05,89
X_X_LOGK_GATED_vs_M_PHYSICS_radius+radius_sq,sc018,8.363416770367558e-05,89
X_X_LOGK_GATED_vs_M_PHYSICS_radius+radius_sq,sc019,0.00018058357718520577,89
X_X_LOGK_GATED_vs_M_PHYSICS_radius+radius_sq,sc020,2.56636248067794e-05,89
X_X_LOGK_GATED_vs_M_PHYSICS_radius+radius_sq,sc021,-0.0002002747763048693,89
X_X_LOGK_GATED_vs_M_PHYSICS_radius+radius_sq,sc027,-0.00030359498296704833,84
X_X_LOGK_GATED_vs_M_PHYSICS_radius+radius_sq,sc028,-0.000224574113093528,88
X_X_LOGK_GATED_vs_M_PHYSICS_radius+radius_sq,sc029,4.9834394823205296e-05,87
X_X_LOGK_GATED_vs_M_PHYSICS_radius+radius_sq,sc030,4.051030229893523e-05,87
X_X_LOGK_GATED_vs_M_PHYSICS_radius+radius_sq,sc031,6.284702294963227e-05,87
X_X_LOGK_GATED_vs_M_PHYSICS_radius+radius_sq,sc032,2.5427446550257283e-06,89
X_X_LOGK_GATED_vs_M_PHYSICS_radius+radius_sq,sc033,1.66529390641722e-05,89
