grouping,extractant,n_rows,baseline_mae,baseline_rmse,baseline_sign_accuracy,baseline_r2,delta3d_mae,delta3d_rmse,delta3d_sign_accuracy,delta3d_r2,mae_reduction
extractant,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,498,0.11012735221983569,0.1571927242354263,0.7670682730923695,0.07562174845898095,0.10809437083760129,0.15305890454374688,0.7991967871485943,0.12360066513370804,0.0020329813822344
extractant,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,176,0.16041904605924884,0.2294457756412977,0.75,-0.05747356348285226,0.15804291894197206,0.22576020902385213,0.7727272727272727,-0.02377420642101402,0.0023761271172767773
extractant,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,158,0.20703874972247238,0.3169755095238527,0.7025316455696202,-0.025658977300831776,0.20703874972247238,0.3169755095238527,0.7025316455696202,-0.025658977300831776,0.0
extractant,CCN(CC)C(=O)COCC(=O)N(CC)CC,66,0.08255539852912047,0.10161458036203525,0.45454545454545453,0.14776186427254479,0.0850891453872349,0.1033774050117723,0.45454545454545453,0.11793587177149656,-0.00253374685811443
extractant,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,57,0.09679895602415431,0.12538800011585205,0.6666666666666666,-0.2722652341614462,0.09638732866018797,0.12356074925607877,0.6666666666666666,-0.2354545548252287,0.0004116273639663409
extractant,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,50,0.11460350488518607,0.20430269788090435,0.74,-0.01662555060214088,0.10766936646378705,0.19726185135243704,0.74,0.05223857870126003,0.006934138421399019
extractant,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,40,0.09558824364990377,0.14875331127086783,0.725,-0.4374899536901711,0.10152912515123698,0.15354937242767977,0.725,-0.5316785336443237,-0.005940881501333206
extractant,CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,39,0.09103318830814235,0.11927975293310528,0.6410256410256411,0.07311730238997849,0.0904923676604915,0.11765934144941187,0.6410256410256411,0.09812958631379731,0.000540820647650847
extractant,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,30,0.07927620593547569,0.10331552240741879,1.0,0.45136277362349053,0.08498422173849217,0.10898533646116997,1.0,0.3894935469882489,-0.0057080158030164835
extractant,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,28,0.09523700446864905,0.14049617227722389,0.6785714285714286,-2.3570066921275776,0.08723145709679232,0.13113717458103927,0.6785714285714286,-1.9246565088666614,0.008005547371856728
