feature,delta3d_blend_weight,importance
pair__delta_ionic_radius,0.5,0.041200961436661215
delta3d__feat3d__polyhedron__donor_atomic_number_09,0.5,0.029766358980258704
pair__delta_Z,0.5,0.02415915574462876
pair__ionic_radius_B,0.5,0.01860133176951307
base__ecfp_1454,0.5,0.017698293384649347
pair__ionic_radius_mean,0.5,0.01712325971780104
delta3d__feat3d__complex_physical__coordination_number,0.5,0.01597425432175652
pair__Z_A,0.5,0.015741619159935376
base__ecfp_649,0.5,0.015495098621313274
pair__ionic_radius_A,0.5,0.015367300885151189
delta3d__feat3d__polyhedron__coordination_number,0.5,0.014893330630077785
base__ecfp_872,0.5,0.014633711160307775
base__ecfp_358,0.5,0.014561703176299508
pair__Z_B,0.5,0.01366877703349533
pair__Z_mean,0.5,0.013395411762413767
delta3d__feat3d__polyhedron__donor_angle_06_08_deg,0.5,0.011497066541616635
base__cond__acid_concentration_M,0.5,0.011053633964714616
base__ecfp_2004,0.5,0.0108778421812418
delta3d__feat3d__polyhedron__ln_donor_distance_02,0.5,0.009382487827642883
delta3d__feat3d__polyhedron__donor_angle_03_05_deg,0.5,0.009321808892315705
base__ecfp_1272,0.5,0.00930823305532094
delta3d__feat3d__polyhedron__donor_angle_01_06_deg,0.5,0.008179725265004857
base__NumRotatableBonds,0.5,0.00789813964080446
base__MolLogP,0.5,0.007598085771048862
delta3d__feat3d__polyhedron__donor_angle_01_03_deg,0.5,0.007459988636773798
delta3d__feat3d__complex_physical__donor_partial_charge_min,0.5,0.0073111078023848156
base__ecfp_695,0.5,0.007271263149772318
base__ecfp_1669,0.5,0.0072108086891554055
delta3d__feat3d__polyhedron__donor_angle_05_06_deg,0.5,0.007196310007328167
base__cond__extractant_concentration_M,0.5,0.007097873230119537
delta3d__feat3d__complex_physical__ln_donor_distance_mean,0.5,0.0069724657869131386
base__MolWt,0.5,0.006882668185662374
delta3d__feat3d__polyhedron__donor_angle_08_09_deg,0.5,0.006837210917209398
delta3d__feat3d__polyhedron__ln_donor_distance_01,0.5,0.006596132167629205
base__ecfp_1152,0.5,0.006475050985888765
delta3d__feat3d__polyhedron__donor_angle_01_02_deg,0.5,0.006354715825894017
base__ecfp_656,0.5,0.006257560766466981
delta3d__feat3d__polyhedron__ln_donor_distance_03,0.5,0.006170820868476626
delta3d__feat3d__polyhedron__donor_angle_04_05_deg,0.5,0.006168744712777031
base__ecfp_1405,0.5,0.006148157754084092
base__cond__metal_concentration_mM,0.5,0.006138262289771008
delta3d__feat3d__polyhedron__donor_angle_03_09_deg,0.5,0.0059388221486202444
base__ecfp_1135,0.5,0.0059354286600151115
delta3d__feat3d__polyhedron__donor_angle_02_07_deg,0.5,0.005930858378546723
delta3d__feat3d__polyhedron__donor_angle_01_04_deg,0.5,0.0058845514025503455
delta3d__feat3d__polyhedron__donor_angle_02_03_deg,0.5,0.005837585679653847
delta3d__feat3d__polyhedron__donor_angle_01_08_deg,0.5,0.005805174079897416
base__ecfp_523,0.5,0.005707085154994737
delta3d__feat3d__polyhedron__donor_angle_07_08_deg,0.5,0.005706340138557109
delta3d__feat3d__polyhedron__donor_angle_03_07_deg,0.5,0.005685553610646697
delta3d__feat3d__polyhedron__donor_angle_04_07_deg,0.5,0.00568272953463613
delta3d__feat3d__polyhedron__donor_angle_05_07_deg,0.5,0.005563028268051761
delta3d__feat3d__polyhedron__donor_angle_04_08_deg,0.5,0.005474218284389377
delta3d__feat3d__polyhedron__donor_angle_03_08_deg,0.5,0.005424404153000927
base__ecfp_1407,0.5,0.00539448442555631
delta3d__feat3d__polyhedron__donor_angle_02_04_deg,0.5,0.005303963498525178
delta3d__feat3d__polyhedron__donor_angle_05_08_deg,0.5,0.005160807206299725
delta3d__feat3d__polyhedron__ln_donor_distance_05,0.5,0.005157000727671701
delta3d__feat3d__complex_physical__donor_partial_charge_03,0.5,0.005136525267302169
delta3d__feat3d__complex_physical__ln_donor_distance_min,0.5,0.005109597298373658
delta3d__feat3d__polyhedron__donor_angle_02_09_deg,0.5,0.0051048498590134115
delta3d__feat3d__polyhedron__donor_angle_02_05_deg,0.5,0.0050499925988794206
base__ecfp_1598,0.5,0.005014088085180308
base__NumHAcceptors,0.5,0.004848964306069812
base__ecfp_1209,0.5,0.00475977852495925
delta3d__feat3d__polyhedron_scalars__coreCN_donor_gap,0.5,0.0047507328298863095
base__TPSA,0.5,0.004726439955862677
delta3d__feat3d__polyhedron__donor_angle_03_06_deg,0.5,0.004667544406376568
delta3d__feat3d__polyhedron__donor_angle_01_09_deg,0.5,0.004560449888703269
base__FractionCSP3,0.5,0.004498953323406248
delta3d__feat3d__polyhedron__ln_donor_distance_07,0.5,0.00432250293607045
base__ecfp_1271,0.5,0.0043172642917092335
base__ecfp_950,0.5,0.004315126003996407
delta3d__feat3d__polyhedron__ln_donor_distance_09,0.5,0.004305859188322015
delta3d__feat3d__polyhedron__ln_donor_distance_06,0.5,0.004298600645879325
delta3d__feat3d__polyhedron__donor_angle_02_06_deg,0.5,0.0042489541806678514
delta3d__feat3d__polyhedron__donor_angle_04_09_deg,0.5,0.004240727819999836
delta3d__feat3d__polyhedron__donor_angle_05_09_deg,0.5,0.004201413279995753
base__cond__diluent__toluene,0.5,0.00419462944545299
delta3d__feat3d__complex_physical__donor_partial_charge_04,0.5,0.004145956438653259
delta3d__feat3d__polyhedron_scalars__coreCN_max_donor_dist,0.5,0.004063175228452012
delta3d__feat3d__polyhedron__donor_angle_04_06_deg,0.5,0.004055098580742514
delta3d__feat3d__polyhedron__ln_donor_distance_08,0.5,0.004041838244055633
delta3d__feat3d__polyhedron__donor_angle_01_05_deg,0.5,0.0040093502015797824
delta3d__feat3d__polyhedron__ln_donor_distance_04,0.5,0.0039856702192332056
delta3d__feat3d__polyhedron__donor_angle_03_04_deg,0.5,0.003972848583034074
base__ecfp_1442,0.5,0.003928663540446205
delta3d__feat3d__complex_physical__ln_donor_distance_std,0.5,0.003903975752879713
base__ecfp_1096,0.5,0.0038314062723322183
base__cond__acid__hno3,0.5,0.003808554503268367
delta3d__feat3d__complex_physical__metal_partial_charge,0.5,0.003764105518973854
base__cond__acid__hcl,0.5,0.0037457644501436935
delta3d__feat3d__polyhedron__donor_angle_02_08_deg,0.5,0.003724001374846897
delta3d__feat3d__complex_physical__dipole_magnitude,0.5,0.0037195487391907464
delta3d__feat3d__complex_physical__donor_partial_charge_08,0.5,0.0037190222706101304
delta3d__feat3d__complex_physical__ln_donor_distance_max,0.5,0.0037136880215796744
delta3d__feat3d__polyhedron_scalars__next_donor_dist,0.5,0.0035850373836177427
delta3d__feat3d__polyhedron__donor_angle_06_07_deg,0.5,0.0034982264657734304
base__ecfp_1444,0.5,0.0034796529049542354
delta3d__feat3d__polyhedron__donor_angle_01_07_deg,0.5,0.003384108708863198
base__ecfp_1238,0.5,0.0033589079788430383
base__ecfp_1384,0.5,0.0032973873083387505
delta3d__feat3d__complex_physical__donor_partial_charge_09,0.5,0.0032906754560788174
base__ecfp_1143,0.5,0.0032843548006007833
base__ecfp_1190,0.5,0.003270023681706495
delta3d__feat3d__complex_physical__donor_partial_charge_07,0.5,0.0031972597238379085
base__cond__diluent__n_dodecane,0.5,0.0031742602815123754
base__ecfp_1951,0.5,0.003166411647479673
base__ecfp_896,0.5,0.0031283783860799946
base__ecfp_251,0.5,0.0031283523217633916
base__ecfp_24,0.5,0.0031067343787306778
base__cond__temperature_C,0.5,0.003044861259292503
base__ecfp_13,0.5,0.0030313634933450484
delta3d__feat3d__complex_physical__donor_partial_charge_01,0.5,0.0029560189323300998
delta3d__feat3d__complex_physical__donor_partial_charge_05,0.5,0.0029402741906713655
delta3d__feat3d__polyhedron__donor_angle_06_09_deg,0.5,0.0029298848664325726
base__NumAromaticRings,0.5,0.0027407433396381153
base__cond__contact_time_min,0.5,0.0027098651685235693
base__ecfp_1716,0.5,0.0026821749594282502
base__ecfp_739,0.5,0.002676101993873876
missingindicator_base__cond__metal_concentration_mM,0.5,0.0026157896926672954
delta3d__feat3d__complex_physical__donor_partial_charge_std,0.5,0.0025935150865145163
base__ecfp_1088,0.5,0.0025647950654527994
delta3d__feat3d__polyhedron__donor_angle_07_09_deg,0.5,0.0025167073429401073
missingindicator_delta3d__feat3d__complex_physical__donor_partial_charge_04,0.5,0.002489911550621061
base__ecfp_807,0.5,0.0024860435615519363
missingindicator_delta3d__feat3d__complex_physical__donor_partial_charge_max,0.5,0.0024518361590695364
delta3d__feat3d__complex_physical__observed_donors_within_3p10A,0.5,0.0024316375564881077
delta3d__feat3d__complex_physical__donor_partial_charge_max,0.5,0.0024052708078979392
base__ecfp_1911,0.5,0.002373750485112257
base__ecfp_130,0.5,0.002359873571964317
base__ecfp_1838,0.5,0.002355079897602178
base__ecfp_283,0.5,0.002229041732741345
base__ecfp_1352,0.5,0.0022249559084855136
delta3d__feat3d__complex_physical__donor_partial_charge_02,0.5,0.002221594421941824
base__NumHDonors,0.5,0.0022131793584752504
base__ecfp_874,0.5,0.0021857334385036674
missingindicator_base__cond__contact_time_min,0.5,0.0021748126344167643
delta3d__feat3d__complex_physical__donor_partial_charge_06,0.5,0.002167259845337358
base__ecfp_650,0.5,0.0021625688226422145
missingindicator_delta3d__feat3d__polyhedron__donor_angle_07_09_deg,0.5,0.0021277855876851996
delta3d__feat3d__complex_physical__donor_partial_charge_mean,0.5,0.0020329382932325183
base__ecfp_1385,0.5,0.001974254026245532
base__ecfp_348,0.5,0.0019023776654721605
base__ecfp_591,0.5,0.0018741719787063618
base__ecfp_1163,0.5,0.001824168876947443
base__cond__diluent__isopar_l_with_30_vol_exxal_13,0.5,0.001756920089361573
base__ecfp_1039,0.5,0.0017440077823424444
base__ecfp_1,0.5,0.0017100334189459924
missingindicator_delta3d__feat3d__complex_physical__donor_partial_charge_std,0.5,0.0016946333845334791
base__ecfp_1257,0.5,0.0016356974009531673
base__ecfp_1992,0.5,0.0016226685744867063
base__ecfp_1724,0.5,0.0015621790559688846
base__ecfp_1917,0.5,0.0015338622318435348
base__ecfp_1750,0.5,0.0014514435537483223
base__ecfp_794,0.5,0.001382509117011689
missingindicator_delta3d__feat3d__complex_physical__dipole_magnitude,0.5,0.001379054917217081
base__ecfp_1019,0.5,0.001366675862301631
delta3d__feat3d__polyhedron__donor_atomic_number_07,0.5,0.0013555713466798303
missingindicator_delta3d__feat3d__complex_physical__donor_partial_charge_08,0.5,0.0013275817397380943
base__ecfp_593,0.5,0.0013137617785467187
missingindicator_delta3d__feat3d__polyhedron__ln_donor_distance_09,0.5,0.0012792055557672556
base__ecfp_235,0.5,0.0012589089006619372
missingindicator_delta3d__feat3d__polyhedron__donor_atomic_number_09,0.5,0.0012559201409706438
base__ecfp_1164,0.5,0.0011852071106154326
base__ecfp_1275,0.5,0.0011835379019129292
missingindicator_delta3d__feat3d__complex_physical__donor_partial_charge_07,0.5,0.0011681368483853365
base__cond__diluent__other,0.5,0.001130885813448759
base__ecfp_1649,0.5,0.00112752318215814
base__ecfp_599,0.5,0.0010900329384011043
base__ecfp_1269,0.5,0.001075519069935189
missingindicator_delta3d__feat3d__polyhedron__donor_angle_06_09_deg,0.5,0.0010600147008387024
missingindicator_delta3d__feat3d__complex_physical__donor_partial_charge_09,0.5,0.0010429828262580175
base__ecfp_1512,0.5,0.0010408250807479595
base__ecfp_463,0.5,0.0010376549041299099
base__ecfp_241,0.5,0.0010309128776874812
missingindicator_delta3d__feat3d__polyhedron__donor_angle_08_09_deg,0.5,0.001015644486948582
missingindicator_delta3d__feat3d__polyhedron__donor_angle_03_09_deg,0.5,0.001013673648725326
missingindicator_delta3d__feat3d__polyhedron__donor_angle_05_09_deg,0.5,0.00100539988709817
base__ecfp_978,0.5,0.0009623638196421365
base__ecfp_755,0.5,0.0009587736845999279
base__ecfp_618,0.5,0.0009564833494945649
base__ecfp_1950,0.5,0.000942969282060401
missingindicator_delta3d__feat3d__complex_physical__donor_partial_charge_05,0.5,0.0009422853974929347
base__ecfp_59,0.5,0.000938559339268859
base__RingCount,0.5,0.0009356583212095846
base__cond__diluent__chcl3,0.5,0.000925747031095805
base__ecfp_1897,0.5,0.0008868490836553634
missingindicator_delta3d__feat3d__polyhedron__donor_angle_02_09_deg,0.5,0.0008769255163631856
base__ecfp_1413,0.5,0.0008599267330377811
base__ecfp_890,0.5,0.0008587891377881696
missingindicator_delta3d__feat3d__polyhedron__donor_angle_04_09_deg,0.5,0.0008446894479711831
missingindicator_delta3d__feat3d__complex_physical__donor_partial_charge_01,0.5,0.0008319013389403098
base__ecfp_298,0.5,0.0008311637839490474
base__ecfp_294,0.5,0.0008298718601998139
base__ecfp_1873,0.5,0.0008283582729512644
base__ecfp_334,0.5,0.000817888365128375
delta3d__feat3d__polyhedron__donor_atomic_number_04,0.5,0.0008099045311618948
delta3d__feat3d__polyhedron__donor_atomic_number_08,0.5,0.0008084676288177822
base__ecfp_1237,0.5,0.0008004333209671467
missingindicator_delta3d__feat3d__complex_physical__donor_partial_charge_06,0.5,0.0007799248881670337
base__ecfp_1799,0.5,0.000768222511772102
base__ecfp_908,0.5,0.0007384525652759937
base__ecfp_1283,0.5,0.0007253972286121832
base__ecfp_1691,0.5,0.0007130772127031053
missingindicator_delta3d__feat3d__polyhedron__donor_angle_01_09_deg,0.5,0.0007032946774123361
base__ecfp_1055,0.5,0.0006985690125347498
base__ecfp_438,0.5,0.0006972178293727226
base__ecfp_736,0.5,0.0006912480984319281
delta3d__feat3d__polyhedron__donor_atomic_number_06,0.5,0.0006912069004096805
base__ecfp_419,0.5,0.0006823149371145855
base__ecfp_145,0.5,0.0006742276233450208
missingindicator_delta3d__feat3d__complex_physical__donor_partial_charge_min,0.5,0.0006662713344445701
base__ecfp_254,0.5,0.0006636358897819623
base__ecfp_1653,0.5,0.0006598259804744017
base__ecfp_1652,0.5,0.0006543097544758092
base__ecfp_1914,0.5,0.0006478813537015616
base__ecfp_1380,0.5,0.0006449933037193131
base__ecfp_2018,0.5,0.0006392992713385585
base__ecfp_1824,0.5,0.0006342350291096108
base__ecfp_1391,0.5,0.0006328486784188403
base__ecfp_1896,0.5,0.0006305013299224922
base__ecfp_553,0.5,0.0006246102432706698
base__ecfp_773,0.5,0.0006150615684146149
base__ecfp_157,0.5,0.0006052501969229716
delta3d__feat3d__polyhedron__donor_atomic_number_05,0.5,0.0006018746239907203
base__ecfp_1160,0.5,0.0005940493185847279
base__ecfp_1502,0.5,0.0005916746108909116
