band,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1
far,X_V2_BAG_MIX3_vs_C_DIRECT_ROW,mae_all,C_DIRECT_ROW,V2_BAG_MIX3,0.012160139205641629,-0.05496213798498908,0.07744521740074482,-0.05089224698811757,0.0809973368403828,0.711,0.033949933681490074,0.0950598143081722,-0.01191166637530734,29,18,3,5,-0.01159272000832575,0.027627455474591094,False,0.02,False,False
far,X_V2_BAG_MIX3_vs_B1_MEAN_CURVE,mae_all,B1_MEAN_CURVE,V2_BAG_MIX3,0.09595905971583768,0.019958017773666896,0.16208453630957406,0.019344612140602162,0.16199983324831932,0.017,0.03724320620460484,0.10428097737289355,0.07371520377400456,29,23,5,5,0.07684103702512214,0.1099676527485095,True,0.02,True,True
far,X_V2_BAG_MIX5_vs_B1_MEAN_CURVE,mae_all,B1_MEAN_CURVE,V2_BAG_MIX5,0.11081340962195864,0.040120504641381026,0.17404339458360135,0.04117812780752693,0.17483172493458865,0.002,0.03494774933508971,0.09785369813825119,0.08989516837148336,29,23,5,5,0.09299581697827684,0.12373088629518496,True,0.02,True,True
far,X_V2_DIRECT@cond_vs_B1_MEAN_CURVE,mae_all,B1_MEAN_CURVE,V2_DIRECT@cond,-0.042924969692295374,-0.12304331190261211,0.039197585597759516,-0.12400333535227749,0.03774626378866265,0.3,0.04075426383871247,0.11411193874839491,-0.04897385136415996,29,14,0,5,-0.061249635078380806,-0.02548039041223645,True,0.02,False,False
far,X_V2_BAG4@lean_vs_B1_MEAN_CURVE,mae_all,B1_MEAN_CURVE,V2_BAG4@lean,0.13340289826238472,0.057527037351743804,0.20027819063011024,0.061760993669248636,0.20303545545406917,0.001,0.036996623719369945,0.10359054641423585,0.10805199843639046,29,23,5,5,0.11468165072006542,0.14619621420131387,True,0.02,True,True
far,X_V2_BAG_MIX3_vs_V2_DIRECT@cond,mae_all,V2_DIRECT@cond,V2_BAG_MIX3,0.13888402940813305,0.08273236106753608,0.18979408078082344,0.08702853475232233,0.19564094056004658,0.0,0.027436497111214955,0.07682219191140187,0.12268905513816453,29,23,5,5,0.12261949389933241,0.14838733027129256,True,0.02,True,True
far,X_S4_BAG_MIX3C_vs_V2_BAG_MIX3,mae_all,V2_BAG_MIX3,S4_BAG_MIX3C,-0.02594857207805852,-0.05348933379218522,-0.0012588147329521773,-0.055307914074861166,-0.0030680720127037446,0.035,0.013435182741457146,0.037618511676080005,-0.032830162601701074,29,14,0,5,-0.03161038486690397,-0.019242285254611285,True,0.02,False,False
far,X_S4_CENTRED_ROW@lean_vs_C_DIRECT_ROW,mae_all,C_DIRECT_ROW,S4_CENTRED_ROW@lean,-0.011692482919917712,-0.09273636241746452,0.06616599762830908,-0.08364497876894836,0.07680558563661705,0.761,0.04084661452923218,0.11437052068185011,-0.03755991322115894,29,15,1,5,-0.04338816512054911,0.0023948030714109453,False,0.02,False,False
far,X_S2_CENTRED_ROW_vs_C_DIRECT_ROW,mae_all,C_DIRECT_ROW,S2_CENTRED_ROW,-0.04495943127180683,-0.10774501591914969,0.029348839820729306,-0.09904060987069063,0.0445800205574845,0.23,0.03581427214545415,0.10027996200727161,-0.05516984947542048,29,10,2,5,-0.07431041294073051,-0.03264021229303417,True,0.02,False,False
far,X_S2_CENTRED_ROW_basic_vs_C_DIRECT_ROW,mae_all,C_DIRECT_ROW,S2_CENTRED_ROW_basic,-0.01855426609787335,-0.07230011020454678,0.039419862225641394,-0.06635079696065742,0.04657447969540539,0.501,0.028668631414343695,0.08027216796016234,-0.03147031630608693,29,11,3,5,-0.040046386277190336,-0.009284145586401135,True,0.02,False,False
