sigma_label,sigma,ceiling_two_term,floor_noise_only,flat_on_same_labels
"white part, m>=14 (0.117)",0.117,0.23405554503271803,0.129164539159324,0.6172216083938054
"white part, m>=10 (0.137)",0.137,0.24860249464955944,0.15112244187298335,0.6213307941805513
"residual upper bound, m>=13 (0.167)",0.167,0.2697999556276855,0.18026686268886288,0.6358138637453087
"residual upper bound, pooled m>=5 (0.201)",0.201,0.29921742304714627,0.21900798330649737,0.6527437472765288
