left_out,n_left_out,rel_a,rel_b
sc000,1,0.9586891504524849,0.8634224774905647
sc001,1,0.9586964482279964,0.8633346812392673
sc007,1,0.9586271051184369,0.8631412313776217
sc008,3,0.9585907437041971,0.8638713586505143
sc009,375,0.9736793538054149,0.9051316145689603
sc010,1,0.9586961071102643,0.8632917949455935
sc012,1,0.9586600775597421,0.8627880271841684
sc015,1,0.9580116011694307,0.8624588771995995
sc016,1,0.958200704834543,0.8604042083863098
sc017,1,0.958578283605331,0.8633067550584987
sc018,17,0.9601501284172101,0.8626187932182372
sc019,1,0.958552566981475,0.8632320917914867
sc020,3,0.9585128865643634,0.8594745206764537
sc021,1,0.9580421225977108,0.8632313714964337
sc027,10,0.9590505238615392,0.8628400728144926
sc028,2,0.958335943327234,0.8630630017641476
sc029,4,0.958639763477862,0.8635635140295752
sc030,4,0.9585274876185048,0.863610441183637
sc031,5,0.9585018162957935,0.8644205071048088
sc032,5,0.9584234747289707,0.8604979581988499
sc033,1,0.9584532028663744,0.8631628463756583
sc036,4,0.9588922051273043,0.8633692861557101
sc055,2,0.9583844606221434,0.8628197463139279
sc057,1,0.958328735190478,0.8630628184880911
sc058,1,0.9584798240721291,0.8631921415858225
sc059,1,0.9585319256733701,0.8632502031805356
sc060,2,0.9565972804295046,0.8620722710726736
sc061,17,0.9554224952882502,0.8621780935804734
sc062,1,0.9586463024647737,0.8633766161441098
sc063,1,0.9583607470482178,0.8531845641733917
sc068,6,0.9579865352063665,0.8630251480143653
sc069,2,0.9587018122356361,0.8633596946576432
sc070,1,0.9586520232065231,0.863218601342175
sc071,12,0.9583734744915052,0.8658264020039366
sc075,1,0.9585761334079603,0.863256769022103
sc076,11,0.9586369977616609,0.8625721412485798
sc077,10,0.9587125654615145,0.8629141831844889
sc078,1,0.9586354004282647,0.8632405369948148
sc083,1,0.9586339344136464,0.8632401842093547
sc084,1,0.9585859164660766,0.8627632359931013
sc085,1,0.9585956649037007,0.8626938228344228
sc086,2,0.9586057130916742,0.8633516845061646
sc092,1,0.9586985882809256,0.8633409645584458
sc096,1,0.9586941751535107,0.8633181843124941
sc097,1,0.9586798497971902,0.863512120285681
