sigma_mode,mean_P_signflip_all,mean_P_signflip_rich,mean_P_signflip_rich_wtd
white_0.137,0.08073163523956274,0.03996497036823784,0.05203543122414134
resid_const,0.1086537710370234,0.060645820907223674,0.07836696004559704
resid_cell,0.10551436480885999,0.05498619929866612,0.0749862971329501
inter_0.334,0.15559630826052778,0.09835065687005294,0.12443802253488437
rep_cell,0.2442169582946354,0.17732622331007283,0.21212076528078733
