handle,sigma,n_units,note
replicates (dof-pooled RMS),0.759678110356361,216,"216 (cell,metal) means with nrep>=2, in 41 cells"
replicates (median sd),0.30225454191465717,216,"median of the 216 within-(cell,metal) sds"
"residual about own quadratic (dof-pooled, m>=5)",0.20104922258857588,289,UPPER bound: contains real non-quadratic chemistry too
"residual, m>=13 only",0.17197394960447562,113,the best-determined cells
