publication,n_cells,rel_a,rel_b,median_n_metals
pub_b9dfc468cd,39,0.7401131422264398,0.0,3.0
pub_c8195b4ca7,20,0.0,0.0,6.0
pub_ab5ae597b9,10,0.0,0.0,2.0
pub_8415538291,10,0.9486243751256354,0.6171364248080353,14.0
pub_4cba27f5f3,8,0.9834709949303128,0.6394644419243884,14.0
pub_f8a621ede4,18,0.673447057824035,0.6865332614451944,2.0
pub_b0b3296ec5,22,0.8684994876241423,0.7291745289242911,13.0
pub_37086f6378,93,0.5876226654061576,0.7631808117683431,2.0
pub_bdb1564c49,17,0.7088459202963218,0.7793103947575509,5.0
pub_19783c039b,53,0.9685483338983796,0.8199208744930713,4.0
pub_6a0ef8528c,15,0.8382029599061442,0.8419136194934317,13.0
pub_5a68dc5665,41,0.8108215390469424,0.8648430481179119,6.0
pub_bef16e560c,10,0.9460961132500108,0.8688462157076378,2.0
pub_126bbe7976,15,0.9675776725572208,0.8804295924686942,14.0
pub_1605e436d7,9,0.9676328958895096,0.8969469433590425,14.0
pub_0a8da089ad,29,0.8155012499385724,0.9115699226925065,2.0
pub_d68ed8c8cf,22,0.9639358751828004,0.9476739795767286,7.5
