comparison,reference,candidate,statistic,point_delta,ci95_low,ci95_high,p_worse_one_sided,units_improved,units_total,bootstrap_blocks,bootstrap_replicates,block_macro_delta,n_blocks_positive,largest_block_unit_share,cluster_robust_se,cluster_robust_low,cluster_robust_high,cluster_robust_p_two_sided,bca_low,bca_high,bca_z0,bca_acceleration
ABL_add_donors,ABL_full,ABL_add_donors,mae,-0.026023825798811025,-0.10876332567433288,0.08357530925753517,0.6546690661867627,61,131,79,5000,0.04324544956801465,39,0.21374045801526717,0.05105124679790592,-0.12765905084560425,0.07561139924798219,0.6116597506062701,-0.12891016949854225,0.06040853572253172,-0.07024331382191673,-0.1017482660516274
ABL_add_donors,ABL_full,ABL_add_donors,offset_mae,-0.02759258956069197,-0.11891949321267731,0.09740719686128946,0.6586682663467307,62,131,79,5000,0.04791442731600611,38,0.21374045801526717,0.056247591133625,-0.13957294149678776,0.08438776237540381,0.6251177768948079,-0.1351831208570745,0.07338264146325532,-0.04112028899854673,-0.08988021156519357
ABL_add_donors,ABL_full,ABL_add_donors,shape_mae,-0.016618786875442406,-0.03335441941171821,-0.001964588371728826,0.9842031593681264,59,131,79,5000,-0.01950449255917745,29,0.21374045801526717,0.007224776426285216,-0.03100221184653213,-0.0022353619043526812,0.02410757308208865,-0.0337510677618004,-0.002449644762649713,-0.01704589771498915,-0.005553577067613254
ABL_add_ecfp,ABL_full,ABL_add_ecfp,mae,0.034234054168642725,0.0015255207960831324,0.08094599912137307,0.020595880823835233,68,131,79,5000,0.06265579384633767,41,0.21374045801526717,0.01954294609087737,-0.00467296277232538,0.07314107110961082,0.08375001997111275,0.00022790010657053732,0.0788318817944683,0.004511946203065805,-0.02061895344345123
ABL_add_ecfp,ABL_full,ABL_add_ecfp,offset_mae,0.028682329230111926,-0.012910147411156968,0.07939428645848468,0.08558288342331534,68,131,79,5000,0.05038865305258319,41,0.21374045801526717,0.02247593085783497,-0.016063811837023056,0.0734284702972469,0.20569456502935746,-0.012837413285831214,0.07967981325989093,0.014037579350310981,-0.004645988592085167
ABL_add_ecfp,ABL_full,ABL_add_ecfp,shape_mae,-0.005320919075861149,-0.016190691764095436,0.0036950703575485007,0.883623275344931,56,131,79,5000,-0.010792686219756192,35,0.21374045801526717,0.004643707550550722,-0.01456583064129377,0.003923992489571471,0.25536704855393216,-0.01632203462001449,0.003615372372655281,-0.012032106029748954,-0.0008717836817834086
ABL_add_ligphys,ABL_full,ABL_add_ligphys,mae,-0.0025412106154814955,-0.08373902741601591,0.10088290678329848,0.48570285942811436,70,131,79,5000,0.07082648614871606,43,0.21374045801526717,0.04979561873082495,-0.10167667220540888,0.09659425097444588,0.959429835593896,-0.10391929983989767,0.0790664774943164,-0.07677819172498321,-0.11229042312722692
ABL_add_ligphys,ABL_full,ABL_add_ligphys,offset_mae,-0.0015328161111116568,-0.09120087674442007,0.11889056672089267,0.4861027794441112,70,131,79,5000,0.08090541649362619,43,0.21374045801526717,0.05589402925047554,-0.11280928040849579,0.10974364818627248,0.9781919096208391,-0.1140298898703758,0.09443977918422862,-0.05366759628332598,-0.10413722271654705
ABL_add_ligphys,ABL_full,ABL_add_ligphys,shape_mae,-0.011650159050498043,-0.0275731829423675,0.0024931318539863816,0.9498100379924015,65,131,79,5000,-0.010863847026165763,36,0.21374045801526717,0.0070834658652623094,-0.025752256305383178,0.002451938204387093,0.10405677520202596,-0.028746094626365876,0.0013615890387720692,-0.03409675013052492,-0.01753566501720422
ABL_add_massaction,ABL_full,ABL_add_massaction,mae,-0.046091705285873134,-0.1320634447434831,0.0430600490750646,0.8580283943211358,54,131,79,5000,-0.01609831156824582,28,0.21374045801526717,0.043276383116736546,-0.13224836576259982,0.04006495519085356,0.29013716123758887,-0.12828268741166468,0.046863462899293266,0.020555799371180145,0.010980306683378117
ABL_add_massaction,ABL_full,ABL_add_massaction,offset_mae,-0.036531295399949044,-0.14135533384235935,0.06378932475714223,0.7762447510497901,58,131,79,5000,-0.012174111862929982,31,0.21374045801526717,0.049635519014183845,-0.1353480229382839,0.06228543213838581,0.46394379093701105,-0.13902092042630335,0.06560537963085805,0.017547298372150792,0.0009315318547239917
ABL_add_massaction,ABL_full,ABL_add_massaction,shape_mae,-0.05465349099562542,-0.11638293145137626,-0.009650801423288688,0.99500099980004,63,131,79,5000,-0.07323574412668642,36,0.21374045801526717,0.028534896209995893,-0.11146210547414157,0.0021551234828907292,0.05911703135372716,-0.11065431437208188,-0.005717335910871222,0.012533469508069276,0.04648051968383761
ABL_add_none,ABL_full,ABL_add_none,mae,-0.0434412347435359,-0.13816817804356993,0.05340080024904283,0.8320335932813437,56,131,79,5000,0.00020862904919273384,29,0.21374045801526717,0.046423274756087,-0.13586287521633147,0.048980405729259664,0.3522828387910278,-0.13267220636410104,0.05977535141287465,0.03409675013052478,0.013121145771469273
ABL_add_none,ABL_full,ABL_add_none,offset_mae,-0.018053569091175392,-0.12774856808978022,0.09368046872151749,0.6434713057388523,62,131,79,5000,0.03053730266846438,35,0.21374045801526717,0.05348707667457803,-0.12453815890806522,0.08843102072571443,0.7366229902663372,-0.12519673186132513,0.09634745209285016,0.02557039464076243,-0.0016311427935235482
ABL_add_none,ABL_full,ABL_add_none,shape_mae,-0.06892162600048507,-0.1286148044259867,-0.02507535838666442,0.9988002399520096,59,131,79,5000,-0.09095561893579004,32,0.21374045801526717,0.026916525690310347,-0.122508312273634,-0.015334939727336142,0.012380641867786379,-0.12137630509234823,-0.020970840730417415,0.026071887453559196,0.048096369987176625
ABL_add_recovered,ABL_full,ABL_add_recovered,mae,-1.345403856177432e-17,-3.7699514466310775e-17,1.2978507865196712e-17,0.8568286342731454,18,131,79,5000,-1.1895246692412392e-17,12,0.21374045801526717,1.1889598463588703e-17,-3.7124410812357874e-17,1.021633368880923e-17,0.2612778385224407,-3.9262789197042094e-17,1.1256701538603846e-17,-0.007018616792533281,-0.02199971540632474
ABL_add_recovered,ABL_full,ABL_add_recovered,offset_mae,-1.0057423511483855e-17,-3.253084251015014e-17,1.4383017449424532e-17,0.7944411117776444,22,131,79,5000,-9.735338205333071e-18,19,0.21374045801526717,1.1442448552905012e-17,-3.2837588673063373e-17,1.2722741650095663e-17,0.38212419364430233,-3.632714321233494e-17,1.196709438292237e-17,-0.04664018984972238,-0.029933670488558637
ABL_add_recovered,ABL_full,ABL_add_recovered,shape_mae,-3.906438361932504e-18,-2.1529446725291718e-17,1.5082542936145372e-17,0.6786642671465707,40,131,79,5000,2.969629096910278e-19,28,0.21374045801526717,8.690375080976166e-18,-2.1207646118768066e-17,1.3394769394903058e-17,0.6543081295828249,-2.132527768423325e-17,1.528461717005386e-17,0.02306302451252785,-0.006656410788215079
ABL_minus_conditions,ABL_full,ABL_minus_conditions,mae,-0.015518022893722101,-0.03300863369137922,-0.0007541758831734267,0.979004199160168,58,131,79,5000,-0.0143396544146352,35,0.21374045801526717,0.0076500872750685095,-0.030748176721445857,-0.00028786906599834357,0.04592490869899072,-0.03429123702846389,-0.0020224846812309525,-0.03209034878725277,-0.022608413404236808
ABL_minus_conditions,ABL_full,ABL_minus_conditions,offset_mae,-0.011319904786493334,-0.03157692243967124,0.004867055502593643,0.9128174365126974,63,131,79,5000,-0.014894695147837807,37,0.21374045801526717,0.008885345210155349,-0.02900926825351111,0.00636945868052444,0.2064473935476406,-0.03209837228216287,0.004462924780082576,-0.01403757935031084,-0.004529856881661987
ABL_minus_conditions,ABL_full,ABL_minus_conditions,shape_mae,-0.004949554173534536,-0.010405046967193137,0.0025368797926540857,0.9084183163367326,54,131,79,5000,-0.003375988178268529,34,0.21374045801526717,0.0032760512572728617,-0.011471671216353067,0.001572562869283995,0.13487276314022292,-0.011216853152052056,0.0014903407136417125,-0.03309353280602721,-0.0591854827979528
ABL_minus_donors,ABL_full,ABL_minus_donors,mae,0.008855442256334976,-0.004406485982097487,0.02318052619575167,0.08498300339932013,79,131,79,5000,0.012350629231488275,49,0.21374045801526717,0.006519737372189547,-0.00412435778051062,0.02183524229318057,0.178299643364764,-0.004686038536091114,0.022905033155114326,-0.0005013256759256267,-0.010981445968029491
ABL_minus_donors,ABL_full,ABL_minus_donors,offset_mae,0.010910984047448584,-0.003736432251463804,0.026109981971879376,0.0615876824635073,81,131,79,5000,0.013704140437589673,50,0.21374045801526717,0.007011606836630554,-0.0030480528709173667,0.024870020965814532,0.12372517361954302,-0.004461485124738896,0.02565489100220023,-0.010528033237178323,-0.011785027965064193
ABL_minus_donors,ABL_full,ABL_minus_donors,shape_mae,0.0005153965255796684,-0.004026229135934358,0.00656141932089215,0.41871625674865026,69,131,79,5000,0.0014026828681061858,46,0.21374045801526717,0.0026772609721573792,-0.004814620633283788,0.005845413684443125,0.8478439500482582,-0.004625468623556457,0.005774754479028592,-0.007018616792533281,-0.05194620662311557
ABL_minus_ecfp,ABL_full,ABL_minus_ecfp,mae,-0.012271218770657427,-0.04874554318352739,0.03823860228407222,0.6780643871225754,55,131,79,5000,0.010324134312853624,34,0.21374045801526717,0.022687026631093277,-0.05743761923922225,0.032895181697907394,0.5901237965668501,-0.054624864437247726,0.02987472365663402,-0.024567428181125117,-0.07853075656506948
ABL_minus_ecfp,ABL_full,ABL_minus_ecfp,offset_mae,-0.012388559177851725,-0.05765548373611642,0.048032371671185146,0.6646670665866826,59,131,79,5000,0.010593331790974965,34,0.21374045801526717,0.02676579518941635,-0.06567516407511531,0.040898045719411864,0.6447603337760058,-0.06127548628975608,0.04255287194965738,-0.0040106159912038294,-0.053381803673663346
ABL_minus_ecfp,ABL_full,ABL_minus_ecfp,shape_mae,-0.003534858801479936,-0.011475136644964334,0.007585143275684483,0.7500499900019996,53,131,79,5000,0.000480288656357338,36,0.21374045801526717,0.004763851800691001,-0.01301895919513891,0.005949241592179038,0.46030563207083675,-0.012214476229457717,0.006590713584650503,-0.028077925538198285,-0.030633326499269184
ABL_minus_indicators,ABL_full,ABL_minus_indicators,mae,-0.0575965427265859,-0.09382607197008075,-0.028899860619875307,1.0,47,131,79,5000,-0.06032390357590301,25,0.21374045801526717,0.01641070676392781,-0.09026775018467978,-0.024925335268492034,0.0007485111776717484,-0.09889847542401894,-0.03112850785152543,-0.03560164077923748,-0.02871266768608959
ABL_minus_indicators,ABL_full,ABL_minus_indicators,offset_mae,-0.06565384624923291,-0.10947648368148659,-0.03264957593984537,1.0,49,131,79,5000,-0.0741156139195428,27,0.21374045801526717,0.019431197877928245,-0.10433838958800631,-0.02696930291045952,0.0011388869801457636,-0.11143864181843845,-0.03374903978386076,-0.02306302451252785,-0.010809347759388573
ABL_minus_indicators,ABL_full,ABL_minus_indicators,shape_mae,-0.006957903344236971,-0.013379609419711674,0.0014389384453005075,0.9478104379124175,60,131,79,5000,-0.005325667047183304,36,0.21374045801526717,0.0035556934648946323,-0.014036745256415333,0.00012093856794139195,0.05394545316098186,-0.014010666103289358,0.0007596204383260851,-0.01855011304703817,-0.03361863729314908
ABL_minus_lig2d,ABL_full,ABL_minus_lig2d,mae,0.05129828355253871,0.0173019901850277,0.08233766613932546,0.001999600079984003,78,131,79,5000,0.058285604747871526,41,0.21374045801526717,0.015915229748867006,0.01961349505754221,0.08298307204753522,0.0018512436021379866,0.020314217768769918,0.08577050611511614,0.03810997272868065,0.02794297647438343
ABL_minus_lig2d,ABL_full,ABL_minus_lig2d,offset_mae,0.05600407972435166,0.014539418306406073,0.09110688144867057,0.004999000199960008,77,131,79,5000,0.06026225006793024,43,0.21374045801526717,0.01907026791098744,0.018038092752308665,0.09397006669639466,0.0043581851309392634,0.017311331716189947,0.09374114655069263,0.03108719706247349,0.02185164455877162
ABL_minus_lig2d,ABL_full,ABL_minus_lig2d,shape_mae,0.0005819232377092281,-0.010904049673393968,0.009250128423456275,0.4819036192761448,67,131,79,5000,-0.006270467978123669,36,0.21374045801526717,0.005460714612661318,-0.010289524442524723,0.01145337091794318,0.9154073757084449,-0.008725401229969771,0.011708601454373265,0.058688775225833746,0.10790255512904386
ABL_minus_ligand_all,ABL_full,ABL_minus_ligand_all,mae,-0.021487405060653338,-0.12600737291835043,0.08908823191129486,0.6694661067786443,57,131,79,5000,0.01085543252995397,32,0.21374045801526717,0.0514579748506016,-0.12393236345895925,0.08095755333765256,0.6774073450854025,-0.11963512896727303,0.09513343248557656,0.011029388020358915,0.021002333703420643
ABL_minus_ligand_all,ABL_full,ABL_minus_ligand_all,offset_mae,0.01777189551026828,-0.1039647291971456,0.14523525505248097,0.3799240151969606,67,131,79,5000,0.060347147725621365,39,0.21374045801526717,0.059577073236279185,-0.10083694611055757,0.13638073713109414,0.766266705077632,-0.10003182829122899,0.15075154531649237,0.004010615991203968,0.014921256048307761
ABL_minus_ligand_all,ABL_full,ABL_minus_ligand_all,shape_mae,-0.0581555004280342,-0.09388036869969794,-0.028135403756643706,0.9998000399920016,54,131,79,5000,-0.06986758798231892,30,0.21374045801526717,0.01593729763815031,-0.08988422271572521,-0.026426778140343173,0.0004737987872993672,-0.09639004243958825,-0.029410306683434084,-0.02908098644911949,-0.007365179622110084
ABL_minus_ligphys,ABL_full,ABL_minus_ligphys,mae,0.006403758826593976,-0.0034848641396638333,0.018012716356366528,0.09138172365526895,73,131,79,5000,0.011524054317741532,46,0.21374045801526717,0.005057614720287515,-0.0036651786144692826,0.016472696267657235,0.20922361105212448,-0.003579652756219509,0.01786731785346421,-0.0025066308995717666,-0.007219706393339495
ABL_minus_ligphys,ABL_full,ABL_minus_ligphys,offset_mae,0.007030598625819912,-0.005483175403818477,0.021852219724188295,0.127374525094981,73,131,79,5000,0.014487088406432822,46,0.21374045801526717,0.006502073576176163,-0.005914035494508349,0.019975232746148174,0.2829018619300438,-0.0062370843390698,0.02130462607856884,-0.006517279650583849,-0.021747427793381693
