extractant_name,n,slope
T2EHDGA,4,0.22527821347000582
DBD1MHDGA,12,0.13458013192277876
TDdDGA,8,1.8250926102648155
DOODA (C12),6,0.03553380947054059
mTDDGA,5,-0.08640527566940163
DHD2DGA,20,-0.10404262267836478
DMDODGA,23,-0.3478332313734609
TODGA,53,-0.11003828744039568
C5BTBP,16,-0.38442512838403053
TBDGA,6,0.8284465208889921
DMDPDGA,6,-2.803773116153136
DMDPhPDA,10,-0.7734658863948336
