band,n,amp_sd,amp_abs_median
"(0,1.0]",28,4.342624829316111,1.0510207179070135
"(1.0,1.5]",39,0.9111961524140585,1.0583689405630616
"(1.5,2.5]",95,0.7941186766233987,0.5800866017497819
"(2.5,9]",159,0.4817661883311247,0.4888796440319683
