arm,base,gain_within2_pooled_ref,gain_within2_cellmean_ref,gain_extr2_pooled_ref,gain_extr2_cellmean_ref,gain_within1_amp_slice,gain_within1_own
C_DIRECT_ROW,0.4682282360802015,0.05139690530316682,0.030889221572879322,0.21844302382822295,0.1970760504159746,-0.008734417222017066,0.0395831743202989
M_SELECTED,0.5049822284318364,0.05881464152836957,0.04260088901616366,0.2577143243863534,0.23629989124155715,0.002205386162219991,0.04389512969155879
M_PHYSICS_radius+radius_sq,0.4990145089786255,0.06337769183189329,0.050369327815459386,0.25516246302101886,0.23388122501939218,0.008442411349235346,0.047226678407195855
M_LOWRANK_K2,0.4898763232817063,0.06817807539250309,0.05535052262715556,0.2405414913864485,0.22053187283920445,0.011013885767608422,0.05117375193988977
X_ENS_DIRECT+LOWRANK_K2,0.4624134204979352,0.06517379707581972,0.048296355774117006,0.2151517674354588,0.1949007556490061,0.0040070977892989745,0.04937339001064778
X_ENS_DIRECT+PHYSICS,0.46877731426530334,0.06203527118688845,0.04445695770247077,0.2238423980416223,0.20279367869981707,0.00034662912915972566,0.045689693455953584
B1_MEAN_CURVE,0.4854901014321166,0.045392638937236995,0.019088738139791506,0.24039481906686463,0.21836609851018896,-0.011905814637504453,0.03966212115865292
B3_NN_TANIMOTO,0.7016458296162998,0.022935849728025093,-0.004318272610524421,0.4397906729726696,0.4171714978491718,-0.029763666870090577,0.018550625551069566
