design,arm,dir_macro_acc,loco_min,loco_max,n_chemotypes
A,CB_CURV,0.8346499841621794,0.8215960355434039,0.8555162337662339,40
A,CB_DIR,0.8117231548938867,0.7931176168464302,0.8320162337662339,40
A,CB_DIR209,0.7938231179389716,0.7662365177195685,0.8049809578607047,40
A,CB_DIR_ES,0.8195280329426671,0.8032871083718541,0.8400162337662337,40
A,CB_MAG,0.8346499841621794,0.8215960355434039,0.8555162337662339,40
A,CB_MAG_LEVEL,0.8346499841621794,0.8215960355434039,0.8555162337662339,40
A,CB_MAG_RANK,0.8346499841621794,0.8215960355434039,0.8555162337662339,40
A,CB_MAG_SHUF,0.8346499841621794,0.8215960355434039,0.8555162337662339,40
A,FLAT,0.44144757681343044,0.4128038628038628,0.556034925526451,40
A,G14,0.8346499841621794,0.8215960355434039,0.8555162337662339,40
A,GAM_DIR,0.8068451061133989,0.7863379558294812,0.8270162337662338,40
A,GAM_DIR_K,0.8044060817231549,0.7829481253210065,0.8245162337662337,40
A,GAM_MAG,0.8248938866012036,0.8110697197539302,0.8455162337662336,40
A,ISO_PICK,0.7526987646499842,0.7117616846430406,0.7715162337662338,40
A,ISO_PRIOR,0.7526987646499842,0.7117616846430406,0.7715162337662338,40
A,MAG_MED,0.8346499841621794,0.8215960355434039,0.8555162337662339,40
A,SYM_DIR,0.7848938866012036,0.7558294812532099,0.8045162337662338,40
A,TP_ALL,0.8117231548938867,0.7931176168464305,0.8320162337662339,40
A,TP_CURV,0.8346499841621794,0.8215960355434039,0.8555162337662339,40
A,TP_DIR209,0.8006939605110338,0.7850539291217258,0.8182113095238094,40
A,TP_DIR39,0.8117231548938867,0.7931176168464305,0.8320162337662339,40
A,TP_MAG,0.8346499841621794,0.8215960355434039,0.8555162337662339,40
A,TP_MAG_MEAN,0.8346499841621794,0.8215960355434039,0.8555162337662339,40
A,TP_MAG_SHUF,0.8346499841621794,0.8215960355434039,0.8555162337662339,40
A,XGB_FREE,0.8092841305036428,0.7897277863379557,0.8295162337662338,40
A,XGB_MONO,0.8092841305036428,0.7897277863379557,0.8295162337662338,40
B,CB_CURV,0.8400158378207159,0.8273855092276144,0.8610162337662338,40
B,CB_DIR,0.8268451061133989,0.8131749829118251,0.8475162337662339,40
B,CB_DIR209,0.7113627564847077,0.652347200821777,0.7354177109440266,40
B,CB_DIR_ES,0.8239182768451061,0.810017088174983,0.8445162337662339,40
B,CB_MAG,0.8400158378207159,0.8273855092276144,0.8610162337662338,40
B,CB_MAG_LEVEL,0.8400158378207159,0.8273855092276144,0.8610162337662338,40
B,CB_MAG_RANK,0.8400158378207159,0.8273855092276144,0.8610162337662338,40
B,CB_MAG_SHUF,0.8400158378207159,0.8273855092276144,0.8610162337662338,40
B,FLAT,0.44144757681343044,0.4128038628038628,0.556034925526451,40
B,G14,0.8400158378207159,0.8273855092276144,0.8610162337662338,40
B,GAM_DIR,0.8234304719670573,0.8094907723855091,0.8440162337662338,40
B,GAM_DIR_K,0.8161133987963256,0.7998972778633796,0.8365162337662337,40
B,GAM_MAG,0.8302597402597404,0.8168591934381407,0.8510162337662337,40
B,ISO_PICK,0.7483085207475452,0.7049820236260914,0.7670162337662337,40
