design,arm,dir_macro_acc,n_units
A,CB_CURV,0.8346499841621794,82
A,CB_DIR,0.8117231548938866,82
A,CB_DIR209,0.7938231179389715,82
A,CB_DIR_ES,0.8195280329426671,82
A,CB_MAG,0.8346499841621794,82
A,FLAT,0.4414475768134305,82
A,G14,0.8346499841621794,82
A,GAM_DIR,0.8068451061133989,82
A,GAM_DIR_K,0.8044060817231549,82
A,GAM_MAG,0.8248938866012038,82
A,ISO_PICK,0.7526987646499842,82
A,ISO_PRIOR,0.7526987646499842,82
A,SYM_DIR,0.7848938866012037,82
A,XGB_FREE,0.8092841305036428,82
A,XGB_MONO,0.8092841305036428,82
B,CB_CURV,0.8400158378207159,82
B,CB_DIR,0.8268451061133989,82
B,CB_DIR209,0.7113627564847077,82
B,CB_DIR_ES,0.8239182768451061,82
B,CB_MAG,0.8400158378207159,82
B,FLAT,0.4414475768134305,82
B,G14,0.8400158378207159,82
B,GAM_DIR,0.8234304719670573,82
B,GAM_DIR_K,0.8161133987963256,82
B,GAM_MAG,0.8302597402597404,82
B,ISO_PICK,0.7483085207475452,82
B,ISO_PRIOR,0.7483085207475452,82
B,SYM_DIR,0.8024548622109599,82
B,XGB_FREE,0.8097719353816915,82
B,XGB_MONO,0.8097719353816915,82
BP,CB_CURV,0.8205036426987645,82
BP,CB_DIR,0.7609914475768134,82
BP,CB_DIR209,0.6594133553889652,82
BP,CB_DIR_ES,0.7250205891669307,82
BP,CB_MAG,0.8205036426987645,82
BP,FLAT,0.4414475768134305,82
BP,G14,0.8205036426987645,82
BP,GAM_DIR,0.7731865695280329,82
BP,GAM_DIR_K,0.7564322669200718,82
BP,GAM_MAG,0.8180646183085208,82
BP,ISO_PICK,0.7136743744060817,82
BP,ISO_PRIOR,0.7136743744060817,82
BP,SYM_DIR,0.7853816914792524,82
BP,XGB_FREE,0.7707475451377891,82
BP,XGB_MONO,0.7707475451377891,82
BQ,CB_CURV,0.8400158378207159,82
BQ,CB_DIR,0.8268451061133989,82
BQ,CB_DIR209,0.710374124520466,82
BQ,CB_DIR_ES,0.8117231548938866,82
BQ,CB_MAG,0.8400158378207159,82
BQ,FLAT,0.4414475768134305,82
BQ,G14,0.8400158378207159,82
BQ,GAM_DIR,0.8287963256255939,82
BQ,GAM_DIR_K,0.8258694963573013,82
BQ,GAM_MAG,0.832698764649984,82
BQ,ISO_PICK,0.7624548622109598,82
BQ,ISO_PRIOR,0.7624548622109598,82
BQ,SYM_DIR,0.7946499841621794,82
BQ,XGB_FREE,0.8146499841621794,82
BQ,XGB_MONO,0.8146499841621794,82
BR,CB_CURV,0.8346499841621794,82
BR,CB_DIR,0.8122109597719354,82
BR,CB_DIR209,0.7030736517321884,82
BR,CB_DIR_ES,0.8146499841621794,82
BR,CB_MAG,0.8346499841621794,82
BR,FLAT,0.4414475768134305,82
BR,G14,0.8346499841621794,82
BR,GAM_DIR,0.8185524231865695,82
BR,GAM_DIR_K,0.8161133987963256,82
BR,GAM_MAG,0.8346499841621794,82
BR,ISO_PICK,0.7551377890402281,82
BR,ISO_PRIOR,0.7551377890402281,82
BR,SYM_DIR,0.7926987646499842,82
BR,XGB_FREE,0.8112353500158379,82
BR,XGB_MONO,0.8092841305036428,82
