design,split_seed,fold,n_terms,winner,inner_cv_acc,outer_acc,oracle_best_outer_acc,bite_outer_acc,oracle_winner
B,104729,0,4602,(coord__dist__n_donor_pairs_within_4/coord__arm__n_clusters_with_3plus_donors)*coord__dist__donor_pair_min,0.8870129870129871,0.7761194029850746,0.7810945273631841,0.7164179104477612,coord__arm__mean_donor_distance_to_core/coord__dist__n_donor_pairs_beyond_6
B,104729,1,4602,(coord__dist__donor_pair_median*coord__dist__donor_pair_min)/coord__arm__repeated_arm_count,0.88219696969697,0.7,0.8,0.7,coord__arm__core_branch_degree*coord__arm__mean_donor_cluster_size
B,104729,2,4602,(coord__arm__n_clusters_with_3plus_donors/coord__dist__donor_pair_median)*coord__arm__has_repeated_arms,0.8113620448179266,0.9523809523809523,1.0,0.9047619047619048,coord__arm__core_branch_degree*coord__dist__donor_pair_min
B,104729,3,4602,(coord__dist__n_donor_pairs_beyond_6/coord__dist__donor_eccentricity_min)*coord__arm__n_clusters_with_3plus_donors,0.8531249999999998,0.5714285714285714,1.0,0.7142857142857143,coord__arm__estimated_denticity_per_pocket*coord__arm__n_amide_branches
B,104729,4,4602,(coord__arm__n_clusters_with_3plus_donors/coord__dist__n_five_membered_chelate_pairs)/coord__dist__donor_pair_min,0.8781655844155837,0.825,0.9,0.475,coord__arm__core_branch_degree*coord__dist__donor_pair_min
B,130363,0,4602,coord__dist__donor_eccentricity_max/coord__dist__donor_eccentricity_min,0.8437500000000006,0.5882352941176471,0.8823529411764706,0.8823529411764706,coord__dist__donor_eccentricity_min
B,130363,1,4602,(coord__dist__frac_donor_pairs_within_3/coord__dist__donor_pair_min)*coord__arm__has_repeated_arms,0.8124999999999998,1.0,1.0,0.6170212765957447,coord__arm__core_branch_degree*coord__dist__donor_pair_min
B,130363,2,4602,(coord__dist__frac_donor_pairs_within_3/coord__dist__donor_pair_min)*coord__arm__has_repeated_arms,0.8760416666666666,0.5172413793103449,0.6206896551724138,0.4482758620689655,coord__dist__donor_eccentricity_max*coord__dist__n_donor_pairs_within_2
B,130363,3,4602,(coord__dist__donor_eccentricity_min/coord__dist__donor_pair_sd)*coord__dist__donor_pair_min,0.9208333333333334,0.7814207650273224,0.7923497267759563,0.7868852459016393,coord__arm__mean_donor_distance_to_core
B,130363,4,4602,(coord__arm__n_clusters_with_3plus_donors/coord__arm__min_donor_cluster_size)/coord__dist__donor_pair_min,0.8593749999999999,0.8461538461538461,0.8461538461538461,0.7692307692307693,coord__arm__core_branch_degree*coord__dist__donor_pair_min
B,155921,0,4602,coord__arm__mean_donor_distance_to_core/coord__dist__donor_eccentricity_mean,0.8392466329966325,0.7,0.9,0.9,coord__dist__donor_eccentricity_min
B,155921,1,4602,(coord__arm__min_donor_cluster_size/coord__arm__n_clusters_with_3plus_donors)*coord__dist__donor_pair_min,0.8303571428571429,1.0,1.0,0.8461538461538461,coord__arm__mean_donor_distance_to_core*coord__dist__donor_pair_min
B,155921,2,4602,coord__dist__donor_eccentricity_mean/coord__dist__donor_pair_median,0.8357819264069266,0.8823529411764706,0.9705882352941176,0.8529411764705882,coord__arm__core_branch_degree/coord__arm__n_amide_branches
B,155921,3,4602,(coord__dist__frac_donor_pairs_within_3/coord__arm__min_donor_cluster_size)*coord__dist__n_donor_pairs_within_3,0.8895833333333332,0.805,0.815,0.72,coord__arm__core_donor_eccentricity/coord__dist__n_donor_pairs_within_5
B,155921,4,4602,(coord__dist__n_donor_pairs_beyond_6/coord__dist__donor_eccentricity_min)*coord__arm__n_clusters_with_3plus_donors,0.9010416666666666,0.36363636363636365,0.7272727272727273,0.36363636363636365,coord__dist__donor_eccentricity_max
B,196613,0,4602,(coord__arm__n_clusters_with_3plus_donors/coord__arm__max_connected_donor_motif_size)/coord__dist__donor_pair_min,0.9322916666666665,0.35,0.75,0.3,coord__arm__core_branch_degree*coord__arm__n_clusters_with_3plus_donors
B,196613,1,4602,(coord__arm__mean_donor_cluster_size/coord__arm__n_clusters_with_3plus_donors)*coord__dist__donor_pair_min,0.8549242424242426,0.8297872340425532,0.8297872340425532,0.7340425531914894,coord__dist__donor_eccentricity_min/coord__dist__donor_pair_sd
B,196613,2,4602,(coord__dist__frac_donor_pairs_within_3/coord__arm__min_donor_cluster_size)*coord__dist__donor_pair_proximity_count,0.8906250000000016,0.6842105263157895,0.7894736842105263,0.42105263157894735,coord__arm__n_clusters_with_3plus_donors
B,196613,3,4602,(coord__arm__core_branch_degree*coord__dist__donor_pair_min)*coord__dist__donor_pair_min,0.8183712121212122,0.8620689655172413,0.9310344827586207,0.9310344827586207,coord__dist__donor_eccentricity_min
B,196613,4,4602,coord__dist__donor_eccentricity_mean/coord__dist__donor_pair_median,0.8208400974025978,0.8787878787878788,0.9090909090909091,0.8484848484848485,coord__arm__core_branch_degree*coord__dist__donor_pair_min
B,262147,0,4602,coord__dist__donor_pair_sd/coord__dist__donor_pair_mean,0.8443181818181807,0.8333333333333334,0.9333333333333333,0.8666666666666667,coord__arm__has_repeated_arms*coord__dist__frac_donor_pairs_within_3
B,262147,1,4602,(coord__dist__donor_eccentricity_min/coord__dist__donor_pair_sd)*coord__dist__donor_pair_min,0.8766203703703699,0.75,0.9166666666666666,0.9166666666666666,coord__arm__n_clusters_with_3plus_donors
B,262147,2,4602,(coord__arm__estimated_denticity_per_pocket/coord__arm__n_clusters_with_3plus_donors)*coord__dist__donor_pair_min,0.8810606060606061,0.8142076502732241,0.8142076502732241,0.8087431693989071,coord__arm__estimated_denticity_per_pocket*coord__dist__donor_pair_min
B,262147,3,4602,(coord__arm__min_donor_cluster_size/coord__arm__n_clusters_with_3plus_donors)*coord__dist__donor_pair_min,0.88248106060606,0.7346938775510204,0.7551020408163265,0.3673469387755102,coord__arm__n_clusters_with_3plus_donors*coord__dist__n_donor_pairs_within_2
