model,set,target,n_mine,n_lead,rho_mine,rho_lead,d_rho,partial_mine,partial_lead
NAIVE,S8,a,62,62,0.39200725239857975,0.3920072523985797,5.551115123125783e-17,0.3847158447130993,0.3847158447130995
NAIVE,S8,abs_a,62,62,-0.34355720077560375,-0.3435572007756037,-5.551115123125783e-17,-0.3239561813806775,-0.3239561813806777
NAIVE,S8,b,62,62,0.48769862254790874,0.4876986225479087,5.551115123125783e-17,0.47728485658593006,0.47728485658593
NAIVE,S14,a,39,39,0.6439271255060729,0.6439271255060729,0.0,0.6453296235637039,0.645329623563704
NAIVE,S14,abs_a,39,39,-0.4246963562753037,-0.4246963562753037,0.0,-0.408887782770361,-0.4088877827703608
NAIVE,S14,b,39,39,0.640080971659919,0.640080971659919,0.0,0.6480450918984773,0.648045091898477
NAIVE,S3,a,81,81,0.4665085817524842,0.4665085817524842,0.0,0.4446307016464595,0.4446307016464597
NAIVE,S3,abs_a,81,81,-0.40345528455284546,-0.4034552845528454,-5.551115123125783e-17,-0.35404348750501097,-0.3540434875050111
NAIVE,S3,b,81,81,0.37513550135501356,0.3751355013550135,5.551115123125783e-17,0.34522490714435633,0.3452249071443564
ELEM,S8,a,62,62,0.31338923723905215,0.3133892372390521,5.551115123125783e-17,0.2989058994577894,0.2989058994577892
ELEM,S8,abs_a,62,62,-0.43199617234519405,-0.431996172345194,-5.551115123125783e-17,-0.366106181996112,-0.3661061819961118
ELEM,S8,b,62,62,0.23895142403867947,0.2389514240386794,8.326672684688674e-17,0.14965647746771807,0.1496564774677181
ELEM,S14,a,39,39,0.39635627530364376,0.3963562753036437,5.551115123125783e-17,0.3963006897254867,0.3963006897254866
ELEM,S14,abs_a,39,39,-0.5548582995951417,-0.5548582995951417,0.0,-0.5399034306219835,-0.5399034306219836
ELEM,S14,b,39,39,0.18846153846153849,0.1884615384615384,8.326672684688674e-17,0.13762339013342767,0.1376233901334277
ELEM,S3,a,81,81,0.20282294489611563,0.2028229448961156,2.7755575615628914e-17,0.18066888571922843,0.1806688857192284
ELEM,S3,abs_a,81,81,-0.1936088527551942,-0.1936088527551942,0.0,-0.1436630688949583,-0.1436630688949582
ELEM,S3,b,81,81,0.21883468834688347,0.2188346883468834,5.551115123125783e-17,0.19397512791101593,0.1939751279110159
SPECIES,S8,a,62,62,-0.08367958500163683,-0.0836795850016368,-2.7755575615628914e-17,-0.0808874825693345,-0.0808874825693345
SPECIES,S8,abs_a,62,62,0.0301427815970386,0.0301427815970386,0.0,0.020819221467888126,0.0208192214678881
SPECIES,S8,b,62,62,-0.06625368285865378,-0.0662536828586537,-8.326672684688674e-17,-0.05889075516385779,-0.0588907551638578
SPECIES,S14,a,39,39,-0.04817813765182186,-0.0481781376518218,-6.245004513516506e-17,-0.04615172679370828,-0.0461517267937083
SPECIES,S14,abs_a,39,39,0.012348178137651822,0.0123481781376518,2.2551405187698492e-17,-0.011137307148974936,-0.0111373071489749
