extractant,series,n,var_n_ligs,corr_n_ligs_r,r2_n_ligs_on_rr2,var_n_NO3,corr_n_NO3_r,r2_n_NO3_on_rr2,var_n_H2O,corr_n_H2O_r,r2_n_H2O_on_rr2,var_coreCN,corr_coreCN_r,r2_coreCN_on_rr2
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C||water,14,1,0.8524975140112682,0.7687687410605535,0,,,1,-0.8524975140112682,0.7687687410605535,1,0.8524975140112682,0.7687687410605537
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C||nitrate,8,1,0.8026816871688143,0.7767433651290829,1,-0.8026816871688143,0.7767433651290829,0,,,1,0.8026816871688143,0.776743365129082
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21||nitrate,13,0,,,0,,,0,,,0,,
CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C||nitrate,13,0,,,0,,,0,,,0,,
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC||water,14,1,0.8524975140112682,0.7687687410605535,0,,,1,-0.8524975140112682,0.7687687410605535,1,0.8524975140112682,0.7687687410605537
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC||water,14,1,0.8524975140112682,0.7687687410605535,0,,,1,-0.8524975140112682,0.7687687410605535,1,0.8524975140112682,0.7687687410605537
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC||water,14,1,0.8524975140112682,0.7687687410605535,0,,,1,-0.8524975140112682,0.7687687410605535,1,0.8524975140112682,0.7687687410605537
CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C||water,14,1,0.8524975140112682,0.7687687410605535,0,,,1,-0.8524975140112682,0.7687687410605535,1,0.8524975140112682,0.7687687410605537
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC||water,13,1,0.8395505337409627,0.74956539465466,0,,,1,-0.8395505337409628,0.7495653946546601,1,0.8395505337409627,0.7495653946546601
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O||nitrate,14,1,0.8524975140112682,0.7687687410605535,1,-0.8524975140112682,0.7687687410605535,0,,,1,0.8524975140112682,0.7687687410605537
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC||water,14,1,-0.2548376387976015,0.09112688475931663,0,,,1,0.5450434673221042,0.3424476073205964,1,0.8524975140112682,0.7687687410605537
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC||nitrate,9,1,0.6679486367327107,0.7572062251421567,1,-0.6679486367327107,0.7572062251421565,0,,,1,0.6679486367327107,0.7572062251421567
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC||nitrate,14,1,0.8524975140112682,0.7687687410605535,1,-0.8524975140112682,0.7687687410605535,0,,,1,0.8524975140112682,0.7687687410605537
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC||nitrate,14,1,0.8524975140112682,0.7687687410605535,1,-0.8524975140112682,0.7687687410605535,0,,,1,0.8524975140112682,0.7687687410605537
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC||nitrate,11,1,0.8343164681409772,0.7495054323432653,1,-0.8343164681409772,0.7495054323432653,0,,,1,0.8343164681409772,0.7495054323432653
CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1,CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1||nitrate,14,1,0.8524975140112682,0.7687687410605535,1,-0.8524975140112682,0.7687687410605535,0,,,1,0.8524975140112682,0.7687687410605537
CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC||nitrate,12,1,0.8594988110137259,0.7599986784337929,1,-0.859498811013726,0.7599986784337927,0,,,1,0.8594988110137256,0.759998678433793
CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC,CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC||nitrate,9,0,,,0,,,1,0.7494300410762571,0.7461166688899434,1,0.7494300410762574,0.7461166688899433
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC||water,14,1,0.8524975140112682,0.7687687410605535,0,,,1,-0.8524975140112682,0.7687687410605535,1,0.8524975140112682,0.7687687410605537
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC||water,14,1,0.8524975140112682,0.7687687410605535,0,,,1,-0.8524975140112682,0.7687687410605535,1,0.8524975140112682,0.7687687410605537
CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C||nitrate,8,1,0.8026816871688143,0.7767433651290829,1,-0.8026816871688143,0.7767433651290829,0,,,1,0.8026816871688143,0.776743365129082
CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC||nitrate,8,1,0.8026816871688143,0.7767433651290829,1,-0.8026816871688143,0.7767433651290829,0,,,1,0.8026816871688143,0.776743365129082
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC||water,14,1,0.8524975140112682,0.7687687410605535,0,,,1,-0.8524975140112682,0.7687687410605535,1,0.8524975140112682,0.7687687410605537
CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C||water,14,1,0.8524975140112682,0.7687687410605535,0,,,1,-0.8524975140112682,0.7687687410605535,1,0.8524975140112682,0.7687687410605537
