model,seed,n,rho,ci_lo,ci_hi,n_boot
NAIVE,20260909,62,0.39200725239857975,-0.12344063360169176,0.703746970014783,2000
NAIVE,777001,62,0.39200725239857975,-0.15376943252034359,0.6840136271440106,2000
SPECIES,20260909,62,-0.08367958500163683,-0.29756353593052726,0.23575741226154218,2000
SPECIES,777001,62,-0.08367958500163683,-0.3045759893330099,0.24428953695289168,2000
CYCLE_ADD,20260909,62,0.2906247639193171,-0.2894854957450266,0.5467338445262332,2000
CYCLE_ADD,777001,62,0.2906247639193171,-0.2835797189884747,0.5441514057906441,2000
CYCLE_CONSTGAMMA,20260909,62,0.1892422754400544,-0.16937736866469777,0.4955315229542425,2000
CYCLE_CONSTGAMMA,777001,62,0.1892422754400544,-0.17855063445111358,0.4955035211355171,2000
SPECIES_NODELTA,20260909,62,0.034474075193271385,-0.4059995164938697,0.3029599589193458,2000
SPECIES_NODELTA,777001,62,0.034474075193271385,-0.4422959438909176,0.30324005826952455,2000
