k_eV_per_unit_r_per_a,model,set,n,rho,p
0.05,CYCLE_CONSTGAMMA,S8,62,0.19800559039057186,0.1229068738644374
0.05,CYCLE_CONSTGAMMA,S14,39,0.23785425101214575,0.14481551647052093
0.05,SPECIES_NODELTA,S8,62,0.034474075193271385,0.7902361821136845
0.05,SPECIES_NODELTA,S14,39,0.3038461538461539,0.060037953959115944
0.1,NAIVE,S8,62,0.39200725239857975,0.001627107947089192
0.1,NAIVE,S14,39,0.6439271255060729,9.745568326920046e-06
0.1,ELEM,S8,62,0.3368084409861248,0.007433815779324066
0.1,ELEM,S14,39,0.4297570850202429,0.006324969825141681
0.1,SPECIES,S8,62,-0.029890962201908792,0.8176074477901233
0.1,SPECIES,S14,39,0.021052631578947368,0.8987741503626616
0.1,SPECIES_NFILLCOL,S8,62,0.4003172924378635,0.0012644917710051935
0.1,SPECIES_NFILLCOL,S14,39,0.297165991902834,0.06618477221254054
0.1,SPECIES_CONST,S8,19,0.256140350877193,0.28983671332206656
0.1,SPECIES_CONST,S14,11,0.15454545454545454,0.6500339654975799
0.1,CYCLE_ADD,S8,62,0.30966231019113094,0.0143177490798398
0.1,CYCLE_ADD,S14,39,0.4091093117408907,0.009708591199137744
0.1,CYCLE_CONSTGAMMA,S8,62,0.20888418826017977,0.10324695265088678
0.1,CYCLE_CONSTGAMMA,S14,39,0.24291497975708504,0.13620627884678443
0.1,SPECIES_NODELTA,S8,62,0.034474075193271385,0.7902361821136845
0.1,SPECIES_NODELTA,S14,39,0.3038461538461539,0.060037953959115944
0.25,NAIVE,S8,62,0.3944247185918259,0.0015130413496682344
0.25,NAIVE,S14,39,0.6508097165991903,7.268176970878205e-06
0.25,ELEM,S8,62,0.3612852861927426,0.003914064589158605
0.25,ELEM,S14,39,0.47327935222672063,0.0023424729975277613
0.25,SPECIES,S8,62,0.048324141925411096,0.7091640316777413
0.25,SPECIES,S14,39,0.07813765182186234,0.6363436086204993
0.25,SPECIES_NFILLCOL,S8,62,0.4279166981440911,0.0005217585088415994
0.25,SPECIES_NFILLCOL,S14,39,0.31983805668016196,0.047157413161898414
0.25,SPECIES_CONST,S8,19,0.3666666666666667,0.12256059977421578
0.25,SPECIES_CONST,S14,11,0.3272727272727273,0.3258949410128415
0.25,CYCLE_ADD,S8,62,0.35297524615345877,0.004893547701894435
0.25,CYCLE_ADD,S14,39,0.44170040485829964,0.0048769053731330825
0.25,CYCLE_CONSTGAMMA,S8,62,0.2437359925461459,0.056259340556703605
0.25,CYCLE_CONSTGAMMA,S14,39,0.2765182186234818,0.08836660104304085
0.25,SPECIES_NODELTA,S8,62,0.036891541386517596,0.7758973249218943
0.25,SPECIES_NODELTA,S14,39,0.3107287449392713,0.054188541124740086
0.5,NAIVE,S8,62,0.3944247185918259,0.0015130413496682344
0.5,NAIVE,S14,39,0.6508097165991903,7.268176970878205e-06
0.5,ELEM,S8,62,0.38379794011734786,0.002074266268191599
0.5,ELEM,S14,39,0.5000000000000001,0.0011906331596951143
0.5,SPECIES,S8,62,0.1687945405555136,0.18969761722859232
0.5,SPECIES,S14,39,0.17692307692307696,0.2812728983670164
0.5,SPECIES_NFILLCOL,S8,62,0.4832666011936239,6.931718966581989e-05
0.5,SPECIES_NFILLCOL,S14,39,0.3459514170040486,0.030983808984752535
0.5,SPECIES_CONST,S8,19,0.44912280701754387,0.053731734799895854
0.5,SPECIES_CONST,S14,11,0.3454545454545455,0.2980892209030385
0.5,CYCLE_ADD,S8,62,0.3991085593412405,0.001312255169283729
0.5,CYCLE_ADD,S14,39,0.4961538461538462,0.0013168897507926049
0.5,CYCLE_CONSTGAMMA,S8,62,0.2915313137417844,0.02150550618169392
0.5,CYCLE_CONSTGAMMA,S14,39,0.3259109311740891,0.04289297316218786
0.5,SPECIES_NODELTA,S8,62,0.036891541386517596,0.7758973249218943
0.5,SPECIES_NODELTA,S14,39,0.3107287449392713,0.054188541124740086
1.0,NAIVE,S8,62,0.3978494623655914,0.0013637281999432144
1.0,NAIVE,S14,39,0.6587044534412955,5.144358080216349e-06
1.0,ELEM,S8,62,0.4387449321346731,0.00036099914592658985
1.0,ELEM,S14,39,0.601417004048583,5.137699040038896e-05
1.0,SPECIES,S8,62,0.3742791669814409,0.0027278617305464235
1.0,SPECIES,S14,39,0.4346153846153846,0.005696467634688758
1.0,SPECIES_NFILLCOL,S8,62,0.578857243584901,8.292552181877449e-07
1.0,SPECIES_NFILLCOL,S14,39,0.42651821862348177,0.00677644047790155
1.0,SPECIES_CONST,S8,19,0.6105263157894737,0.005497326431735111
1.0,SPECIES_CONST,S14,11,0.5363636363636364,0.08895341813596268
1.0,CYCLE_ADD,S8,62,0.44388204779532114,0.00030181173450073115
1.0,CYCLE_ADD,S14,39,0.5374493927125507,0.0004184578346256801
1.0,CYCLE_CONSTGAMMA,S8,62,0.35272342675832896,0.004926333525302883
1.0,CYCLE_CONSTGAMMA,S14,39,0.3684210526315789,0.02101178643816912
1.0,SPECIES_NODELTA,S8,62,0.04031628516028305,0.7557118100337665
1.0,SPECIES_NODELTA,S14,39,0.3186234817813765,0.04804999099707421
2.0,NAIVE,S8,62,0.4079726020498099,0.0009966223355111522
2.0,NAIVE,S14,39,0.6736842105263158,2.5952181303349736e-06
2.0,ELEM,S8,62,0.5268313565510816,1.0887301148469578e-05
2.0,ELEM,S14,39,0.73582995951417,9.43770641410333e-08
2.0,SPECIES,S8,62,0.5400266928558838,5.89959838584776e-06
2.0,SPECIES,S14,39,0.6212550607287449,2.4380254672182896e-05
2.0,SPECIES_NFILLCOL,S8,62,0.7288912392032435,1.861007077371236e-11
2.0,SPECIES_NFILLCOL,S14,39,0.6554655870445345,5.935179023157299e-06
2.0,SPECIES_CONST,S8,19,0.7894736842105263,5.8386919309543495e-05
2.0,SPECIES_CONST,S14,11,0.9090909090909091,0.00010559337630360879
2.0,CYCLE_ADD,S8,62,0.5008435949736849,3.385360394996396e-05
2.0,CYCLE_ADD,S14,39,0.5963562753036438,6.165112538698574e-05
2.0,CYCLE_CONSTGAMMA,S8,62,0.39925965097831834,0.0013061973135202035
2.0,CYCLE_CONSTGAMMA,S14,39,0.4080971659919028,0.009908134757520627
2.0,SPECIES_NODELTA,S8,62,0.047719775377099545,0.7126428229877725
2.0,SPECIES_NODELTA,S14,39,0.3368421052631579,0.036006788269457565
