k_eV_per_unit_r_per_a,model,set,n,rho,p
0.0,NAIVE,S8,62,0.39200725239857975,0.001627107947089192
0.0,NAIVE,S14,39,0.6439271255060729,9.745568326920046e-06
0.0,ELEM,S8,62,0.31338923723905215,0.013129495597396356
0.0,ELEM,S14,39,0.39635627530364376,0.012490839172481519
0.0,SPECIES,S8,62,-0.08367958500163683,0.5178778229378215
0.0,SPECIES,S14,39,-0.04817813765182186,0.7708582247850755
0.0,SPECIES_NFILLCOL,S8,62,0.3738258920702072,0.00276312036116654
0.0,SPECIES_NFILLCOL,S14,39,0.2641700404858299,0.10414515607681155
0.0,SPECIES_CONST,S8,19,0.16666666666666666,0.49526609078386524
0.0,SPECIES_CONST,S14,11,0.15454545454545454,0.6500339654975799
0.0,CYCLE_ADD,S8,62,0.2906247639193171,0.0219336391080249
0.0,CYCLE_ADD,S14,39,0.39655870445344127,0.012441889161204655
0.0,CYCLE_CONSTGAMMA,S8,62,0.1892422754400544,0.14071928839456108
0.0,CYCLE_CONSTGAMMA,S14,39,0.22267206477732795,0.17303355835696915
0.0,SPECIES_NODELTA,S8,62,0.034474075193271385,0.7902361821136845
0.0,SPECIES_NODELTA,S14,39,0.3038461538461539,0.060037953959115944
0.05,NAIVE,S8,62,0.39200725239857975,0.001627107947089192
0.05,NAIVE,S14,39,0.6439271255060729,9.745568326920046e-06
0.05,ELEM,S8,62,0.3258291153584649,0.009757380404661417
0.05,ELEM,S14,39,0.4137651821862348,0.008834305361401918
0.05,SPECIES,S8,62,-0.054267079650474684,0.6752801788834346
0.05,SPECIES,S14,39,-0.020850202429149797,0.8997425240353981
0.05,SPECIES_NFILLCOL,S8,62,0.38515776485104886,0.0019933435985522033
0.05,SPECIES_NFILLCOL,S14,39,0.2755060728744939,0.08958589290440082
0.05,SPECIES_CONST,S8,19,0.2210526315789474,0.3631100065281246
0.05,SPECIES_CONST,S14,11,0.15454545454545454,0.6500339654975799
0.05,CYCLE_ADD,S8,62,0.2999924454181461,0.017840359828066338
0.05,CYCLE_ADD,S14,39,0.405668016194332,0.010401376953897945
