extractant,dCN_dr,CN_range,n_comp_changes,r_of_first_CN_drop,mean_CN,a,b,abs_a,n_metals,chemotype
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,0.4709284144863574,1.0,1,,8.5,-0.39938883955557464,-0.1699606779354635,0.39938883955557464,14.0,sc007
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,0.48645923997104046,1.0,1,,8.625,-0.2693053833143338,-0.05096963941908241,0.2693053833143338,8.0,sc010
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,-5.2230751228683856e-15,0.0,0,,8.0,-0.16376265295219228,-0.30430381692878367,0.16376265295219228,14.0,sc012
CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,-1.6339562070323318e-15,0.0,0,,9.0,-1.1208407620802023,-0.3852941095623312,1.1208407620802023,14.0,sc015
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,0.4709284144863574,1.0,1,,8.5,-0.4482833055526018,-0.2596426328844968,0.4482833055526018,14.0,sc009
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0.4709284144863574,1.0,1,,8.5,-0.2600410324986765,-0.03929510873838907,0.2600410324986765,11.0,sc009
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,0.4709284144863574,1.0,1,,8.5,-0.7847921858795874,-0.10437334281597316,0.7847921858795874,14.0,sc009
CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,0.4709284144863574,1.0,1,,8.5,-0.569600970402105,-0.09861878784918293,0.569600970402105,14.0,sc019
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,0.4724481781488816,1.0,1,,8.538461538461538,-1.2616648349370063,-0.10111352330586142,1.2616648349370063,13.0,sc009
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,0.4709284144863574,1.0,1,,8.5,-1.0989182138161144,-0.09950622864584704,1.0989182138161144,14.0,sc021
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,0.4709284144863574,1.0,2,,8.5,0.07325366982190169,0.025548324705261766,0.07325366982190169,7.2,sc009
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,1.0198361577010546,1.0,1,,8.777777777777779,-0.20480419002779032,-0.18495142442585483,0.20480419002779032,8.0,sc027
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,0.4709284144863574,1.0,1,,8.5,-0.08144215954670339,0.007402979123800198,0.08144215954670339,6.4,sc009
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,0.4709284144863574,1.0,1,,8.5,-0.06633072708891824,-0.20675673490621135,0.06633072708891824,14.0,sc027
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,0.5078132518302954,1.0,1,,8.454545454545455,0.35530751853699627,-0.24873810458277856,0.35530751853699627,13.0,sc028
CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1,0.4709284144863574,1.0,1,,8.5,0.05677265550773193,0.07445454333299406,0.05677265550773193,14.0,sc029
CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,0.45059801712295244,1.0,1,,8.416666666666666,0.3467328148760595,-0.18375897577768446,0.3467328148760595,14.0,sc030
CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC,0.7188873044889171,1.0,1,,8.666666666666666,0.36221010057175657,0.03768674494564828,0.36221010057175657,9.0,sc031
