x,y,set,n,rho,p
slope_NAIVE,nligs_range,S8,62,-0.6109227237469262,1.3406256049725413e-07
slope_NAIVE,nligs_range,S14,39,-0.6682937537889931,3.3345229270305066e-06
slope_NAIVE,frac_at_max_nligs,S8,62,0.6952361369919503,3.6102219078634896e-10
slope_NAIVE,frac_at_max_nligs,S14,39,0.7905147914112368,2.1476665473200945e-09
slope_NAIVE,competitor,S8,61,-0.617588171536892,1.1464837012342034e-07
slope_NAIVE,competitor,S14,39,-0.5344946507313033,0.0004564726248665524
nligs_range,competitor,S8,61,0.5904292632140732,5.488369631914653e-07
nligs_range,competitor,S14,39,0.6468347567433123,8.617455541306044e-06
frac_at_max_nligs,competitor,S8,61,-0.4928310106804769,5.461848599853146e-05
frac_at_max_nligs,competitor,S14,39,-0.7396585291398328,7.468161161917923e-08
slope_SPECIES,nligs_range,S8,62,0.09004115409081338,0.4864464549549413
slope_SPECIES,nligs_range,S14,39,-0.10631946083006709,0.5194507749847304
slope_CYCLE_ADD,nligs_range,S8,62,0.06367328687426756,0.6229596457389351
slope_CYCLE_ADD,nligs_range,S14,39,-0.10125662936196866,0.539642673043186
slope_NAIVE,slope_CYCLE_ADD,S8,62,-0.037294452418725296,0.7735145963494983
slope_NAIVE,slope_CYCLE_ADD,S14,39,0.10101214574898786,0.5406271843121915
slope_NAIVE,slope_SPECIES,S8,62,-0.21497821762232128,0.09335235157255517
slope_NAIVE,slope_SPECIES,S14,39,0.16214574898785425,0.32403467230657435
