context,candidate_index,inner_fold_count,inner_split_seed,max_features,min_samples_leaf,inner_macro_group_mae,inner_r2,inner_mae,selected,2d_ensemble_weight,delta3d_weight,simplicial_weight,inner_group_balanced_r2,raw_selected,selected_after_gate
outer_0:baseline,0.0,3.0,214087.0,0.35,2.0,0.13134999752642984,0.024217007898774012,0.12637883674103262,True,,,,,,
outer_0:baseline,1.0,3.0,214087.0,0.7,2.0,0.13699285452541018,-0.09811303029259033,0.13541091080661397,False,,,,,,
outer_0:baseline,2.0,3.0,214087.0,1.0,4.0,0.14795357575855284,-0.1756511859662795,0.14223770666597868,False,,,,,,
outer_0:2d_second_unshrunk,0.0,3.0,214087.0,0.35,2.0,0.1316469326555765,0.010629353778017103,0.1272858485922001,True,,,,,,
outer_0:2d_second_unshrunk,1.0,3.0,214087.0,0.7,2.0,0.13643438088697166,-0.10681257898986485,0.13574449174885309,False,,,,,,
outer_0:2d_second_unshrunk,2.0,3.0,214087.0,1.0,4.0,0.14772856419510347,-0.17558101233362522,0.1422256072011088,False,,,,,,
outer_0:delta3d_unshrunk,0.0,3.0,214087.0,0.35,2.0,0.13908039327326382,0.07054841131663647,0.12739262558351067,True,,,,,,
outer_0:delta3d_unshrunk,1.0,3.0,214087.0,0.7,2.0,0.14465880533585468,-0.012716320911979162,0.1337367016019364,False,,,,,,
outer_0:delta3d_unshrunk,2.0,3.0,214087.0,1.0,4.0,0.14829018212211803,-0.04824778028405041,0.1379938962763914,False,,,,,,
outer_0:2d_ensemble_weight,,,,,,0.13134999752642984,0.024217007898774012,0.12637883674103262,True,0.0,,,,,
outer_0:2d_ensemble_weight,,,,,,0.13139733388083014,0.021339595263584865,0.12656177757566464,False,0.25,,,,,
outer_0:2d_ensemble_weight,,,,,,0.13145609326846083,0.018115848698395665,0.12676442176877473,False,0.5,,,,,
outer_0:2d_ensemble_weight,,,,,,0.13153753686183584,0.014545768203206189,0.12699808354708522,False,0.75,,,,,
outer_0:2d_ensemble_weight,,,,,,0.1316469326555765,0.010629353778017103,0.1272858485922001,False,1.0,,,,,
outer_0:delta3d_weight,,,,,,0.13134999752642984,0.024217007898774012,0.12637883674103262,True,,0.0,,,,
outer_0:delta3d_weight,,,,,,0.1319974475134419,0.049541711792761345,0.12519812401797342,False,,0.25,,,,
outer_0:delta3d_weight,,,,,,0.1337705069733364,0.06570518032706751,0.12517922430956557,False,,0.5,,,,
outer_0:delta3d_weight,,,,,,0.13617550304623138,0.07270741350169263,0.12597997388595622,False,,0.75,,,,
outer_0:delta3d_weight,,,,,,0.13908039327326382,0.07054841131663647,0.12739262558351064,False,,1.0,,,,
outer_0:simplicial_weight,,,,,,0.13134999752642984,0.024217007898774012,,,,,0.0,0.08579668699445808,True,True
outer_0:simplicial_weight,,,,,,0.1323184457171002,0.07274811279432425,,,,,0.25,0.10666415438939247,False,False
outer_0:simplicial_weight,,,,,,0.13867264706719765,0.0632566747278237,,,,,0.5,0.07241490632076808,False,False
outer_0:simplicial_weight,,,,,,0.14997929545929645,-0.004257306300727182,,,,,0.75,-0.016951057211414877,False,False
outer_0:simplicial_weight,,,,,,0.16422412374807663,-0.12979383029132863,,,,,1.0,-0.16143373620715673,False,False
