grouping,extractant,n_rows,baseline_mae,baseline_sign_accuracy,2d_ensemble_mae,2d_ensemble_sign_accuracy,delta3d_unshrunk_mae,delta3d_unshrunk_sign_accuracy,delta3d_mae,delta3d_sign_accuracy,simplicial_unshrunk_mae,simplicial_unshrunk_sign_accuracy,simplicial_mae,simplicial_sign_accuracy,mae_reduction_simplicial_vs_delta3d
extractant,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,471,0.12195423868574051,0.7749469214437368,0.12195423868574051,0.7749469214437368,0.11489278425213184,0.8110403397027601,0.12195423868574051,0.7749469214437368,0.1391824730651992,0.5690021231422505,0.12195423868574051,0.7749469214437368,0.0
extractant,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,95,0.15153733236801567,0.8526315789473684,0.1526474241912379,0.8526315789473684,0.15565786630532039,0.8210526315789474,0.15320212213405013,0.8526315789473684,0.16155040062199288,0.8,0.15320212213405013,0.8526315789473684,0.0
extractant,CCN(CC)C(=O)COCC(=O)N(CC)CC,66,0.06859250113654528,0.5757575757575758,0.06859250113654528,0.5757575757575758,0.08297718062717974,0.4393939393939394,0.07510716491603507,0.45454545454545453,0.10300851988481213,0.5454545454545454,0.07510716491603507,0.45454545454545453,0.0
extractant,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,57,0.1340267229156986,0.2982456140350877,0.13429599583537732,0.2982456140350877,0.10949040193678117,0.40350877192982454,0.12788261700567974,0.2982456140350877,0.10391026767024676,0.5263157894736842,0.12788261700567974,0.2982456140350877,0.0
extractant,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,40,0.11863100946759711,0.625,0.11863100946759711,0.625,0.0899284628969564,0.725,0.11863100946759711,0.625,0.10335031899166039,0.425,0.11863100946759711,0.625,0.0
extractant,CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,39,0.0656765867755569,0.717948717948718,0.06928622195376902,0.6923076923076923,0.07886596044670356,0.6153846153846154,0.07509059783163494,0.6410256410256411,0.07939415263892718,0.717948717948718,0.0683552856676144,0.6666666666666666,0.0067353121640205404
extractant,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,30,0.10175091911161654,0.8333333333333334,0.10072108199410425,0.8333333333333334,0.12613040994309893,0.6333333333333333,0.10742191811245677,0.8,0.12078633619826928,0.7333333333333333,0.10742191811245677,0.8,0.0
extractant,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,26,0.05875530007398399,0.6538461538461539,0.0586124043115593,0.6538461538461539,0.07025314328657915,0.6538461538461539,0.06683734825445889,0.6538461538461539,0.13669591593231914,0.6538461538461539,0.0804169212338365,0.6538461538461539,-0.013579572979377605
extractant,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,25,0.1381679528425309,0.52,0.1381679528425309,0.52,0.12080011608949442,0.52,0.12948403446601264,0.52,0.13067656535049815,0.52,0.12948403446601264,0.52,0.0
extractant,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,22,0.2346769550011727,0.7272727272727273,0.24420415573637033,0.7272727272727273,0.23084608641006507,0.8181818181818182,0.23174593725928014,0.8181818181818182,0.30707808979677975,0.4090909090909091,0.24973453237428836,0.8181818181818182,-0.01798859511500822
extractant,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,20,0.3028173438663648,0.25,0.29798948317861884,0.25,0.27954980928016687,0.15,0.2853666929267164,0.15,0.24907597127968611,0.35,0.27446074691569167,0.15,0.010905946011024736
extractant,CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,12,0.10107678039246798,0.9166666666666666,0.10107678039246798,0.9166666666666666,0.1219713297702711,0.9166666666666666,0.11044707362822152,0.9166666666666666,0.10313180253724687,0.9166666666666666,0.11044707362822152,0.9166666666666666,0.0
extractant,CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,12,0.19050580450077245,0.5,0.18291992270907967,0.5833333333333334,0.17716353463347426,0.5833333333333334,0.181443704270246,0.5833333333333334,0.19657400829122718,0.75,0.181443704270246,0.5833333333333334,0.0
extractant,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,12,0.04400189292678,0.9166666666666666,0.04977756899272915,0.9166666666666666,0.04442218153711635,0.9166666666666666,0.04289817490058526,0.9166666666666666,0.16206322340265497,0.75,0.052151132284503354,0.8333333333333334,-0.009252957383918091
extractant,CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,12,0.10289789577325985,0.75,0.10610717085207005,0.8333333333333334,0.11066099107725945,0.75,0.10835338587983374,0.75,0.16169706232750738,0.8333333333333334,0.10864226537070677,0.8333333333333334,-0.00028887949087302855
extractant,CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,12,0.16572738438913606,0.6666666666666666,0.16167546715710476,0.75,0.14202744047782687,0.6666666666666666,0.15387741243348144,0.6666666666666666,0.107268355009619,0.75,0.15387741243348144,0.6666666666666666,0.0
extractant,CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,12,0.16305164374013242,0.6666666666666666,0.1570608494599471,0.8333333333333334,0.1620468507849139,0.8333333333333334,0.1606573778820104,0.8333333333333334,0.19542419581824877,0.8333333333333334,0.1606573778820104,0.8333333333333334,0.0
extractant,O=C(COCC(=O)N1CCCCC1)N1CCCCC1,12,0.05282586579102489,0.4166666666666667,0.053288918543336006,0.3333333333333333,0.062155743515003636,0.4166666666666667,0.05457455644427451,0.3333333333333333,0.15681404630550083,0.4166666666666667,0.05457455644427451,0.3333333333333333,0.0
extractant,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,12,0.12274066160280285,0.8333333333333334,0.12377800554157604,0.8333333333333334,0.13268886368744218,0.6666666666666666,0.1252277121239627,0.9166666666666666,0.1304736578265878,0.75,0.1252277121239627,0.9166666666666666,0.0
extractant,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,12,0.05301095184498008,0.6666666666666666,0.05316726200086592,0.8333333333333334,0.057009487257336455,0.75,0.05270986907981301,0.75,0.08103800807302242,0.75,0.05270986907981301,0.75,0.0
extractant,CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,12,0.1886921696486851,0.6666666666666666,0.1886921696486851,0.6666666666666666,0.19747479805102067,0.75,0.19016302041420688,0.75,0.24879022082528227,0.5833333333333334,0.19016302041420688,0.75,0.0
extractant,CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,12,0.04409505110391206,1.0,0.04409505110391206,1.0,0.0470695032536236,1.0,0.03727985751637788,1.0,0.10706991033556838,0.5833333333333334,0.03727985751637788,1.0,0.0
