design,publication_id,mode,n_dropped_extractants,n_units_left,abc
B,pub_0a8da089ad,any_cell,1,89,-0.01059259193934025
B,pub_0a8da089ad,modal,1,89,-0.01059259193934025
B,pub_0af6736cb1,any_cell,3,87,-0.014257143321314938
B,pub_0af6736cb1,modal,3,87,-0.014257143321314938
B,pub_0e366d9257,any_cell,1,89,-0.011742192120815599
B,pub_0e366d9257,modal,1,89,-0.011742192120815599
B,pub_0fd6ab4e40,any_cell,1,89,-0.01270994305415818
B,pub_0fd6ab4e40,modal,1,89,-0.01270994305415818
B,pub_126bbe7976,any_cell,15,75,0.009249901098386025
B,pub_126bbe7976,modal,12,78,0.003937069142175019
B,pub_1605e436d7,any_cell,1,89,-0.010645219204523108
B,pub_1605e436d7,modal,0,90,-0.011907271695526769
B,pub_1845fd6492,any_cell,1,89,-0.013720102841785098
B,pub_1845fd6492,modal,1,89,-0.013720102841785098
B,pub_1927dff570,any_cell,4,86,-0.014282516224276487
B,pub_1927dff570,modal,4,86,-0.014282516224276487
B,pub_19783c039b,any_cell,1,89,-0.010270288458636426
B,pub_19783c039b,modal,1,89,-0.010270288458636426
B,pub_1bd76c48d9,any_cell,6,84,-0.015320385478457205
B,pub_1bd76c48d9,modal,6,84,-0.015320385478457205
B,pub_1c1b558856,any_cell,1,89,-0.012798654511216154
B,pub_1c1b558856,modal,1,89,-0.012798654511216154
B,pub_2c76a46f18,any_cell,1,89,-0.010645219204523108
B,pub_2c76a46f18,modal,0,90,-0.011907271695526769
B,pub_2e9f2dbea9,any_cell,1,89,-0.010645219204523108
B,pub_2e9f2dbea9,modal,0,90,-0.011907271695526769
B,pub_37086f6378,any_cell,1,89,-0.010645219204523108
B,pub_37086f6378,modal,1,89,-0.010645219204523108
B,pub_392f966ef2,any_cell,2,88,-0.012800219421206505
B,pub_392f966ef2,modal,2,88,-0.012800219421206505
B,pub_3e0f6bb1b5,any_cell,2,88,-0.011560970684951528
B,pub_3e0f6bb1b5,modal,2,88,-0.011560970684951528
B,pub_3f3b6220e0,any_cell,4,86,-0.011449914045977826
B,pub_3f3b6220e0,modal,4,86,-0.011449914045977826
B,pub_401a06b4b7,any_cell,1,89,-0.013692728121966756
B,pub_401a06b4b7,modal,1,89,-0.013692728121966756
B,pub_40c355ae86,any_cell,2,88,-0.012444086366446934
B,pub_40c355ae86,modal,2,88,-0.012444086366446934
B,pub_457a2adba4,any_cell,1,89,-0.010645219204523108
B,pub_457a2adba4,modal,0,90,-0.011907271695526769
B,pub_4829d176ba,any_cell,1,89,-0.010645219204523108
B,pub_4829d176ba,modal,0,90,-0.011907271695526769
B,pub_4cba27f5f3,any_cell,5,85,-0.007153996648765262
B,pub_4cba27f5f3,modal,2,88,-0.011303873914026678
B,pub_4fb6e0c041,any_cell,1,89,-0.011890291097868901
B,pub_4fb6e0c041,modal,1,89,-0.011890291097868901
B,pub_51c0693f9c,any_cell,4,86,-0.007160294730097293
B,pub_51c0693f9c,modal,0,90,-0.011907271695526769
B,pub_56338b6e47,any_cell,4,86,-0.01468189469572064
B,pub_56338b6e47,modal,4,86,-0.01468189469572064
B,pub_57ce0f7961,any_cell,1,89,-0.009992913879000748
B,pub_57ce0f7961,modal,1,89,-0.009992913879000748
B,pub_5a68dc5665,any_cell,4,86,-0.010276696728905722
B,pub_5a68dc5665,modal,3,87,-0.01158650416184764
B,pub_6a0ef8528c,any_cell,1,89,-0.01361453587995683
B,pub_6a0ef8528c,modal,1,89,-0.01361453587995683
B,pub_6c8ed9481c,any_cell,1,89,-0.01059259193934025
B,pub_6c8ed9481c,modal,0,90,-0.011907271695526769
B,pub_723ceb6c2c,any_cell,1,89,-0.01361453587995683
B,pub_723ceb6c2c,modal,0,90,-0.011907271695526769
B,pub_74428aeab2,any_cell,2,88,-0.012547577392038265
B,pub_74428aeab2,modal,1,89,-0.012409870202101216
B,pub_84113c17ad,any_cell,2,88,-0.011767683983394728
B,pub_84113c17ad,modal,2,88,-0.011767683983394728
B,pub_8415538291,any_cell,1,89,-0.01254909489565173
B,pub_8415538291,modal,1,89,-0.01254909489565173
B,pub_8dafaf94bc,any_cell,1,89,-0.01208607883616192
