design,split_seed,comparison,abc,n_units
BP,130363,UNCERT_vs_RANDOM,-0.040897421045314325,90
BP,130363,UNCERT_vs_MAXMIN,-0.017143844237905024,90
BP,155921,AOPT_vs_RANDOM,0.05157414652171257,90
BP,155921,AOPT_vs_MAXMIN,0.035589058701886944,90
BP,155921,UNCERT_vs_RANDOM,0.019016979789606096,90
BP,155921,UNCERT_vs_MAXMIN,0.003031891969780484,90
BP,196613,AOPT_vs_RANDOM,0.052096867425554985,90
BP,196613,AOPT_vs_MAXMIN,0.07908035815112559,90
BP,196613,UNCERT_vs_RANDOM,-0.009770958109988542,90
BP,196613,UNCERT_vs_MAXMIN,0.017212532615582043,90
BP,262147,AOPT_vs_RANDOM,0.04262698171619931,90
BP,262147,AOPT_vs_MAXMIN,0.05311085251665163,90
BP,262147,UNCERT_vs_RANDOM,-0.04850780613217288,90
BP,262147,UNCERT_vs_MAXMIN,-0.03802393533172056,90
