design,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1,stratum
B,AOPT_vs_RANDOM,mae_all,RANDOM,AOPT,-0.02133251899363802,-0.07165539736714893,0.016527091886512017,-0.09365225581481756,0.010443958029133789,0.3836,0.023111066600508857,0.0647109864814248,-0.02133251899363802,8,3,0,5,-0.03267614247321071,0.0016607093453197869,False,0.02,False,False,n_metals<=4
B,AOPT_vs_RANDOM,mae_all,RANDOM,AOPT,-0.013939464126673328,-0.06027417088222094,0.02592913718668211,-0.06692127775601454,0.02176860975940709,0.5524,0.022159837684827172,0.06204754551751608,-0.013939464126673328,10,6,2,5,-0.02222953088194769,0.0020361043774791542,False,0.02,False,False,n_metals 5-7
B,AOPT_vs_RANDOM,mae_all,RANDOM,AOPT,-0.010577773046966277,-0.058627805818951294,0.04958935298851492,-0.07721234830777643,0.04151606574433554,0.797,0.032479403313173956,0.09094232927688707,0.031046203199696316,72,36,3,5,-0.017045861817351144,0.0353989225489069,False,0.02,False,False,n_metals>=8
BR,AOPT_vs_RANDOM,mae_all,RANDOM,AOPT,-0.015715494763301707,-0.04022008884819836,0.010055927491005435,-0.03988626286760509,0.010562713433727427,0.2278,0.012924013302340038,0.0361872372465521,-0.015715494763301707,8,2,2,5,-0.025164023341055882,-0.007572440723957412,True,0.02,False,False,n_metals<=4
BR,AOPT_vs_RANDOM,mae_all,RANDOM,AOPT,-0.00014431743929398667,-0.0315727757720343,0.029420106004732716,-0.03293096079982762,0.028422090090075958,0.9956,0.015776129272886394,0.0441731619640819,-0.00014431743929398667,10,6,2,5,-0.0073555504039911936,0.009771430204274952,False,0.02,False,False,n_metals 5-7
BR,AOPT_vs_RANDOM,mae_all,RANDOM,AOPT,0.031081407601440084,0.021474191101278826,0.04765365510669076,0.02042624940296314,0.04593885852042458,0.0,0.006731702282912606,0.018848766392155294,0.036815845197515136,72,64,5,5,0.027761787008460097,0.03636699626616967,True,0.02,True,True,n_metals>=8
BQ,AOPT_vs_RANDOM,mae_all,RANDOM,AOPT,-0.006487046619860583,-0.05122177283859972,0.03274530901087257,-0.06182605765568349,0.027310787319125063,0.8028,0.0216922048700877,0.060738173636245556,-0.006487046619860583,8,3,2,5,-0.018184584438821944,0.012889399368977776,False,0.02,False,False,n_metals<=4
BQ,AOPT_vs_RANDOM,mae_all,RANDOM,AOPT,-0.010870514272332621,-0.054184844747814084,0.028865241349801,-0.056807520751065876,0.027038520443687195,0.6166,0.021498752270296285,0.06019650635682959,-0.010870514272332621,10,5,2,5,-0.019865603336481928,0.001846481948268049,False,0.02,False,False,n_metals 5-7
BQ,AOPT_vs_RANDOM,mae_all,RANDOM,AOPT,-0.0019840735443892683,-0.0393741100098153,0.0471896700972433,-0.05279124214311766,0.038655383738497126,0.988,0.025302864664416037,0.0708480210603649,0.02967054571062805,72,40,3,5,-0.006577603550989452,0.03330029219862325,False,0.02,False,False,n_metals>=8
A,AOPT_vs_RANDOM,mae_all,RANDOM,AOPT,0.03310164864859564,-0.021919389022746982,0.08734442828056302,-0.02049387289894919,0.08943523169830701,0.2372,0.0280448881048735,0.07852568669364579,0.03310164864859564,8,5,3,5,0.01304317818827509,0.05311586141816992,True,0.02,False,False,n_metals<=4
A,AOPT_vs_RANDOM,mae_all,RANDOM,AOPT,0.01055914460006924,-0.03364657736980696,0.05221171907905104,-0.03668612395951319,0.04986238570369771,0.6248,0.022062211555917744,0.06177419235656968,0.01055914460006924,10,7,5,5,-0.002004995655657732,0.026402676182314812,False,0.02,False,False,n_metals 5-7
A,AOPT_vs_RANDOM,mae_all,RANDOM,AOPT,0.04078860900011637,0.025700159012767464,0.05638103801252312,0.026807996803127263,0.05819079071182111,0.0,0.007572838291603106,0.021203947216488696,0.04336296641530587,72,61,5,5,0.03754061817529603,0.04266080570533689,True,0.02,True,True,n_metals>=8
BP,AOPT_vs_RANDOM,mae_all,RANDOM,AOPT,0.005025145406304152,-0.03859116076405884,0.04382843941888272,-0.047948068222533426,0.038752473266618515,0.7816,0.021249026505704344,0.05949727421597216,0.005025145406304152,8,5,4,5,-0.005193568239272243,0.02304604366086522,False,0.02,False,False,n_metals<=4
BP,AOPT_vs_RANDOM,mae_all,RANDOM,AOPT,0.041194349806709815,-0.0063756369474342895,0.0869272099160145,-0.006380568680385965,0.08691132270880304,0.0908,0.023727188176162827,0.06643612689325591,0.041194349806709815,10,6,5,5,0.027501401790038637,0.05536875720816665,True,0.02,False,False,n_metals 5-7
BP,AOPT_vs_RANDOM,mae_all,RANDOM,AOPT,0.056301861059158576,0.0337483840863571,0.07092176244469267,0.0388965987855303,0.0748723562326772,0.0,0.010111699686143377,0.02831275912120145,0.0473919715916799,72,64,5,5,0.04350294129816689,0.05899603761832166,True,0.02,True,True,n_metals>=8
