extractant,design,delta,n_cells,n_metals_max,n_metals_mean,n_pubs,a,b,abs_a,chemotype,chemotype_cells,chemotype_extractants
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,B,0.037241499176434184,1,5,5.0,1,0.07601097493086181,0.08206296817636363,0.07601097493086181,sc000,1,1
C1COCCOCCOCCOCCOCCO1,B,0.0423039189196297,1,5,5.0,1,0.05620718295732292,0.12910069076729588,0.05620718295732292,sc001,1,1
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,B,0.041485101556411774,1,14,14.0,1,-0.39938883955557464,-0.1699606779354635,0.39938883955557464,sc007,1,1
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,B,-0.0661477061895937,1,6,6.0,1,0.049124075720208875,-0.15507499511061024,0.049124075720208875,sc008,3,2
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,B,0.04379801580981735,1,8,8.0,1,-0.2693053833143338,-0.05096963941908241,0.2693053833143338,sc010,1,1
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,B,0.14699835025763197,1,14,14.0,1,-0.16376265295219228,-0.30430381692878367,0.16376265295219228,sc012,1,1
CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,B,0.14943470032146444,1,14,14.0,1,-1.1208407620802023,-0.3852941095623312,1.1208407620802023,sc015,1,1
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,B,-0.16385974941360987,1,14,14.0,1,-0.4482833055526018,-0.2596426328844968,0.4482833055526018,sc009,375,23
CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,B,0.0040065638210016186,1,2,2.0,1,,,,sc016,1,1
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,B,-0.1048224661156803,6,14,8.166666666666666,5,-0.2600410324986765,-0.03929510873838907,0.2600410324986765,sc009,375,23
