design,order,budget,macro_mae,macro_sign_acc,n_units
B,SIZE,6,0.5625994138435375,0.7278701399248042,90
B,SIZE,9,0.5216360422252198,0.7933790543777568,90
B,SIZE,12,0.5147364813270606,0.7903302109738644,90
B,SIZE,16,0.5198047290615895,0.7714124985554083,90
B,SIZE,20,0.5063653349750427,0.7838193818155139,90
B,SIZE,24,0.5119749683985216,0.786994579944737,90
BR,SIZE,6,0.566779797009821,0.718086478246142,90
BR,SIZE,9,0.5203067859676243,0.7933790543777568,90
BR,SIZE,12,0.5422755043542814,0.7284204112090109,90
BR,SIZE,16,0.5199676806325233,0.7721941110313125,90
BR,SIZE,20,0.5020027157105629,0.7918785810914606,90
BR,SIZE,24,0.5057752583486065,0.8037793577857512,90
BQ,SIZE,6,0.5724553497938919,0.7211683031990925,90
BQ,SIZE,9,0.5206005234018957,0.795006751832869,90
BQ,SIZE,12,0.5358158244966755,0.7372439702926825,90
BQ,SIZE,16,0.5134981362903728,0.7805347109549625,90
BQ,SIZE,20,0.4946269650256861,0.7944862449861387,90
BQ,SIZE,24,0.5106304289515016,0.7910855034964184,90
A,SIZE,6,0.5651328258620244,0.7173397941603752,90
A,SIZE,9,0.5171935800143004,0.7940712881521188,90
A,SIZE,12,0.51116638859746,0.7986591698164125,90
A,SIZE,16,0.5200882014604081,0.7697939796083662,90
A,SIZE,20,0.511581081448887,0.7800182522208645,90
A,SIZE,24,0.5112213676184714,0.7824955524440157,90
BP,SIZE,6,0.5687210339431499,0.7075661003961821,90
BP,SIZE,9,0.5255151472928337,0.7792832729767313,90
BP,SIZE,12,0.5093861137850043,0.7992988302684095,90
BP,SIZE,16,0.5092948387332158,0.807892020507861,90
BP,SIZE,20,0.5082310891376786,0.8019997643289567,90
BP,SIZE,24,0.5070530943376275,0.8089495951917891,90
