feature,importance
pair__delta_ionic_radius,0.03924914747880358
delta3d__feat3d__polyhedron__donor_atomic_number_09,0.027116138535979693
pair__delta_Z,0.025445415190642865
base__ecfp_1454,0.025203259137390646
base__ecfp_649,0.02041900015174969
pair__ionic_radius_B,0.018088610856110677
pair__ionic_radius_mean,0.017861654901965958
delta3d__feat3d__complex_physical__coordination_number,0.01749326861420031
pair__Z_B,0.017199217735054926
pair__Z_mean,0.016016821177037385
base__ecfp_358,0.015678629950235126
pair__Z_A,0.014677892994829586
base__ecfp_872,0.014672699271136387
delta3d__feat3d__polyhedron__coordination_number,0.01446095411637243
pair__ionic_radius_A,0.01388822410272731
base__cond__acid_concentration_M,0.011160895009923174
base__ecfp_2004,0.009732170217936821
delta3d__feat3d__polyhedron__donor_angle_06_08_deg,0.008841910599678747
delta3d__feat3d__polyhedron__ln_donor_distance_02,0.008480150824468815
delta3d__feat3d__polyhedron__donor_angle_01_03_deg,0.008339478875031588
delta3d__feat3d__polyhedron__donor_angle_02_07_deg,0.008336476182567259
delta3d__feat3d__complex_physical__donor_partial_charge_min,0.007715678707371418
base__ecfp_1272,0.0076762698764759425
base__ecfp_1405,0.007657051801099856
delta3d__feat3d__polyhedron__donor_angle_05_07_deg,0.007510401649910866
delta3d__feat3d__complex_physical__ln_donor_distance_mean,0.00749345141746697
base__NumRotatableBonds,0.007471139245472424
delta3d__feat3d__polyhedron__donor_angle_03_05_deg,0.007416238173656094
base__ecfp_695,0.007294199161130539
base__cond__extractant_concentration_M,0.007197416618816499
base__MolWt,0.007162004884255774
delta3d__feat3d__polyhedron__donor_angle_07_08_deg,0.00702436320730328
base__MolLogP,0.006983328128728524
delta3d__feat3d__polyhedron__donor_angle_02_04_deg,0.006658155387912006
delta3d__feat3d__polyhedron__donor_angle_01_08_deg,0.0066239555246608095
delta3d__feat3d__polyhedron__donor_angle_05_06_deg,0.006513550606113425
delta3d__feat3d__polyhedron__donor_angle_03_08_deg,0.006334823837443838
delta3d__feat3d__polyhedron__donor_angle_01_06_deg,0.006220090588892178
delta3d__feat3d__polyhedron__donor_angle_04_09_deg,0.006171051802188002
base__ecfp_1152,0.005990288701045797
base__ecfp_251,0.0059672359940017745
delta3d__feat3d__polyhedron__donor_angle_04_05_deg,0.005884766671037233
