context,candidate_index,max_features,min_samples_leaf,inner_macro_group_mae,inner_r2,inner_mae,selected
outer_0:baseline,0,0.35,2,0.16414395950563582,0.11300624598671916,0.14886858375250256,True
outer_0:baseline,1,0.7,2,0.164619810962642,0.08853531390225056,0.15107660254821909,False
outer_0:baseline,2,1.0,4,0.16967909466952594,0.07722443604357232,0.15449522208266683,False
outer_0:delta3d,0,0.35,2,0.1607312328636619,0.12957209380323254,0.1471911860618166,True
outer_0:delta3d,1,0.7,2,0.164759516929912,0.11453061855867608,0.14906234720868106,False
outer_0:delta3d,2,1.0,4,0.16615932005587594,0.11515480551752,0.14901669486687524,False
outer_1:baseline,0,0.35,2,0.16841191399201566,0.021003564953234632,0.14827968425326704,True
outer_1:baseline,1,0.7,2,0.1695345695977214,-0.02022201305185578,0.154026784671255,False
outer_1:baseline,2,1.0,4,0.1773190091726281,-0.07249124875447732,0.1561862613428549,False
outer_1:delta3d,0,0.35,2,0.16729327931009977,0.03313806504268346,0.14812996379497462,True
outer_1:delta3d,1,0.7,2,0.17086426901767401,-0.02387707596678812,0.15469457292932473,False
outer_1:delta3d,2,1.0,4,0.1778060314105183,-0.06866283173802845,0.1586451252856693,False
outer_2:baseline,0,0.35,2,0.15637216008553778,0.07316808708952882,0.13706390848460367,True
outer_2:baseline,1,0.7,2,0.16152953669820894,-0.02774243119548192,0.1447457177813845,False
outer_2:baseline,2,1.0,4,0.1704190807839252,-0.04007047144856757,0.14618586512648835,False
outer_2:delta3d,0,0.35,2,0.1561149741528088,0.10618117917288172,0.13242061348069453,True
outer_2:delta3d,1,0.7,2,0.16050950455990615,0.07211732024289252,0.13632518353482964,False
outer_2:delta3d,2,1.0,4,0.16247198029619556,0.05755888547620713,0.1372438304458567,False
outer_3:baseline,0,0.35,2,0.15898421082792044,0.023757931985233016,0.14799773502313956,True
outer_3:baseline,1,0.7,2,0.1629331867140472,-0.0031409629857310772,0.14983660723533573,False
outer_3:baseline,2,1.0,4,0.16738108190061035,-0.08611187488553362,0.1589136411160906,False
outer_3:delta3d,0,0.35,2,0.1587407321647123,0.0786314052689503,0.1439331996321127,True
outer_3:delta3d,1,0.7,2,0.1641699233934762,0.041360495857639235,0.1482272207730782,False
outer_3:delta3d,2,1.0,4,0.1611528273235632,0.028561284063709613,0.14920674248484458,False
outer_4:baseline,0,0.35,2,0.16038666842320837,0.043518360207003615,0.14549283070704777,True
outer_4:baseline,1,0.7,2,0.16833232263190454,-0.01227187305941202,0.15104873439496824,False
outer_4:baseline,2,1.0,4,0.16634263810565686,-0.15352331554939713,0.15794785263995392,False
outer_4:delta3d,0,0.35,2,0.16705575520776011,0.049328233859948445,0.14362352552670324,True
outer_4:delta3d,1,0.7,2,0.168468077296149,0.03430162727328234,0.14407381969618271,False
outer_4:delta3d,2,1.0,4,0.16801690523272694,0.006150199731046246,0.14602998730895936,False
full_data_deployment_model:delta3d,0,0.35,2,0.1653906907011422,0.14335249880243728,0.1346513259225713,True
full_data_deployment_model:delta3d,1,0.7,2,0.16867631515472364,0.10944568198284699,0.1370403501046719,False
full_data_deployment_model:delta3d,2,1.0,4,0.17146737681154117,0.11208160954015511,0.1379079516889692,False
