arm,macro_mae_extractant,macro_mae_extractant_seed_sd,macro_mae_chemotype,macro_mae_adjacent,macro_mae_far,macro_sign_acc_strong,macro_pair_spearman,pooled_mae,pooled_mae_adjacent,pooled_mae_far,pooled_sign_acc_strong,n_units_mae_all,n_units_adjacent,n_units_far,n_units_sign,n_seeds,macro_curve_spearman
C_DIRECT_ROW,0.5027707363633593,0.026371779227896262,0.5408554536537767,0.1855234713261845,0.6652802031797573,0.704899823938199,0.43775973451999334,0.5313022288919496,0.16785656249601127,0.810339984909069,0.8125324434556915,90,83,88,86,5,0.3950060035621042
M_PHYSICS_radius+radius_sq,0.5058172414326173,0.016159470939073925,0.5469008873374062,0.1906423443562902,0.6664381937311614,0.73210660774461,0.4392000460281915,0.5185035387447317,0.17033417101704307,0.7787679102161593,0.8102583117043629,90,83,88,86,5,0.43137812660264574
M_SELECTED,0.5071177205801563,0.020109840157225792,0.5446664267971977,0.19133975661287908,0.6696655356101018,0.7199375930535671,0.44256204795762055,0.5177496391334913,0.1742033700230149,0.7757127937182444,0.8135211963910518,90,83,88,86,5,0.42582540564274307
B1_MEAN_CURVE,0.6030312971312337,0.01233312523482532,0.6458750150978932,0.2113275257008726,0.818284314753447,0.618600870899468,0.26682268148333443,0.5931438376988653,0.18515569953384473,0.9125579391554681,0.7909034729946854,90,83,88,86,5,0.20810085579875745
