axis,candidate,reference,metric,n_curves,n_ligands,n_publications,curves_improved,scheme,point,ci_low,ci_high,n_blocks,ci_width,positive
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,shape_mae,155,25,32,0.9096774193548387,chemotype,0.19562078199167032,0.11797647495306608,0.20275446945561337,8.0,0.08477799450254729,True
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,shape_mae,155,25,32,0.9096774193548387,publication,0.19562078199167032,0.14036652207109154,0.2567198594270797,32.0,0.11635333735598816,True
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,shape_mae,155,25,32,0.9096774193548387,ligand,0.19562078199167032,0.14539995089754315,0.23190279149748033,25.0,0.08650284059993718,True
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,shape_mae,155,25,32,0.9096774193548387,two_factor,0.19562078199167032,0.1396534077005702,0.25763152584506566,,0.11797811814449546,True
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,slope_abs_error,155,25,32,0.9354838709677419,chemotype,0.9225934815533632,0.5081841316852631,0.9515592585426543,8.0,0.4433751268573912,True
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,slope_abs_error,155,25,32,0.9354838709677419,publication,0.9225934815533632,0.6400099956554387,1.1954694945405626,32.0,0.5554594988851239,True
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,slope_abs_error,155,25,32,0.9354838709677419,ligand,0.9225934815533632,0.5809678814939088,1.1878789839735235,25.0,0.6069111024796148,True
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,slope_abs_error,155,25,32,0.9354838709677419,two_factor,0.9225934815533632,0.636219568387019,1.1984578301445705,,0.5622382617575515,True
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,row_mae,155,25,32,0.8516129032258064,chemotype,0.1222873209182139,0.06573936111569875,0.13079784243454018,8.0,0.06505848131884143,True
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,row_mae,155,25,32,0.8516129032258064,publication,0.1222873209182139,0.07573314578118953,0.1799488483324556,32.0,0.10421570255126608,True
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,row_mae,155,25,32,0.8516129032258064,ligand,0.1222873209182139,0.047978792295323265,0.1719285802486843,25.0,0.12394978795336103,True
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,row_mae,155,25,32,0.8516129032258064,two_factor,0.1222873209182139,0.07607108307195982,0.1794564986535873,,0.10338541558162746,True
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,span_recovery_distance,155,25,32,0.9806451612903225,chemotype,0.37764583703642046,0.25763015751692736,0.3863577175769806,8.0,0.12872756006005326,True
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,span_recovery_distance,155,25,32,0.9806451612903225,publication,0.37764583703642046,0.2958242935938482,0.46450152098810493,32.0,0.16867722739425672,True
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,span_recovery_distance,155,25,32,0.9806451612903225,ligand,0.37764583703642046,0.30327355986080934,0.46491243272203797,25.0,0.16163887286122863,True
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,span_recovery_distance,155,25,32,0.9806451612903225,two_factor,0.37764583703642046,0.29643937910320006,0.46459168429830333,,0.16815230519510327,True
