axis,candidate,reference,metric,doi,n_curves,n_ligands,publication_mean_gain,share_of_summed_gain,effect_without,effect_full,curves_improved_without
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,shape_mae,doi:10.1016/j.aca.2004.09.023,12,1,0.4270934634520361,0.16902754431118985,0.1761965010299613,0.19562078199167032,0.9020979020979021
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,shape_mae,"https://doi.org/10.1080/01496395.2016.1274760, https://doi.org/10.1021/jacs.5c19738",18,1,0.15585276917720836,0.09252100454265327,0.20084577637605214,0.19562078199167032,0.8978102189781022
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,shape_mae,"https://doi.org/10.1007/s10967-020-07242-1, https://doi.org/10.1021/jacs.5c19738",14,1,0.15464744035124853,0.07140425347695517,0.19968905704816606,0.19562078199167032,0.9078014184397163
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,shape_mae,"https://doi.org/10.1016/j.seppur.2014.03.005, https://doi.org/10.1021/jacs.5c19738",9,1,0.20976976161924904,0.06226424198346564,0.1947485846173675,0.19562078199167032,0.9041095890410958
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,shape_mae,DOI: 10.1080/07366290601169352,6,1,0.3056253695058842,0.06047751851461091,0.19119106705821198,0.19562078199167032,0.9060402684563759
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,shape_mae,DOI: 10.1080/07366299.2011.539127,5,1,0.35663415813895166,0.05880933285703525,0.1902536694534276,0.19562078199167032,0.9066666666666666
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,shape_mae,"https://doi.org/10.1007/s10967-020-07368-2, https://doi.org/10.1021/jacs.5c19738",7,7,0.23481274254878057,0.054209201751061455,0.1937671081815367,0.19562078199167032,0.9121621621621622
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,shape_mae,DOI:10.1021/jacs.7b07318,5,1,0.3072744288428336,0.05066986364562683,0.1918989937632982,0.19562078199167032,0.9066666666666666
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,shape_mae,"https://doi.org/10.1007/s41365-016-0055-0 , https://doi.org/10.1021/jacs.5c19738",7,1,0.17585445807402375,0.04059800883496745,0.1965556756904779,0.19562078199167032,0.9054054054054054
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,shape_mae,dx.doi.org/10.1016/j.seppur.2014.03.005,6,1,0.17332080939060876,0.03429693181503402,0.19651876746553854,0.19562078199167032,0.9060402684563759
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,shape_mae,"https://doi.org/10.1007/s41365-017-0229-4 , https://doi.org/10.1021/jacs.5c19738",9,1,0.10276905288255218,0.030504097100063788,0.20134451871757483,0.19562078199167032,0.9041095890410958
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,shape_mae,"https://doi.org/10.1080/07366290802672212, https://doi.org/10.1021/jacs.5c19738",2,2,0.4477369513405267,0.02953291018581581,0.19232514579103163,0.19562078199167032,0.9084967320261438
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,shape_mae,DOI: 10.1080/07366290601169345,3,1,0.27619743824424076,0.027327141905970888,0.19403045324984322,0.19562078199167032,0.9078947368421053
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,shape_mae,DOI:10.1080/07366299.2013.800431,2,1,0.4015229406995825,0.02648461537454544,0.19292925050529236,0.19562078199167032,0.9084967320261438
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,shape_mae,https://doi.org/10.1080/18811248.2007.9711301,2,1,0.40104924930851815,0.026453370499030446,0.19293544254961997,0.19562078199167032,0.9084967320261438
