design,arm,k,n_pairs,mae,rmse,mean_sd,median_sd,z_sd,median_abs_z,cover50,cover80,cover90,cover95,abs_cover90_gap
B,POOLED,0,52587,0.46124194629921983,0.6748281747523516,0.6513677550726823,0.5939903048901743,0.5805907033971797,0.48926986158940566,0.6165402095574952,0.8542225264799285,0.9320744670736113,0.9680149086276075,0.03207446707361128
B,POOLED,1,52587,0.23432243117455223,0.3229998506890947,0.5169063646834852,0.5113805046925588,0.4147377564883036,0.32620030611319173,0.7680034989636222,0.9558255842698766,0.9831707456215415,0.9916519291840189,0.08317074562154148
B,POOLED,2,52587,0.19990507193434826,0.28003071392071294,0.48538851853344006,0.47988194727337197,0.39445363149348445,0.29416735132813954,0.803335425105064,0.9654477342308936,0.9866697092437294,0.9922984768098579,0.08666970924372941
B,POOLED,3,52587,0.1713850180024322,0.24115372972322097,0.46411617598186994,0.4621501096924942,0.3602909851532671,0.26360254474385636,0.8413105900697891,0.9768003498963622,0.990377850038983,0.9942761519006599,0.09037785003898302
B,LW,0,52587,0.46124194629921983,0.6748281747523516,0.6374070243288539,0.5781574882838854,1420.1986172905608,0.5120266455422323,0.603343031547721,0.8534048338943084,0.9323216764599616,0.9682050696940309,0.032321676459961535
B,LW,1,52587,0.22808364281766258,0.3305331124673095,0.44470991123714965,0.4494856868762689,106881.03708488075,0.3611803619575676,0.7257687261110161,0.9220719949797479,0.9616064806891437,0.9788160572004487,0.06160648068914365
B,LW,2,52587,0.7774975118817834,4.20117501032559,0.3431316752938154,0.4141294603664464,4143285.395461915,0.5240339740240565,0.5707684408694164,0.713636450073212,0.746115960218305,0.7628501340635518,0.15388403978169507
B,LW,3,52587,52.30284619960142,478.16340296599134,0.2507411710962912,0.37557384088368534,475321759.1268244,0.8864879243528841,0.45516952859071635,0.5392777682697245,0.551847414760302,0.5575142145397152,0.34815258523969805
B,LOWRANK2,0,52587,0.46124194629921983,0.6748281747523516,0.642142673621056,0.5646798344955319,0.5671554739541362,0.5080800399229604,0.6043128529864795,0.857284119649343,0.936657348774412,0.9724836936885543,0.03665734877441196
B,LOWRANK2,1,52587,0.22656695562389412,0.31418678370479497,0.45466798959985527,0.443534952265117,0.4603087867997801,0.35542855489818687,0.7351246505790404,0.937246848080324,0.9750318519786259,0.9871831441230723,0.07503185197862583
B,LOWRANK2,2,52587,0.1880967583145083,0.26253527837183,0.42280590827789316,0.41466381341633457,0.423251385098858,0.31720650698612857,0.7797744689752221,0.9545515051248408,0.9830186167684029,0.9907771882784718,0.08301861676840283
B,LOWRANK2,3,52587,0.17041495639341353,0.23821952014406755,0.4064655417586434,0.4029782903369937,0.40500112163464624,0.2954593056453548,0.7955198052750679,0.9613212390895088,0.9853195656721243,0.9916138969707342,0.08531956567212429
B,LOWRANK3,0,52587,0.46124194629921983,0.6748281747523516,0.6430290993329036,0.566587102061297,0.5668205686810361,0.5075594025386992,0.6059672542643619,0.8574552646091239,0.936543252134558,0.9718941943826421,0.036543252134558
B,LOWRANK3,1,52587,0.22559639495732897,0.31274201472205937,0.4557573599888565,0.4489855317161392,0.45758665305077895,0.3532848104082756,0.7376918249757545,0.9380265084526594,0.9751079164051952,0.9870690474832183,0.07510791640519521
B,LOWRANK3,2,52587,0.18509981924437757,0.2588043301820151,0.42183475593249736,0.41725819757396687,0.42072317513684493,0.3113162165023362,0.7855173331812045,0.9561298419761538,0.9834179550078916,0.9903968661456254,0.08341795500789162
B,LOWRANK3,3,52587,0.16842738155693693,0.2348190821753023,0.4041112262799412,0.4035319608566144,0.4031046748888406,0.29459450759336114,0.7985053340179131,0.9632798980736684,0.985300549565482,0.9917470097172305,0.08530054956548194
B,HIER,0,52587,0.46124194629921983,0.6748281747523516,0.7079578649617511,0.6398826247462945,0.5416078724157496,0.4507684987692162,0.6482780915435373,0.8833742179626143,0.9510905737159374,0.9781124612546828,0.05109057371593739
B,HIER,1,52587,0.22704984830993508,0.31516748738764916,0.5605489991132753,0.5593465056372519,0.38244963266102044,0.2888822184155226,0.8107326905889288,0.9678247475611843,0.9873542890828532,0.993933861981098,0.08735428908285314
B,HIER,2,52587,0.2040953694712861,0.2874812210287233,0.5259227826160967,0.5244350028381475,0.37592177616530165,0.2699610536474746,0.8270865423013293,0.9696312776922053,0.9871070796965029,0.9934014109951128,0.08710707969650289
B,HIER,3,52587,0.1789976366733061,0.2542691586826682,0.4974645092388441,0.4926557382400909,0.3542467879899907,0.24826929097050277,0.8519405936828494,0.9752410291516915,0.9902827695057714,0.9944282807537985,0.09028276950577141
B,MIX6meanPC,0,52587,0.46124194629921983,0.6748281747523516,0.7710804740868984,0.6700170643855233,0.47325402998438815,0.42644897675925636,0.6745963831365166,0.9159297925342765,0.9722745165154886,0.9884382071614658,0.07227451651548855
B,MIX6meanPC,1,52587,0.22945731763107846,0.3187324276867756,0.5455134553762574,0.5344434446736643,0.3882598749758256,0.2966221197912253,0.7947971932226596,0.9666647650560024,0.9872211763363569,0.9935535398482515,0.08722117633635684
B,MIX6meanPC,2,52587,0.19145268814705688,0.27095380273944514,0.5019841250221083,0.49295037929027075,0.3709431225426256,0.2670009400334839,0.8308327153098675,0.9737387567269478,0.988913609827524,0.9935155076349668,0.08891360982752394
B,MIX6meanPC,3,52587,0.16119856774281707,0.22886250287529925,0.4727171119364918,0.46896686876351307,0.34013015224272075,0.23802399473525346,0.8673816722764182,0.9810599577842433,0.9914427520109533,0.9948846673132143,0.09144275201095331
BR,POOLED,0,52744,0.45872879181477993,0.6693067582399165,0.6449686072780195,0.5877758373346063,0.5808343727986005,0.4916301326430852,0.6148945851660852,0.8536136811770059,0.9314993174579099,0.9677309267404823,0.0314993174579099
BR,POOLED,1,52744,0.236099855421421,0.3250518764950459,0.5127461178076207,0.5086682805527701,0.41901054757846085,0.3331754024779974,0.7618686485666616,0.9539663279235553,0.9824624601850448,0.9911079933262551,0.08246246018504477
BR,POOLED,2,52744,0.2018617083306906,0.28280247774675116,0.4822231774795581,0.4769595041094368,0.3988536027121411,0.2986216622722181,0.7986690429243136,0.9640527832549673,0.9859320491430305,0.9920749279538905,0.08593204914303043
BR,POOLED,3,52744,0.1726585567236937,0.2429417337955481,0.46093287943295136,0.459044156363524,0.3649678455720929,0.2660563588956564,0.836550128924617,0.976035188836645,0.9900273016836039,0.9937244046716214,0.09002730168360384
BR,LW,0,52744,0.45872879181477993,0.6693067582399165,0.6311684621203602,0.5721953350125263,0.5803577212488321,0.5130244268705326,0.6025898680418625,0.8523813135143334,0.9316130744729259,0.9686978613681178,0.03161307447292583
BR,LW,1,52744,0.22974388727070486,0.3212648639631745,0.4425282854746619,0.4484162108901255,59860.452253441435,0.36919968572422335,0.7190012134081601,0.9203132109813439,0.9614363719096011,0.9789739117245564,0.06143637190960105
BR,LW,2,52744,0.6568237092998153,3.6004996651091217,0.3394233377974874,0.41011275303131867,3549186.8528471407,0.5471446302430899,0.5589830122857576,0.7050091005612013,0.7368800242681632,0.7531093584104354,0.16311997573183679
BR,LW,3,52744,27.28624469975783,118.62285553742215,0.24603220286517466,0.3703984311475097,115490943.42058764,0.9114631800818733,0.45062945548308814,0.5369520703776733,0.549749734566965,0.5547550432276657,0.35025026543303506
BR,LOWRANK2,0,52744,0.45872879181477993,0.6693067582399165,0.6359456882806345,0.5602471610283387,0.567254577300096,0.5103005253078319,0.6029500985894131,0.8568178370999545,0.9363529500985894,0.9720347338085848,0.03635295009858941
