design,split_seed,fold,n_train,n_test,n_train_cells_sharing_test_publication
B,104729,0,103,418,27
B,104729,1,499,22,8
B,104729,2,494,27,18
B,104729,3,507,14,54
B,104729,4,481,40,102
B,130363,0,499,22,31
B,130363,1,461,60,68
B,130363,2,491,30,44
B,130363,3,127,394,29
B,130363,4,506,15,14
B,155921,0,494,27,3
B,155921,1,507,14,25
B,155921,2,480,41,25
B,155921,3,106,415,24
B,155921,4,497,24,51
B,196613,0,500,21,57
B,196613,1,121,400,36
B,196613,2,498,23,16
B,196613,3,487,34,65
B,196613,4,478,43,91
B,262147,0,490,31,23
B,262147,1,504,17,12
B,262147,2,121,400,36
B,262147,3,465,56,73
B,262147,4,504,17,20
BR,104729,0,76,418,18
BR,104729,1,491,22,8
BR,104729,2,476,27,18
BR,104729,3,453,14,51
BR,104729,4,379,40,83
BR,130363,0,468,22,30
BR,130363,1,393,60,58
BR,130363,2,447,30,40
BR,130363,3,98,394,26
BR,130363,4,492,15,14
BR,155921,0,491,27,3
BR,155921,1,482,14,25
BR,155921,2,455,41,23
BR,155921,3,82,415,20
BR,155921,4,446,24,49
BR,196613,0,443,21,48
BR,196613,1,85,400,22
BR,196613,2,482,23,16
BR,196613,3,422,34,52
BR,196613,4,387,43,75
BR,262147,0,467,31,21
BR,262147,1,492,17,12
BR,262147,2,85,400,25
BR,262147,3,392,56,60
BR,262147,4,484,17,19
BQ,104729,0,76,418,27
BQ,104729,1,490,22,8
BQ,104729,2,476,27,18
BQ,104729,3,453,14,54
BQ,104729,4,379,40,102
BQ,130363,0,468,22,31
BQ,130363,1,390,60,68
BQ,130363,2,447,30,44
BQ,130363,3,98,394,29
BQ,130363,4,491,15,14
BQ,155921,0,491,27,3
BQ,155921,1,482,14,25
BQ,155921,2,455,41,25
BQ,155921,3,80,415,24
BQ,155921,4,444,24,51
BQ,196613,0,443,21,57
BQ,196613,1,85,400,36
BQ,196613,2,474,23,16
BQ,196613,3,422,34,65
BQ,196613,4,385,43,91
BQ,262147,0,467,31,23
BQ,262147,1,492,17,12
BQ,262147,2,85,400,36
BQ,262147,3,392,56,73
BQ,262147,4,484,17,20
A,104729,0,437,84,79
A,104729,1,388,133,64
A,104729,2,492,29,101
A,104729,3,322,199,110
A,104729,4,445,76,69
A,130363,0,494,27,22
A,130363,1,433,88,74
A,130363,2,448,73,95
A,130363,3,468,53,102
A,130363,4,241,280,102
A,155921,0,410,111,75
A,155921,1,469,52,109
A,155921,2,287,234,99
A,155921,3,453,68,70
A,155921,4,465,56,69
A,196613,0,454,67,88
A,196613,1,485,36,67
A,196613,2,374,147,66
A,196613,3,444,77,91
A,196613,4,327,194,115
A,262147,0,458,63,86
A,262147,1,441,80,88
A,262147,2,399,122,88
A,262147,3,474,47,94
A,262147,4,312,209,125
BP,104729,0,76,418,0
BP,104729,1,491,22,0
BP,104729,2,476,27,0
BP,104729,3,453,14,0
BP,104729,4,379,40,0
BP,130363,0,468,22,0
BP,130363,1,393,60,0
BP,130363,2,447,30,0
BP,130363,3,98,394,0
BP,130363,4,492,15,0
BP,155921,0,491,27,0
BP,155921,1,482,14,0
BP,155921,2,455,41,0
BP,155921,3,82,415,0
BP,155921,4,446,24,0
BP,196613,0,443,21,0
BP,196613,1,85,400,0
BP,196613,2,482,23,0
BP,196613,3,422,34,0
BP,196613,4,387,43,0
BP,262147,0,467,31,0
BP,262147,1,492,17,0
BP,262147,2,85,400,0
BP,262147,3,392,56,0
BP,262147,4,484,17,0
