design,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1,family,lead,p_bh_lead
B,PLATT_vs_CONST,brier,CONST,PLATT,0.0779028609658918,0.0089528551994403,0.1314656006769559,0.0032923245216812,0.1278935079929812,0.0294,0.0308639623911479,0.0864190946952142,0.0662990720599735,82,62,5,5,0.0641159123591534,0.0953118843932154,True,0.02,True,True,registered,L5,0.08275862068965517
B,RAW_vs_CONST,brier,CONST,RAW,0.1351201764933136,0.057170659887176,0.1817850528971401,0.0525988587417292,0.1800396303788643,0.0016,0.0320586845014961,0.0897643166041892,0.1201546723784608,82,68,5,5,0.1175888040946334,0.1518013075219647,True,0.02,True,True,exploratory,L5,0.003428571428571429
B,PLATT_vs_RAW,brier,RAW,PLATT,-0.0572173155274217,-0.0807952563080133,-0.0236425454384514,-0.0857111340807794,-0.0291528990195418,0.0002,0.0148871440808267,0.0416840034263148,-0.0538556003184872,82,16,0,5,-0.0634584985057575,-0.0434231635563967,True,0.02,False,False,exploratory,L5,0.0005357142857142857
B,RAW_vs_CONSTCELL,brier,CONSTCELL,RAW,0.148084819623664,0.073573737843488,0.2486687341222623,0.0642193777740395,0.2383865824009743,0.001,0.0441790362238285,0.12370130142672,0.1707142390026091,82,62,5,5,0.1300326863820586,0.172098195430783,True,0.02,True,True,exploratory,L5,0.0023076923076923075
B,PLATT_vs_CONSTCELL,brier,CONSTCELL,PLATT,0.0908675040962423,0.0128294787916783,0.2042257075707266,-0.0041750315640675,0.186921450322345,0.0254,0.048552565221784,0.1359471826209953,0.1168586386841219,82,57,5,5,0.0735618498402542,0.1286750318743863,True,0.02,False,False,exploratory,L5,0.047625
BR,PLATT_vs_CONST,brier,CONST,PLATT,0.0153086239593912,-0.0317530943408576,0.0795608195203247,-0.0368173249749555,0.0731880220175767,0.5418,0.0284365572345256,0.0796223602566717,0.0262975429445327,82,38,4,5,0.0066192053747415,0.0341336020717245,True,0.02,False,False,registered,L5,0.7339016393442623
BR,RAW_vs_CONST,brier,CONST,RAW,0.1282572637556488,0.0496030806221513,0.1762938860544445,0.0451822675089059,0.1745578596969149,0.003,0.03267270861587,0.0914835841244361,0.1095375438750758,82,67,5,5,0.1113306781226867,0.1448317201170684,True,0.02,True,True,exploratory,L5,0.006338028169014085
BR,PLATT_vs_RAW,brier,RAW,PLATT,-0.1129486397962576,-0.1575561615546831,-0.0445349280750149,-0.172630143964771,-0.0603576918375612,0.0,0.0304068323369264,0.0851391305433941,-0.0832400009305431,82,12,0,5,-0.1204160060468232,-0.0771970760509621,True,0.02,False,False,exploratory,L5,0.0
BR,RAW_vs_CONSTCELL,brier,CONSTCELL,RAW,0.1411270251436304,0.0660449183065555,0.2430181305859235,0.0560852762200205,0.232582547732164,0.0012,0.0446602923493659,0.1250488185782246,0.1605618013745437,82,59,5,5,0.1234527778053471,0.16713067819618,True,0.02,True,True,exploratory,L5,0.0026865671641791043
BR,PLATT_vs_CONSTCELL,brier,CONSTCELL,PLATT,0.0281783853473728,-0.0600232830405753,0.1707941146151399,-0.0845236186077768,0.1390808444039362,0.5664,0.0600719929820288,0.1682015803496808,0.0773218004440006,82,36,4,5,0.0058406297936092,0.0899336021452178,True,0.02,False,False,exploratory,L5,0.5941258741258741
BQ,PLATT_vs_CONST,brier,CONST,PLATT,0.0859877201090833,-0.0089459505845029,0.1435799644785303,0.0007710297355641,0.1477463861454246,0.0754,0.0397894791120584,0.1114105415137636,0.0591565891982185,82,60,5,5,0.054455125134631,0.1022832774459961,True,0.02,False,False,registered,L5,0.1508
BQ,RAW_vs_CONST,brier,CONST,RAW,0.1351563304140345,0.0589494581346651,0.1810247810645731,0.0536420998678308,0.1793489015836361,0.0016,0.0314416523982747,0.0880366267151692,0.1206029289154769,82,68,5,5,0.1182232463338899,0.1510445104123833,True,0.02,True,True,exploratory,L5,0.003428571428571429
