design,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1,family,lead,p_bh_lead
B,LW_vs_POOLED@k1,mae_all,G14_POOLED@doptk1,G14_LW@doptk1,-0.0030738118751043,-0.0165532548756384,0.006084375996868,-0.0132135976216543,0.0094565515249918,0.5188,0.0060732413847289,0.0170050758772409,-0.0110593439261722,84,41,1,5,-0.0103746133716644,-0.0012197863290389,True,0.02,False,False,registered,L5,0.7155862068965518
B,LOWRANK2_vs_POOLED@k1,mae_all,G14_POOLED@doptk1,G14_LOWRANK2@doptk1,0.0033933409256521,-0.0064372879869769,0.0101539574357785,-0.0041953902202051,0.0120707114589823,0.5708,0.004407448282007,0.0123408551896198,-0.0009426192641144,84,37,5,5,-0.0016807520101757,0.0045411299409692,False,0.02,False,False,registered,L5,0.736516129032258
B,LOWRANK3_vs_POOLED@k1,mae_all,G14_POOLED@doptk1,G14_LOWRANK3@doptk1,0.0010305841049753,-0.0096242752506606,0.0084969711286961,-0.0070998243834833,0.0114565496084384,0.9424,0.0049139415726216,0.0137590364033406,-0.0055067080487033,84,39,2,5,-0.0051179601480219,0.0020941064872753,False,0.02,False,False,registered,L5,0.9543291139240506
B,HIER_vs_POOLED@k1,mae_all,G14_POOLED@doptk1,G14_HIER@doptk1,0.0017729524909751,-0.0075397307723593,0.0080725228143616,-0.0054252877640382,0.009851287622228,0.762,0.0041369459029597,0.0115834485282871,-0.0022858092148548,84,46,4,5,-0.0028185594268632,0.0028947009474996,False,0.02,False,False,registered,L5,0.8585915492957746
B,LW_vs_POOLED@k2,mae_all,G14_POOLED@doptk2,G14_LW@doptk2,-0.7579524264377433,-1.4935844927098352,-0.302716196434604,-1.4035931994540294,-0.2604107965143469,0.0,0.3115449812884468,0.872325947607651,-0.7551368542200904,84,25,0,5,-1.0498119666825985,-0.5788476380935217,True,0.02,False,False,registered,L5,0.0
B,LOWRANK2_vs_POOLED@k2,mae_all,G14_POOLED@doptk2,G14_LOWRANK2@doptk2,0.0096816562713712,0.0008040772024186,0.0179961046345336,0.0017137598502894,0.0190991641069697,0.0328,0.0043110896572318,0.0120710510402491,0.0094014202620294,84,48,5,5,0.0074161090051481,0.0110788555007435,True,0.02,True,False,registered,L5,0.08746666666666666
B,LOWRANK3_vs_POOLED@k2,mae_all,G14_POOLED@doptk2,G14_LOWRANK3@doptk2,0.0078564403688628,-0.0020393379026049,0.014949747560917,-0.0005726623030273,0.0164266885052002,0.1164,0.0044007571407966,0.0123221199942306,0.0062539205224222,84,44,4,5,0.0044148208958774,0.0092129931751133,True,0.02,False,False,registered,L5,0.22171428571428575
B,HIER_vs_POOLED@k2,mae_all,G14_POOLED@doptk2,G14_HIER@doptk2,-0.0017253034210351,-0.0151189547084178,0.00658935578177,-0.0127449805821417,0.0081433401914671,0.7032,0.0056683894824775,0.0158714905509372,-0.0075359373333927,84,47,2,5,-0.0071194142829073,0.0004945905701846,False,0.02,False,False,registered,L5,0.8272941176470588
B,LW_vs_POOLED@k3,mae_all,G14_POOLED@doptk3,G14_LW@doptk3,-78.88439363680509,-179.16736999143595,-23.33463209308433,-184.37948276840973,-24.768769748720157,0.0,40.68352451924342,113.91386865388156,-104.29901524968048,84,16,0,5,-108.63039630010512,-52.45252289740319,True,0.02,False,False,registered,L5,0.0
B,LOWRANK2_vs_POOLED@k3,mae_all,G14_POOLED@doptk3,G14_LOWRANK2@doptk3,-0.0036286560591324,-0.0127255637072875,0.0015046840479329,-0.0121575716261387,0.0017261028259037,0.2026,0.0036526075405923,0.0102273011136586,-0.0090405891105569,84,37,2,5,-0.0064172003179202,-0.0015434296734238,True,0.02,False,False,registered,L5,0.3523478260869565
B,LOWRANK3_vs_POOLED@k3,mae_all,G14_POOLED@doptk3,G14_LOWRANK3@doptk3,-0.0062245424170181,-0.0173701078753051,-0.0002965837756219,-0.0205548373815488,-0.0008776040117517,0.036,0.0044883288683706,0.0125673208314377,-0.0109990005086063,84,30,1,5,-0.0086450616434376,-0.0028677398825267,True,0.02,False,False,registered,L5,0.0929032258064516
B,HIER_vs_POOLED@k3,mae_all,G14_POOLED@doptk3,G14_HIER@doptk3,-0.0092912384893391,-0.0235012280321113,-0.0007537007117957,-0.0209493816728197,0.0008615874351123,0.03,0.0059588753393084,0.0166848509500637,-0.0181364889251117,84,39,0,5,-0.0150685965649237,-0.0067108519278617,True,0.02,False,False,registered,L5,0.08275862068965517
B,POOLED_vs_NAIVE@k1,mae_all,NAIVE_LINE_POOLED@doptk1,G14_POOLED@doptk1,0.0149063877324227,-0.0005047626757323,0.0299866464697873,0.0001862313642105,0.0306871061924878,0.0556,0.0076351707837702,0.0213784781945568,0.0142836712972676,84,48,5,5,0.0112372725086327,0.0170881943385335,True,0.02,False,False,exploratory,L5,0.08597938144329897
B,LW_vs_NAIVE@k1,mae_all,NAIVE_LINE_LW@doptk1,G14_LW@doptk1,0.0221883753750062,-0.0028576987694592,0.0443719229874009,-0.0002110025638362,0.0476422120857205,0.079,0.0117469246416374,0.0328913889965848,0.0211896431235927,84,45,5,5,0.0154116366390631,0.0256542571292981,True,0.02,False,False,exploratory,L5,0.11055555555555557
B,LOWRANK2_vs_NAIVE@k1,mae_all,NAIVE_LINE_LOWRANK2@doptk1,G14_LOWRANK2@doptk1,0.0203958953608316,-6.327003888886572e-05,0.0373888629172224,0.0005469514991787,0.0380928862427375,0.0508,0.0094802902767578,0.026544812774922,0.0206682359371026,84,47,5,5,0.0157616628793455,0.0237450050571632,True,0.02,False,False,exploratory,L5,0.08106382978723405
B,LOWRANK3_vs_NAIVE@k1,mae_all,NAIVE_LINE_LOWRANK3@doptk1,G14_LOWRANK3@doptk1,0.0190647942252838,-0.0013442474369266,0.0348872464831302,-0.0006746215503669,0.0355073537209223,0.0692,0.0092636910858398,0.0259383350403515,0.0182721870691587,84,49,5,5,0.0142058750180403,0.0223697415581013,True,0.02,False,False,exploratory,L5,0.10277227722772277
B,HIER_vs_NAIVE@k1,mae_all,NAIVE_LINE_HIER@doptk1,G14_HIER@doptk1,0.0297879217171923,0.0037994946732085,0.0598959221916111,0.0079344690930076,0.0690794741356968,0.0288,0.0139982133312933,0.0391949973276213,0.0334423538969749,84,46,5,5,0.0201895235554631,0.0325688447873834,True,0.02,True,True,exploratory,L5,0.05333333333333334
B,POOLED_vs_NAIVE@k2,mae_all,NAIVE_LINE_POOLED@doptk2,G14_POOLED@doptk2,0.0319407738513716,0.0153843912853157,0.0462430241522417,0.0148509705078596,0.0457934509125706,0.0006,0.0077405620468734,0.0216735737312456,0.0335618313675905,84,60,5,5,0.0290626550618516,0.0346775548040124,True,0.02,True,True,exploratory,L5,0.0014516129032258063
