context,outer_fold,inner_fold,initialization,epoch,model_seed,train_loss,validation_macro_group_mae,validation_r2,validation_group_balanced_r2
inner_fixed_fit,0,0,0,1,7,0.5236186931530634,,,
inner_fixed_fit,0,0,0,2,7,0.5135179907083511,,,
inner_fixed_fit,0,0,0,3,7,0.49538904925187427,,,
inner_fixed_fit,0,0,0,4,7,0.4768165051937103,,,
inner_fixed_fit,0,0,0,5,7,0.48030833899974823,,,
inner_fixed_fit,0,0,0,6,7,0.4471556742986043,,,
inner_fixed_fit,0,0,0,7,7,0.4512129972378413,,,
inner_fixed_fit,0,0,0,8,7,0.4042482003569603,,,
inner_fixed_fit,0,0,0,9,7,0.44565947353839874,,,
inner_fixed_fit,0,0,0,10,7,0.3931325127681096,,,
inner_fixed_fit,0,0,0,11,7,0.36925146728754044,,,
inner_fixed_fit,0,0,0,12,7,0.3913979729016622,,,
inner_fixed_fit,0,0,0,13,7,0.40107864638169605,,,
inner_fixed_fit,0,0,0,14,7,0.3569478690624237,,,
inner_fixed_fit,0,0,0,15,7,0.3699365680416425,,,
inner_fixed_fit,0,0,0,16,7,0.35281271239121753,,,
inner_fixed_fit,0,0,0,17,7,0.3458705320954323,,,
inner_fixed_fit,0,0,0,18,7,0.35333195825417835,,,
inner_fixed_fit,0,0,0,19,7,0.35349880903959274,,,
inner_fixed_fit,0,0,0,20,7,0.3272491345802943,,,
inner_fixed_fit,0,0,0,21,7,0.31815070907274884,,,
inner_fixed_fit,0,0,0,22,7,0.32497574885686237,,,
inner_fixed_fit,0,0,0,23,7,0.3313238074382146,,,
inner_fixed_fit,0,0,0,24,7,0.29880919804175693,,,
inner_fixed_fit,0,0,0,25,7,0.29796746621529263,,,
inner_fixed_fit,0,0,0,26,7,0.319950799147288,,,
inner_fixed_fit,0,0,0,27,7,0.2833749055862427,,,
inner_fixed_fit,0,0,0,28,7,0.29270141820112866,,,
inner_fixed_fit,0,0,0,29,7,0.30935681611299515,,,
inner_fixed_fit,0,0,0,30,7,0.2869734540581703,,,
inner_fixed_fit,0,0,0,31,7,0.26534077773491543,,,
inner_fixed_fit,0,0,0,32,7,0.2801653842131297,,,
inner_fixed_fit,0,0,0,33,7,0.28199267635742825,,,
inner_fixed_fit,0,0,0,34,7,0.2910798043012619,,,
inner_fixed_fit,0,0,0,35,7,0.2766836533943812,,,
inner_fixed_fit,0,0,0,36,7,0.29058584074179333,,,
inner_fixed_fit,0,0,0,37,7,0.28248132516940433,,,
inner_fixed_fit,0,0,0,38,7,0.26410216341416043,,,
