grouping,extractant,n_rows,baseline_mae,baseline_sign_accuracy,2d_ensemble_mae,2d_ensemble_sign_accuracy,delta3d_unshrunk_mae,delta3d_unshrunk_sign_accuracy,delta3d_mae,delta3d_sign_accuracy,simplicial_unshrunk_mae,simplicial_unshrunk_sign_accuracy,simplicial_mae,simplicial_sign_accuracy,mae_reduction_simplicial_vs_delta3d
extractant,CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,12,0.1071336753349942,0.75,0.1071336753349942,0.75,0.09215516977943923,0.8333333333333334,0.09387810159069848,0.8333333333333334,0.13053503751474357,0.6666666666666666,0.09387810159069848,0.8333333333333334,0.0
extractant,COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,11,0.119397958220851,0.2727272727272727,0.119397958220851,0.2727272727272727,0.11874607705611337,0.18181818181818182,0.1188883595682947,0.18181818181818182,0.10321129211676162,0.36363636363636365,0.1188883595682947,0.18181818181818182,0.0
extractant,CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,11,0.0809635793378672,0.9090909090909091,0.08343209943641644,0.9090909090909091,0.11755462061155915,0.8181818181818182,0.08561910582081736,0.8181818181818182,0.12080960771360724,0.9090909090909091,0.08174828740402616,0.9090909090909091,0.003870818416791197
extractant,CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,10,0.38554339133471727,0.8,0.38554339133471727,0.8,0.4241111527624021,0.7,0.4048272720485597,0.8,0.38130895337864,0.8,0.4048272720485597,0.8,0.0
extractant,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,4,0.277111801079109,0.75,0.277111801079109,0.75,0.26422402802310846,0.75,0.2658981680768965,0.75,0.2970043679497735,0.75,0.2658981680768965,0.75,0.0
extractant,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,2,0.21571466347508275,1.0,0.21571466347508275,1.0,0.20898186264628232,1.0,0.21234826306068255,1.0,0.22858153012713267,1.0,0.21234826306068255,1.0,0.0
extractant,CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,2,0.11786903417836547,0.5,0.11786903417836547,0.5,0.2199075470657911,0.5,0.14337866240022187,0.5,0.09906597520902496,1.0,0.14337866240022187,0.5,0.0
extractant,CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,2,0.1286372949737489,0.5,0.1286372949737489,0.5,0.19417929307737974,0.5,0.177793793551472,0.5,0.12825426121005856,0.5,0.177793793551472,0.5,0.0
extractant,CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,2,0.0914014205449374,0.5,0.0914014205449374,0.5,0.0751245582365066,0.5,0.0873322049678297,0.5,0.19249398958153477,0.0,0.0873322049678297,0.5,0.0
extractant,CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,2,0.09564999633322935,0.5,0.09564999633322935,0.5,0.07894675468576823,0.5,0.08729837550949879,0.5,0.07177638439636239,1.0,0.08729837550949879,0.5,0.0
