feature_set,split_seed,arm,bin,n_rows,n_ligands,pooled_mae,macro_mae_ligand,offset_mae,shape_mae,shape_r2,mean_prediction_sd
MC_lig2d_ext_massaction,104729,BASE,"[0.0, 0.4)",494,33,1.4538658291291846,1.550176629533823,1.432953387176549,0.43890855337256507,0.03316357532029579,
MC_lig2d_ext_massaction,104729,BASE,"[0.4, 0.6)",1448,61,1.2646610263364215,1.2924501025124753,1.1322216207794893,0.615722639828394,0.2375213710916101,
MC_lig2d_ext_massaction,104729,BASE,"[0.6, 0.8)",3306,58,1.1708194827370906,0.9689205259430318,0.8103119410309929,0.47756392203697773,0.18870798700960456,
MC_lig2d_ext_massaction,104729,EXPANDED,"[0.0, 0.4)",494,33,1.2222512999238526,1.0571622261934694,0.9868948104250981,0.35642932488422246,0.053139254662459945,1.3310302536285235
MC_lig2d_ext_massaction,104729,EXPANDED,"[0.4, 0.6)",1448,61,1.3286671933237861,1.2873062172777963,1.1366585885984488,0.6003219813578146,0.20042450221599006,1.1965223805148508
MC_lig2d_ext_massaction,104729,EXPANDED,"[0.6, 0.8)",3306,58,1.1658328724253262,0.9098852116998009,0.74450505399269,0.48822029803623357,0.14147653410673122,1.2531147160755656
MC_lig2d_ext_massaction,104729,EXPANDED_ROWMATCHED,"[0.0, 0.4)",494,33,1.2241155143561913,1.0556838469005392,0.9708505069741699,0.3591199915464818,0.053805691042392856,
MC_lig2d_ext_massaction,104729,EXPANDED_ROWMATCHED,"[0.4, 0.6)",1448,61,1.2899232770422948,1.2823533699397558,1.122707423195422,0.609962859536822,0.1899243757512078,
MC_lig2d_ext_massaction,104729,EXPANDED_ROWMATCHED,"[0.6, 0.8)",3306,58,1.146415089901746,0.9165983856699489,0.7437277570467475,0.4896370918900649,0.1317940727063801,
MC_lig2d_ext_massaction,104729,EXPANDED_SHUFFLED,"[0.0, 0.4)",494,33,1.5645828184629174,1.6038169818764478,1.540267955409361,0.41456414012531634,0.0626331814225719,
MC_lig2d_ext_massaction,104729,EXPANDED_SHUFFLED,"[0.4, 0.6)",1448,61,1.3177460036337703,1.2681533563898364,1.1085312615882132,0.6141002619253564,0.16774521152039956,
MC_lig2d_ext_massaction,104729,EXPANDED_SHUFFLED,"[0.6, 0.8)",3306,58,1.1531554064308254,0.943093661031877,0.7653520073904522,0.5133480643957077,0.16199163553597895,
